,date,link,word_count,inner_html,headline,petrol,hsd,openai_headline_very_positive,openai_headline_positive,openai_headline_neutral,openai_headline_negative,openai_headline_very_negative,openai_text_very_positive,openai_text_positive,openai_text_neutral,openai_text_negative,openai_text_very_negative,gemini_headline_very_positive,gemini_headline_positive,gemini_headline_neutral,gemini_headline_negative,gemini_headline_very_negative,gemini_text_very_positive,gemini_text_positive,gemini_text_neutral,gemini_text_negative,gemini_text_very_negative,openai_headline_overall_sentiment,gemini_headline_overall_sentiment,gemini_text_overall_sentiment,openai_text_overall_sentiment
0,2024-12-16,https://epaper.brecorder.com/2024/12/16/1-page/1020131-news.html,204.0,"ISLAMABAD: The Federal Government announced today that the price of petrol will remain unchanged, while the rates of other petroleum products will be reduced for the fortnight commencing December 16, 2024.The Finance Division stated that the price of petrol will stay at Rs 252.10 per litre. However, the price of high-speed diesel (HSD) will decrease by Rs 3.05 per litre, kerosene oil by Rs 3.32 per litre, and light diesel oil (LDO) by Rs 2.78 per litre.Petrol will retain its price of Rs 252.10 per litre. High-speed diesel (HSD) will be reduced from Rs 258.43 to Rs 255.38 per litre, kerosene oil from Rs 164.98 to Rs 161.66 per litre, and light diesel oil (LDO) from Rs 151.73 to Rs 148.95 per litre.The Oil and Gas Regulatory Authority (OGRA) worked out the consumer prices of petroleum products in view of the fluctuations in the international market in the last fortnight ending on December 15.Petroleum levy (PL) on both petrol and HSD is Rs 60 per litre whereas exempted petroleum products from general sale tax.In the first half of December 2024, authorities raised both petrol and diesel prices. Petrol recorded a rise of Rs3.72 per litre while high-speed diesel prices increased by Rs3.29 per litre.",Petrol rate unchanged,252.1,255.38,0.0,0.1,0.7,0.15,0.05,0.05,0.3,0.55,0.08,0.02,0.0,0.01,0.98,0.01,0.0,0.02,0.5,0.4,0.08,0.0,-0.15,0.0,0.4599999999999999,0.28
1,2024-12-01,https://epaper.brecorder.com/2024/12/01/1-page/1018009-news.html,167.0,"Finance Division revised upward ex-refinery price from Rs 164.86 to Rs 167.67 per litre and IFEM rate has also increased from Rs 7.01 to Rs 7.92 per litre for first half of December.Brent crude settled 2 cents higher at $72.83 a barrel while US West Texas Intermediate crude slipped 5 cents to $68.72.The surge in the price of petrol by Rs3.72 per litre has been worked out and it settles at Rs252.10 per litre from the previous price of Rs248.38 per litre.Likewise, the HSD price has also been increased by Rs 3.29 per litre, from Rs255.14 to Rs258.43 per litre.Nevertheless, the kerosene oil price has declined by Rs 0.62 per litre to Rs164.98 from the existing Rs165.60 per litre.The price of LDO (light diesel oil) has tumbled by Re0.48 per litre to Rs151.73 from Rs152.21 per litreThe Oil and Gas Regulatory Authority (OGRA) has worked out the consumer prices of petroleum products based on the price variation in the international market, according to statement of Finance Division.","Petrol, diesel prices increased",252.1,258.43,0.0,0.0,0.1,0.55,0.35,0.0,0.05,0.8,0.1,0.05,0.0,0.0,0.75,0.2,0.05,0.0,0.08,0.45,0.4,0.07,-1.25,-0.3,-0.46,-0.15
2,2024-11-16,https://epaper.brecorder.com/2024/11/16/1-page/1015872-news.html,183.0,"The Oil & Gas Regulatory Authority worked out the prices of petroleum products for the next fortnight based on the price trends in the international market during the last two weeks.In the international market, the price of petrol rose to $77.2 per barrel from $75 6 and HSD prices climbed to $88 from $83.6 per barrel. The import premium on petrol also increased to $9.80 per barrel, up from $8.8, while remaining steady at $5 per barrel for HSD.However, Finance Division announced to keep the prices of petroleum products at the level of first half of November 2024.Currently, petrol is priced at Rs248.38 per litre, HSD at Rs255.14 per litre while Kerosene oil at Rs 161.54/litre and LDO at Rs 147.51/litre.Earlier, on October 31, 2024, the government raised the price of petrol by Rs 1.35 per litre and HSD by Rs 3.85 per litre, while it reduced the price of kerosene oil by Rs 1.48 per litre and light diesel oil (LDO) by Rs 2.61 per litre for the first fifteen days of November 2024, based on price fluctuations in the international market.",POL products’ prices remain unchanged,248.38,255.14,0.0,0.1,0.7,0.15,0.05,0.0,0.05,0.85,0.07,0.03,0.005,0.005,0.98,0.005,0.005,0.0,0.4,0.6,0.0,0.0,-0.15,1.734723475976807e-18,0.4,-0.08
3,2024-11-01,https://epaper.brecorder.com/2024/11/01/1-page/1013846-news.html,212.0,"Petrol and Diesel Prices:Petrol: The price of petrol has increased by Rs 1.35 per litre, from Rs 247.03 to Rs 248.38 per litre.High-Speed Diesel (HSD): The price of HSD has increased by Rs 3.85 per litre, from Rs 251.29 to Rs 255.14 per litre.Kerosene Oil and Light Diesel Oil Prices:Kerosene Oil: The price of kerosene oil has decreased by Rs 1.48 per litre, from Rs 163.02 to Rs 161.54 per litre.Light Diesel Oil (LDO): The price of LDO has decreased by Rs 2.61 per litre, from Rs 150.12 to Rs 147.51 per litre.The government kept IFEM negative for previous fortnight from ended on October 31, 2024, to keep the POL prices at the lower side, though international prices went up in the last fortnight. IFEM on HSD was cut by Rs 4.07 per litre in previous review of petroleum products prices.The Oil and Gas Regulatory Authority (OGRA) has determined these new prices based on the fluctuations in international oil prices. The revised prices will be effective from November 1, 2024.An official of OGRA on the condition of anonymity said that government is charging Rs 90 per litre custom duty and petroleum levy (PL) on the petroleum products and the taxes on petroleum products in Pakistan is considered highest in the region.—WASIM IQBAL","Petrol price hiked by Rs1.35, HSD’s by Rs3.85",248.38,255.14,0.0,0.05,0.1,0.6,0.25,0.0,0.1,0.4,0.35,0.15,0.0,0.0,0.6,0.4,0.0,0.0,0.05,0.25,0.4,0.3,-1.05,-0.4,-0.95,-0.5499999999999999
4,2024-10-16,https://epaper.brecorder.com/2024/10/16/1-page/1011422-news.html,99.0,"However, the government kept the price of petrol unchanged and maintained at Rs 247.03 per liter. On the other hand, the price of diesel has been increased from Rs 246.29 to Rs 251.29 per liter, reflecting an increase of Rs 5 per liter.In a statement issued on Tuesday, Ministry of Finance said that the Oil and Gas Regulatory Authority (OGRA) has worked out the consumer prices of petroleum products, based on the price variations in the international market. The prices of the petroleum products for the next fortnight, starting from October 16, 2024 are accordingly being revised, it added.",Petrol’s price remains unchanged; diesel’s hiked,248.38,255.14,0.0,0.1,0.6,0.25,0.05,0.0,0.05,0.7,0.15,0.1,0.0,0.05,0.6,0.3,0.05,0.0,0.08,0.55,0.35,0.02,-0.2499999999999999,-0.35,-0.3099999999999999,-0.3
5,2024-10-01,https://epaper.brecorder.com/2024/10/01/1-page/1009345-news.html,135.0,"This decision comes as part of a fortnightly review of fuel prices.According to the notification, the price of petrol has been decreased by Rs 2.7 per liter, bringing the new price to Rs 247.03 per liter. High-speed diesel (HSD) has also seen a reduction of Rs 3.40 per liter, now priced at Rs 246.29 per liter. Light diesel oil (LDO) has been lowered by Rs 1.30 per liter to Rs 140.90 per liter, while kerosene oil prices have been reduced by Rs 3.57 per liter to Rs 154.90 per liter.The government attributed the price cuts to a decline in international oil prices and fluctuations in the exchange rate. This move is expected to provide some relief to consumers grappling with rising inflation and boost the consumption of petroleum products, ultimately leading to increased tax revenue.",Fuel prices decline,247.03,251.29,0.1,0.6,0.2,0.05,0.05,0.1,0.65,0.2,0.03,0.02,0.05,0.4,0.5,0.03,0.02,0.1,0.6,0.3,0.0,0.0,0.6499999999999999,0.43,0.8,0.78
6,2024-09-16,https://epaper.brecorder.com/2024/09/16/12-page/1007583-news.html,165.0,"The rate of petrol was reduced by Rs 10 per litre, from Rs 259.10 to Rs 249.10.High-Speed Diesel (HSD) price was decreased by Rs 13.06 per litre, from Rs 262.75 to Rs 249.69.Kerosene oil rate was cut by Rs 11.15 per litre, from Rs 169.62 to Rs 158.47.The price of light diesel oil (LDO) was reduced by Rs 12.12 per litre, from Rs 154.05 to Rs 141.93.According to the Finance Division, the price reduction was driven by a decline in international petroleum prices. Crude oil prices fell from approximately $81 per barrel to less than $76 per barrel for petrol, while HSD prices dropped from $88.5 per barrel to around $83 per barrel. The import premium for petrol and HSD remained relatively stable during this period at $8.5 and $5 per barrel, respectively. Additionally, the exchange rate remained within a certain range.Sources said the government’s decision of massive cut in petroleum prices will help boost the sale/ consumption of petroleum products, which has dropped significantly.","Petrol price cut by Rs10, HSD’s by Rs13.06",247.03,246.29,0.1,0.6,0.25,0.04,0.01,0.1,0.6,0.2,0.05,0.05,0.05,0.6,0.35,0.0,0.0,0.1,0.6,0.3,0.0,0.0,0.74,0.7,0.8,0.6499999999999999
7,2024-09-01,https://epaper.brecorder.com/2024/09/01/1-page/1005544-news.html,155.0,"The price of petrol has been reduced by Rs 3.32 per litre from Rs 266.97 to Rs 262.75 per litre. The price of high speed diesel (HSD) has also been reduced by Rs 1.86 per litre from Rs 260.96 to Rs 259.10 per litre.The price of kerosene oil has further been slashed by Rs 2.15 per litre from Rs 171.77 to Rs 169.62 per litre. The rate of light diesel oil (LDO) has also been cut by Rs 2.97 per litre from Rs 157.02 to Rs 154.05 per litre.The government is charging Rs 60 per litre petroleum levy (PL) on petrol and HSD, while 5 per litre PL is being charged at kerosene oil. The petroleum products have been exempted from general sale tax.The price of petroleum products have continued to fluctuate in the international market in the last fortnight and government adjusted consumers prices based on the international market prices and exchange rate variation.",POL products’ prices reduced,249.1,249.69,0.1,0.6,0.2,0.05,0.05,0.1,0.6,0.25,0.04,0.01,0.0,0.05,0.95,0.0,0.0,0.05,0.6,0.35,0.0,0.0,0.6499999999999999,0.05,0.7,0.74
8,2024-08-14,https://epaper.brecorder.com/2024/08/14/1-page/1003064-news.html,138.0,"As per the latest fuel prices, the petrol price has been cut from Rs269.43 to Rs260.96 per litre. The federal government also reduced the price of high-speed diesel (HSD) from Rs272.77 per litre to Rs266.07 with a cut of Rs6.7 per litre.The announcement was shared with the media persons individually. Later Finance Division issued a statement on Tuesday. The fuel price cut comes as a major relief for the masses on the occasion of Independence Day.The relief in petroleum prices, which is the second consecutive in two weeks, was expected in the wake of low consumption and demand for POL products by the world’s best biggest economies.In the previous petroleum levy (PL) remains unchanged despite the federal government increasing it by Rs10 per litre — from Rs60 to Rs70 — in the federal budget for fiscal year 2024-25.","Prices of petrol, diesel slashed",259.1,262.75,0.1,0.8,0.05,0.03,0.02,0.1,0.55,0.25,0.07,0.03,0.5,0.4,0.1,0.0,0.0,0.12,0.6,0.25,0.03,0.0,0.93,1.4,0.8099999999999999,0.6200000000000001
9,2024-08-01,https://epaper.brecorder.com/2024/08/01/1-page/1001305-news.html,224.0,"The price of petrol has decreased by Rs6.17 per litre, while HSD became cheaper by Rs10.86 per litre, according to Finance Division statement.Oil and Gas Regulatory Authority (OGRA) worked out the consumer prices of petroleum products, based on the price variations in the international market.Over the past two weeks, the average price of petrol has dropped to $87.50 per barrel from $89.50, while HSD has decreased from $96.93 to $94 per barrel.Furthermore, the import premium on both petrol and diesel has also witnessed a reduction. This combination of factors has enabled the government to pass on the benefit to consumers through lower fuel prices.The new price of petrol is at Rs269.43 per litre, down from the current Rs275.60.Similarly, HSD is priced at Rs272.77 per litre compared to the previous price of Rs283.63.The kerosene price was reduced by Rs6.32 per litre which reduced its price to Rs177.39 from Rs183.71 per litre.Subsequently, the light diesel oil (LDO) rate was decreased to Rs160.53 per litre as opposed to the current rate of Rs166.25 per litre following a cut of Rs5.72 per litre.The government is charging Rs 60 per litre petroleum levy (PL) on petrol and HSD, whereas exempted from general sale tax.The reduction in fuel prices comes as a significant relief to the public, especially after the recent sharp increases in prices over the past two fortnights.","Petrol price cut by Rs6.17, HSD’s by Rs10.86",260.96,266.07,0.0,0.6,0.3,0.05,0.05,0.1,0.75,0.1,0.03,0.02,0.0,0.4,0.6,0.0,0.0,0.25,0.6,0.15,0.0,0.0,0.4499999999999999,0.4,1.1,0.8799999999999999
