,Unnamed: 0,date,link,inner_html,word_count,petrol,hsd,headline,openai_headline_very_positive,openai_headline_positive,openai_headline_neutral,openai_headline_negative,openai_headline_very_negative,openai_text_very_positive,openai_text_positive,openai_text_neutral,openai_text_negative,openai_text_very_negative,gemini_headline_very_positive,gemini_headline_positive,gemini_headline_neutral,gemini_headline_negative,gemini_headline_very_negative,gemini_text_very_positive,gemini_text_positive,gemini_text_neutral,gemini_text_negative,gemini_text_very_negative,gemini_headline_overall_sentiment,gemini_text_overall_sentiment,openai_headline_overall_sentiment,openai_text_overall_sentiment
0,0,2024-12-16,https://e.dunya.com.pk/detail.php?date=2024-12-16&edition=KCH&id=7525081_53018369,"اسلام آباد (دنیا نیوز) حکومت نے پٹرولیم مصنوعات کی نئی قیمتوں کا اعلان کر دیا۔ وزارت خزانہ کی
جانب سے جاری نوٹیفکیشن کے مطابق پٹرولیم مصنوعات کی نئی قیمتوں کا اعلان کر دیا گیا جس کے مطابق
15 دسمبر سے کیم جنوری 2025 تک پٹرول کی قیمت 252 روپے 10 پیسے فی لٹر برقرار رکھنے کا
فیصلہ کیا گیا ہے۔ نوٹیفکیشن کے مطابق ہائی اسپیڈ ڈیزل کی قیمت میں 3 روپے 5 پیسے اور لائٹ ڈیزل کی
قیمت میں 2 روپے 78 پیسے کی کمی کی گئی ہے۔ قیمتوں میں کمی کے بعد ہائی اسپیڈ ڈیزل کی قیمت 255
روپے 38 پیسے اور لائٹ ڈیزل کی قیمت 148 روپے 95 پیسے ہوگی، نئی قیمتوں کا اطلاق رات 12",131.0,252.1,255.38,پٹرول کی قیمت برقرار، ڈیزل 3 روپے 5 پیسے لٹر سستا,0.1,0.5,0.3,0.05,0.05,0.1,0.3,0.5,0.05,0.05,0.05,0.55,0.4,0.0,0.0,0.0,0.35,0.65,0.0,0.0,0.65,0.35,0.55,0.35
1,1,2024-12-01,https://e.dunya.com.pk/detail.php?date=2024-12-01&edition=KCH&id=7499240_33385255,"کراچی (مانیٹرنگ ڈیسک) وفاقی حکومت نے آئندہ 15 دن کے لیے پٹرول اور ڈیزل مہنگا
کر دیا۔ وزارت خزانہ نے یکم دسمبر سے 15 دسمبر کے لیے پٹرولیم مصنوعات کی قیمتوں میں ردوبدل کے
حوالے سے نوٹیفکیشن جاری کیا ہے۔ اعلامیے کے مطابق پٹرول کی قیمت میں 3 روپے 72 پیسے فی لٹر
اضافہ کیا ہے جس کے بعد نئی قیمت 252 روپے 10 پیسے فی لٹر مقرر کی گئی ہے۔ ڈیزل کی قیمت میں
3 روپے 29 پیسے فی لٹر اضافے کے بعد نئی قیمت 258 روپے 43 پیسے فی لٹر ہوگئی۔ اعلامیے کے مطابق
مٹی کے تیل کی قیمت میں 62 پیسے فی لٹر کمی کر دی گئی ہے۔ نئی قیمت 164 روپے 98 پیسے فی لٹر مقرر",158.0,252.1,258.43,ڈیزل 3.29 روپے فی لٹر مہنگا,0.0,0.02,0.1,0.7,0.18,0.0,0.05,0.2,0.55,0.2,0.0,0.0,0.1,0.7,0.2,0.0,0.03,0.35,0.5,0.12,-1.1,-0.71,-1.04,-0.9
2,2,2024-11-16,https://e.dunya.com.pk/detail.php?date=2024-11-16&edition=KCH&id=7478450_83031853,"رد و بدل نہ کرنے کا فیصلہ کر لیا، نوٹیفکیشن جاری کر دیا گیا۔ پیٹرول کی قیمت فی لٹر 248 روپے 38 پیسے
برقرار ہے۔ وزارت خزانہ سے جاری اعلامیے کے مطابق پیٹرولیم مصنوعات کی قیمت کا اطلاق اگلے 15
روز کے لیے ہوگا۔ وزارت خزانہ کی جانب سے جاری اعلامیے کے مطابق آئل اینڈ گیس ریگولیٹری
اتھارٹی (اوگرا) نے عالمی مارکیٹ میں گزشتہ دو ہفتوں کے دوران قیمتوں کے رجحان کے تحت اگلے 15
روز کے لیے پیٹرولیم مصنوعات کی قیمت کے حوالے سے کام کیا۔ وزارت خزانہ کے مطابق اگلے 15 روز
تک ہائی اسپیڈ ڈیزل کی قیمت فی لٹر 255 روپے 14 پیسے اور پیٹرول کی قیمت فی لٹر 248 روپے 38",145.0,248.38,255.14,کراچی (مانیٹرنگ ڈیسک) حکومت نے اگلے 15 روز کے لئے پیٹرول اور ڈیزل کی قیمت میں,0.0,0.1,0.7,0.1,0.1,0.0,0.05,0.85,0.05,0.05,0.0,0.005,0.99,0.005,0.0,0.0,0.02,0.95,0.03,0.0,0.0,-0.0099999999999999,-0.2,-0.1
3,3,2024-11-01,https://e.dunya.com.pk/detail.php?date=2024-11-01&edition=KCH&id=7456185_14743208,"مٹی کا تیل 1.48 روپے اور لائٹ ڈیزل آئل 2.61 روپے فی لٹر سستا کر دیا گیا
اسلام آباد (مانیٹرنگ ڈیسک) وفاقی حکومت نے پٹرولیم مصنوعات کی قیمتوں میں اضافہ کرتے
ہوئے پٹرول فی لٹر ایک روپے 35 پیسے مہنگا کر دیا۔ وزارت خزانہ سے پٹرولیم مصنوعات کی قیمتوں میں
ردوبدل کا نوٹیفکیشن جاری کر دیا گیا، جس کے مطابق پٹرول 1.35 روپے، ہائی اسپیڈ ڈیزل
3.85 روپے فی لٹر مہنگا ہو گیا۔ نوٹیفکیشن کے مطابق مٹی کا تیل 1.48 روپے اور لائٹ ڈیزل
آئل 2.61 روپے فی لٹر سستا کر دیا گیا ہے۔ پٹرولیم مصنوعات کی نئی قیمتوں کا اطلاق اگلے 15 روز
کے لیے ہوگا۔ نوٹیفکیشن میں بتایا گیا کہ پٹرولیم مصنوعات کی قیمتوں میں ردوبدل بین الاقوامی مارکیٹ میں
تیل کی قیمتوں میں ہونے والی کمی و بیشی کے تناظر میں کیا گیا ہے۔ قیمتوں کے اضافے کے بعد پٹرول کی
قیمت 247.03 روپے فی لٹر سے بڑھ کر 248.38 روپے فی لٹر، ہائی اسپیڈ ڈیزل کی
قیمت 251.29 روپے فی لٹر سے بڑھ کر 255.14 روپے فی لٹر ہوگئی ہے۔ اسی طرح مٹی کے تیل کی
قیمت 163.02 روپے فی لٹر سے کم ہو کر 161.54 روپے فی لٹر اور لائٹ ڈیزل کی",226.0,248.38,255.14,پٹرول 1.35، ہائی اسپیڈ ڈیزل 3.85 روپے فی لٹر مہنگا,0.0,0.05,0.1,0.45,0.4,0.0,0.15,0.5,0.25,0.1,0.0,0.0,0.15,0.7,0.15,0.0,0.1,0.35,0.5,0.05,-1.0,-0.5,-1.2,-0.3
4,4,2024-10-16,https://e.dunya.com.pk/detail.php?date=2024-10-16&edition=KCH&id=7434285_73017142,"کراچی (مانیٹرنگ ڈیسک) وفاقی حکومت نے آئندہ 15 روز کے لیے پٹرولیم مصنوعات کی قیمتوں
میں ردوبدل کا اعلان کردیا۔ وزارت خزانہ نے پٹرولیم مصنوعات کی نئی قیمتوں کا نوٹیفکیشن جاری کردیا
ہے۔ پٹرول کی قیمت 247 روپے 3 پیسے فی لٹر پر برقرار ہے۔ نوٹیفکیشن کے مطابق ہائی اسپیڈ ڈیزل کی قیمت
میں 5 روپے کا اضافہ کیا ہے جس کے بعد نئی قیمت 251 روپے 29 پیسے فی لٹر مقرر کی گئی ہے۔ نوٹیفکیشن",108.0,248.38,255.14,کی قیمت میں 5 روپے اضافہ,0.0,0.01,0.1,0.6,0.29,0.0,0.05,0.7,0.2,0.05,0.0,0.0,0.7,0.3,0.0,0.0,0.05,0.6,0.35,0.0,-0.3,-0.3,-1.17,-0.25
5,5,2024-10-01,https://e.dunya.com.pk/detail.php?date=2024-10-01&edition=KCH&id=7414413_96767107,"کمی کے بعد پٹرول کی قیمت 247 روپے 3 پیسے، ڈیزل 246 روپے 29 پیسے، مٹی کے
تیل کی 154 روپے 90 پیسے ہوگئی
لائٹ ڈیزل کی قیمت ایک روپے 3 پیسے کی کمی سے 140.90 روپے فی لیٹر مقرر، نئی قیمتوں کا
اطلاق رات 12 بجے سے ہوگیا
اسلام آباد (دنیا نیوز) حکومت کی جانب سے عوام کو ریلیف کا سلسلہ جاری، پیٹرولیم مصنوعات کی
قیمتوں میں ایک مرتبہ پھر کمی کر دی گئی۔ وزارت خزانہ کی جانب سے جاری نوٹیفیکیشن کے مطابق پٹرول کی
قیمت میں 2 روپے 7 پیسے فی لیٹر اور ہائی سپیڈ ڈیزل کی قیمت میں 3 روپے 40 پیسے فی لیٹر کمی کی گئی۔ لائٹ
ڈیزل کی قیمت میں ایک روپے 3 پیسے فی لیٹر جبکہ مٹی کے تیل کی قیمت میں 3 روپے 57 پیسے فی لیٹر کمی
کر دی گئی۔ قیمتوں میں کمی کے بعد پٹرول کی نئی قیمت 247 روپے 3 پیسے فی لیٹر اور ہائی سپیڈ ڈیزل کی نئی
قیمت 246 روپے 29 پیسے فی لیٹر ہو گئی۔ مٹی کے تیل کی نئی قیمت 154 روپے 90 پیسے اور لائٹ
ڈیزل کی قیمت 140 روپے 90 پیسے فی لیٹر ہو گئی۔ نئی قیمتوں کا اطلاق رات 12 بجے سے ہوگیا۔
واضح رہے یکم اکتوبر 2024 تک پٹرول کی قیمت میں مجموعی طور پر 21.23 روپے فی لیٹر جبکہ ڈیزل کی
قیمت میں 18.67 روپے فی لیٹر کمی کی گئی ہے۔ وزارت خزانہ کے مطابق وزیر اعظم شہباز شریف کی",284.0,247.03,251.29,پٹرول 2.07 روپے ڈیزل 3.40 روپے مٹی کا تیل 3.57 روپے فی لیٹر سستا,0.1,0.6,0.2,0.05,0.05,0.2,0.6,0.15,0.04,0.01,0.1,0.5,0.4,0.0,0.0,0.15,0.55,0.3,0.0,0.0,0.7,0.8500000000000001,0.6499999999999999,0.94
6,6,2024-09-16,https://e.dunya.com.pk/detail.php?date=2024-09-16&edition=KCH&id=7398060_39227308,"کمی کے بعد پیٹرول کی نئی قیمت 249.10 روپے، ہائی اسپیڈ ڈیزل 249.69 روپے
لائٹ ڈیزل 141.93 روپے، مٹی کا تیل 158.47 روپے فی لیٹر مقرر
اسلام آباد (دنیا نیوز) وفاقی حکومت نے پٹرولیم مصنوعات کی قیمتوں میں بڑی کمی کا اعلان کر دیا،
پٹرول 10 روپے فی لٹر سستا ہو گیا، ہائی سپیڈ ڈیزل کی قیمت میں 13 روپے 6 پیسے، مٹی کے تیل کی قیمت
میں 11 روپے 15 پیسے فی لٹر کی گئی ہے۔ علاوہ ازیں لائٹ ڈیزل آئل کی قیمت میں 12 روپے 12
پیسے فی لٹر کمی کر دی گئی ہے، پیٹرول کی قیمت 10 روپے فی لٹر کمی کے بعد 249.10 روپے فی لٹر ہوگئی
ہے، ہائی سپیڈ ڈیزل کی قیمت 13 روپے 6 پیسے کی کمی کے بعد 249.69 روپے فی لٹر مقرر کی گئی ہے
۔ دوسری جانب لائٹ ڈیزل آئل کی قیمت 12 روپے 12 پیسے فی لٹر کم ہوکر 141.93 روپے ہوگئی
ہے، مٹی کے تیل کی قیمت 11 روپے 15 پیسے فی لٹر کم ہوکر 158.47 روپے فی لٹر ہوگئی ہے۔ پٹرولیم",210.0,247.03,246.29,پیٹرول 10 روپے، ہائی اسپیڈ ڈیزل 13.6 روپے، لائٹ ڈیزل 12.12 روپے، مٹی کا تیل 11.15 روپے فی لیٹر سستا,0.1,0.5,0.25,0.1,0.05,0.1,0.75,0.1,0.03,0.02,0.65,0.3,0.05,0.0,0.0,0.3,0.6,0.1,0.0,0.0,1.6,1.2,0.5,0.8799999999999999
7,7,2024-09-01,https://e.dunya.com.pk/detail.php?date=2024-09-01&edition=KCH&id=7380384_85801052,"کی کے بعد پیٹرول 259 روپے 10 پیسے، ہائی اسپیڈ ڈیزل 262 روپے 75 پیسے، لائٹ
ڈیزل 154 روپے 5 پیسے اور مٹی کا تیل 169 روپے 62 پیسے فی لٹر ہو گیا
اسلام آباد (دنیا نیوز، مانیٹرنگ ڈیسک) وزیر اعظم شہباز شریف نے عوام کیلئے ریلیف کا اعلان کر دیا
جس پر وفاقی حکومت نے پیٹرولیم مصنوعات کی قیمتوں میں کمی کر دی ہے جس کا اطلاق ہو گیا ہے۔ اوگرا کی
جانب سے جاری نوٹیفکیشن کے مطابق پیٹرول کی قیمت میں ایک روپے 86 پیسے فی لٹر کمی کر دی گئی، ہائی
سپیڈ ڈیزل کی قیمت 3 روپے 32 پیسے کمی کی گئی جبکہ مٹی کے تیل کی قیمت میں 2 روپے 15 پیسے فی لٹر کمی
ہوئی ہے، لائٹ ڈیزل آئل 2 روپے 97 پیسے فی لٹر سستا کیا گیا۔ پیٹرول کی قیمت 1.86 روپے فی لٹر
کمی کے بعد 259 روپے 10 پیسے فی لٹر ہو گئی ہے۔ ہائی سپیڈ ڈیزل کی قیمت 3.32 روپے کی
کے بعد 262 روپے 75 پیسے فی لٹر مقرر کی گئی۔ لائٹ ڈیزل آئل کی قیمت 2.97 روپے فی لٹر کم ہو کر
154 روپے 5 پیسے پر آگئی۔ مٹی کے تیل کی قیمت 2.15 روپے فی لٹر کم ہو کر 169 روپے 62 پیسے فی",255.0,249.1,249.69,عظیم عوام کیلئے ریلیف کا اعلان پیٹرول 1.86 ہائی سپیڈ ڈیزل 3.32 لائٹ ڈیزل 2.97 پھر سستا,0.1,0.6,0.2,0.05,0.05,0.1,0.65,0.15,0.07,0.03,0.7,0.25,0.05,0.0,0.0,0.35,0.5,0.15,0.0,0.0,1.65,1.2,0.6499999999999999,0.72
8,8,2024-08-14,https://e.dunya.com.pk/detail.php?date=2024-08-14&edition=KCH&id=7356711_22826857,"روزنامہ
دنیا
یوم آزادی کا تحفہ
پٹرول 8.47 روپے سستا
ڈیزل 6.70 روپے سستا
پٹرول کی قیمت 260 روپے 96 پیسے، ڈیزل کی 266 روپے 7 پیسے فی لیٹر، نوٹیفکیشن جاری
اسلام آباد (نامہ نگار، دنیا نیوز، مانیٹرنگ ڈیسک) وزیراعظم شہباز شریف نے قوم کو یوم آزادی کا تحفہ دیتے ہوئے پٹرولیم مصنوعات کی قیمتوں میں کمی کا اعلان کر دیا، وزارت خزانہ کی جانب سے جاری نوٹیفکیشن کے مطابق پٹرول کی قیمت میں 8 روپے 47 پیسے جبکہ ڈیزل کی قیمت میں 6 روپے 70 پیسے فی
لٹر کی گئی ہے، پٹرول کی قیمت 269.43 روپے سے کم ہو کر 260.96 روپے ہو گئی جبکہ ڈیزل کی",117.0,259.1,262.75,محمد صلى الله عليه وسلم,0.0,0.0,0.1,0.0,0.0,0.15,0.65,0.1,0.05,0.05,0.0,0.0,1.0,0.0,0.0,0.45,0.3,0.25,0.0,0.0,0.0,1.2,0.0,0.8
9,9,2024-01-08,https://e.dunya.com.pk/detail.php?date=2024-08-01&edition=KCH&id=7340371_29927274,"پٹرول کی نئی قیمت 269 روپے 43 پیسے، ڈیزل کی 272 روپے 77 پیسے فی لیٹر
ہوگئی، لائٹ اسپیڈ ڈیزل 5.72 روپے گھٹ کر 160 روپے 53 پیسے فی لیٹر ہوگیا
مٹی کا تیل 6.32 روپے کمی کے بعد 177 روپے 39 پیسے کا ہو گیا، نئی قیمتوں کا رات
12 بجے سے اطلاق ہوگیا؛ 15 اگست تک نافذ العمل رہیں گی، وزارت خزانہ
اسلام آباد (نمائندہ دنیا، مانیٹرنگ ڈیسک) وزیراعظم شہباز شریف نے پٹرولیم مصنوعات کی قیمتوں
میں کمی کی منظوری دے دی، پٹرول کی قیمت میں 6 روپے 17 پیسے جبکہ ڈیزل کی قیمت میں 10 روپے
86 پیسے کی کمی کر دی گئی، قیمتوں میں کمی کے بعد پٹرول کی نئی قیمت 269 روپے 43 پیسے فی لیٹر اور ڈیزل
کی نئی قیمت 272 روپے 77 پیسے فی لیٹر ہو گئی۔ مٹی کے تیل کی قیمت میں 6 روپے 32 پیسے جبکہ لائٹ
سپیڈ ڈیزل کی قیمت میں 5 روپے 72 پیسے فی لیٹر کی کمی ہے، مٹی کے تیل کی نئی قیمت 177 روپے 39
پیسے اور لائٹ ڈیزل کی قیمت 160 روپے 53 پیسے ہوگئی۔ وزیراعظم کی منظوری کے بعد وزارت خزانہ
نے باضابطہ نوٹیفکیشن جاری کر دیا، نئی قیمتوں کا اطلاق رات 12 بجے سے ہوگیا جو 15 اگست تک نافذ",230.0,260.96,266.07,پٹرول 6.17، ڈیزل 10.86 اپر قیمتیں وزیراعظم کی منظوری کے بعد نوٹیفکیشن جاری,0.0,0.1,0.6,0.25,0.05,0.1,0.5,0.3,0.05,0.05,0.0,0.0,0.5,0.4,0.1,0.05,0.6,0.35,0.0,0.0,-0.6000000000000001,0.7,-0.2499999999999999,0.55
