,date,link,word_count,headline,inner_html,petrol,hsd,openai_headline_very_positive,openai_headline_positive,openai_headline_neutral,openai_headline_negative,openai_headline_very_negative,openai_text_very_positive,openai_text_positive,openai_text_neutral,openai_text_negative,openai_text_very_negative,gemini_headline_very_positive,gemini_headline_positive,gemini_headline_neutral,gemini_headline_negative,gemini_headline_very_negative,gemini_text_very_positive,gemini_text_positive,gemini_text_neutral,gemini_text_negative,gemini_text_very_negative,gemini_headline_overall_sentiment,gemini_text_overall_sentiment,openai_headline_overall_sentiment,openai_text_overall_sentiment
0,2024-12-16,https://e.jang.com.pk/detail/813107,174.0,ڈیزل 3.5 اور مٹی کا تیل 3.22 روپے فی لٹر سستا، پٹرول کی قیمت برقرار ,اسلام آباد(کامرس رپورٹر)ڈیزل3.5 اور مٹی کا تیل3.22روپے فی لٹر سستا ،پٹرول کی قیمت برقرار،ڈیزل کی نئی قیمت 255روپے 38پیسے، مٹی کےتیل کی161روپے 66پیسے فی لٹر ہو گئی ، نئی قیمتوں کا اطلاق ہو گیا ، حکومت نے ہائی سپیڈ ڈیزل،مٹی کے تیل اور لائیٹ ڈیزل آئل کی قیمت میں کمی کردی ،پٹرول کی قیمت کو موجودہ سطح پر برقرار رکھا گیا ہے، وزارت خزانہ کے اعلامیہ کے مطابق ہائی سپیڈ ڈیزل کی قیمت میں 3 روپے پانچ پیسے فی لٹر، مٹی کا تیل 3 روپے 32 پیسے فی لٹر اور لائیٹ ڈیزل آئل کی قیمت میں 2 روپے 78پیسے فی لٹر کمی کر دی گئی، جس کے بعد ہائی سپیڈ ڈیزل کی نئی قیمت 255روپے 38 پیسے فی لٹر، مٹی کا تیل 161 روپے 66 پیسے فی لٹر اور لائیٹ ڈیزل آئل کی قیمت 148 روپے 95 پیسے فی لیٹر ہو گئی جبکہ پیٹرول کی قیمت 252روپے 10 پیسے فی لٹر برقرار رکھی گئی ہے اور کوئی کمی بیشی نہیں کی گئی ،نئی قیمتوں کا اطلاق آئندہ 15 روز کیلئے کر دیا گیا ۔,252.1,255.38,0.0,0.2,0.6,0.15,0.05,0.1,0.55,0.3,0.03,0.02,0.0,0.55,0.45,0.0,0.0,0.05,0.45,0.5,0.0,0.0,0.55,0.55,-0.0499999999999999,0.68
1,2024-12-01,https://e.jang.com.pk/detail/804336,157.0,پیٹرول 3.72، ہائی اسپیڈ ڈیزل 3.29 روپے فی لیٹر مہنگا ,اسلام آباد (نمائندہ جنگ)وفاقی حکومت نے آئندہ 15دن کےلیے پیٹرول اور ڈیزل مہنگا کردیا ۔ وزارت خزانہ نے یکم سے 15نومبر کےلیے پیٹرولیم مصنوعات کی قیمتوں میں ردو بدل کا نوٹیفکیشن جاری کر دیا ہے۔وزارت خزانہ کی جانب سے پٹرولیم مصنوعات کی قیمتوں میں اضافے کا نوٹیفکیشن جاری کردیا گیا ہے۔ نوٹیفکیشن کے مطابق پیٹرول 3.725روپے، ہائی اسپیڈ ڈیزل آئل 3.29روپے فی لیٹر مہنگا ہوگیا ہے۔حالیہ اضافے کے بعد فی لیٹر پیٹرول کی قیمت 252 روپے 10 پیسے جبکہ ہائی اسپیڈ ڈیزل کی قیمت 258 روپے 43 پیسے پر پہنچ گئی۔اس کے علاوہ حکومت نے لائٹ ڈیزل کی قیمت میں 48 پیسے جبکہ مٹی کے تیل کی قیمت میں 62 پیسے کی کمی کردی۔ وزارت خزانہ کی جانب سے جاری نوٹی فکیشن کے مطابق کمی کے بعد مٹی کے تیل کی قیمت 164.98 روپے جبکہ لائٹ ڈیزل کی قیمت 151 روپے 73 پیسے ہوگئی۔وزارت خزانہ کے اعلامیے کے مطابق نئی قیمتوں کا اطلاق آج سے ہوگیا ہے۔,252.1,258.43,0.0,0.01,0.1,0.4,0.49,0.0,0.05,0.7,0.2,0.05,0.0,0.0,0.3,0.65,0.05,0.0,0.15,0.4,0.45,0.0,-0.75,-0.3,-1.37,-0.25
2,2024-11-16,https://e.jang.com.pk/detail/795034,81.0,حکومت کا پیٹرولیم مصنوعات کی قیمتیں برقرار رکھنے کا فیصلہ ,کراچی (نیوز ڈیسک) حکومت نے پیٹرولیم مصنوعات کی قیمتیں برقرار رکھنے کا اعلان کردیا۔ وزارت خزانہ کے جاری کردہ نوٹیفیکیشن کے مطابق آئندہ 15 روز کیلئے پیٹرولیم مصنوعات کی قیمتیں برقرار رکھی گئی ہیں۔ پیٹرول کی فی لیٹر قیمت 248 روپے 38 پیسے اور ہائی اسپیڈ ڈیزل کی قیمت 255 روپے 14 پیسے فی لیٹر برقرار رہے گی۔اس سے قبل ملک میں پیٹرولیم مصنوعات کی قیمتوں میں ساڑھے 5 روپے فی لیٹر تک اضافے کا امکان ظاہر کیا جا رہا ہے۔,248.38,255.14,0.0,0.1,0.5,0.3,0.1,0.0,0.1,0.7,0.15,0.05,0.0,0.03,0.95,0.01,0.01,0.0,0.3,0.7,0.0,0.0,0.0,0.3,-0.4,-0.15
3,2024-11-01,https://e.jang.com.pk/detail/785806,194.0,پٹرول 1.35 ، ڈیزل 3.35 روپے فی لٹر مزید مہنگا، مٹی کا تیل سستا,اسلام آباد(نمائندہ جنگ) پٹرول ایک روپے 35پیسے،ڈیزل تین روپے 85پیسے فی لٹر مہنگا ، مٹی کا تیل سستا ،پٹرول کی نئی قیمت 248روپے 38پیسے ، ڈیزل 255روپے 14پیسے اور مٹی کے تیل کی 161 روپے 54پیسے فی لٹر مقرر،حکومت نے پٹرول اور ہائی سپیڈ ڈیزل کی قیمتوں میں اضافہ اور مٹی کے تیل اور لائیٹ ڈیزل آئل کی قیمتوں میں کمی کر دی ، وزارت خزانہ کے اعلامیہ کے مطابق پیٹرول کی قیمت میں ایک روپے 35پیسے فی لٹراور ہائی سپیڈ ڈیزل کی قیمت میں تین روپے 85پیسے فی لٹر اضافہ کیا گیا ہے جبکہ مٹی کے تیل کی قیمت میں ایک روپے 48پیسے فی لٹر اور لائیٹ ڈیزل آئل کی قیمت میں 2روپے 61پیسے فی لٹر کمی کر دی گئی ، جس کے بعد پٹرول کی نئی قیمت 248روپے 38پیسے فی لٹر ، ہائی سپیڈ ڈیزل 255روپے 14پیسے فی لٹر، مٹی کا تیل 161روپے 54پیسے فی لٹر اور لائیٹ ڈیزل آئل کی نئی قیمت 147روپے51پیسے فی لٹر مقرر کر دی گئی ہے ، نئی قیمتوں کا اطلاق آج یکم نومبر سے 15نومبر تک ہوگیا، پیٹرولیم مصنوعات کی قیمتوں میں ردوبدل عالمی سطح پر تیل کی قیمتوں میں اتار چڑھاؤ کے باعث کیاگیا ۔,248.38,255.14,0.0,0.1,0.2,0.5,0.2,0.0,0.05,0.55,0.3,0.1,0.02,0.15,0.25,0.55,0.03,0.0,0.05,0.85,0.1,0.0,-0.4200000000000001,-0.05,-0.8,-0.45
4,2024-10-16,https://e.jang.com.pk/detail/775765,89.0,پٹرول کی قیمت برقرار، ہائی اسپیڈ ڈیزل  5روپے لٹر مہنگا ,اسلام آباد(نمائندہ جنگ) حکو مت نے آئندہ پندرہ روز کے لیے پیٹرولیم مصنوعات کی قیمتوں کا اعلان کر دیا ہے جس کے مطابق ہائی اسپیڈڈیزل کی قیمت میں 5 روپے فی لٹر اضافہ کیا گیا ہے جبکہ پیڑول کی قیمت کو موجودہ سطح پر برقرار رکھا گیا ہے، وزارت خزانہ کے جاری اعلامیہ کے مطابق ہائی سپیڈ ڈیزل کی نئی قیمت251روپے 29 پیسے فی لٹرہوگئی ہے جبکہ پیڑول کی قیمت 247روپے 3 پیسے فی لٹر برقرار رہے گی ، نئی قیمتوں کا اطلاق رات 12بجے سے ہوگیا ہے ۔,248.38,255.14,0.0,0.05,0.2,0.55,0.2,0.0,0.05,0.75,0.15,0.05,0.0,0.05,0.3,0.6,0.05,0.0,0.05,0.85,0.1,0.0,-0.6499999999999999,-0.05,-0.9,-0.2
5,2024-10-01,https://e.jang.com.pk/detail/766518,385.0,مسلسل پانچویں بار پٹرولیم مصنوعات کی قیمتوں میں کمی، پٹرول 2.07 روپے سستا,کراچی (نیو زڈیسک) حکومت کی جانب سے عوام کو ریلیف کی فراہمی کا سلسلہ جاری ہے اور مسلسل پانچویں بار پٹرولیم مصنوعات کی قیمتوںمیں کمی کرتے ہوئے پٹرول 2.07روپے ، ڈیزل 3.40روپے اور مٹی کا تیل 3.57روپے فی لیٹر سستا کردیا ،پٹرول اب 247.03روپے فی لٹر ہوگیا جس کا اطلاق رات 12بجے سے ہوگیا ہے ۔ حکومت کی جانب سے گزشتہ ڈھائی ماہ میں پٹرول 28.57روپے اور ڈیزل 37.35روپے سستا ہوچکا۔ تفصیلات کے مطابق حکومت نے اگلے 15 دن کے لیے پٹرولیم مصنوعات کی قیمتوں میں مزید کمی کا اعلان کردیا۔ حکومت کی جانب سے پٹرول کی قیمت میں 2 روپے 7 پیسے فی لیٹر اور ہائی اسپیڈ ڈیزل کی قیمت میں 3 روپے 40 پیسے فی لیٹر کمی کا اعلان کیا گیا ہے۔ اس کے علاوہ لائٹ ڈیزل کی قیمت میں 1 روپے تین پیسے فی لیٹر جبکہ مٹی کے تیل کی قیمت میں 3 روپے 57 پیسے فی لیٹر کمی کی گئی ہے۔ قیمتوں میں کمی کے بعد پٹرول کی نئی قیمت249.10 روپے فی لیٹر سے کم ہو کر 247.03روپے فی لیٹر ہوگئی۔اسی طرح تین روپے 40پیسے کمی کے بعد ڈیزل کی قیمت 249.69 روپے سے کم ہو کر 246.29 روپے فی لیٹر مقرر کردی گئی ہے۔ مٹی کے تیل کی قیمت 158.47 روپے سے کم ہو کر 154.90روپے فی لیٹر اور لائٹ ڈیزل آئل کی قیمت 141.93روپے فی لیٹر سے کم ہو کر 140.90 روپے فی لیٹر ہو گئی۔ وزارت خزانہ کی جانب سے جاری بیان کے مطابق وزیراعظم شہباز شریف کی ہدایت پر پیٹرولیم مصنوعات کی قیمتوں میں کمی کا فائدہ عوام کو منتقل کیا جا رہا ہے۔نئی قیمتوں کا اطلاق پیر کی رات 12 بجے سے ہو گیا۔ واضح رہے کہ حکومت کی جانب سے گزشتہ چند ماہ کے دوران پیٹرولیم مصنوعات کی قیمتوں میں مرحلہ وار نمایاں تبدیلی کی گئی ہے۔ گزشتہ ماہ 15 ستمبر کو حکومت کی جانب سے پیٹرول کی قیمت میں 10 روپے اور ڈیزل کی قیمت میں 13 روپے 6 پیسے کمی کا اعلان کیا گیا تھا۔ اس سے قبل 31اگست کو وفاقی حکومت نے پیٹرول 1.86 روپے اور ڈیزل 3.32 روپے فی لیٹر سستا کرنے کا اعلان کیا تھا جبکہ اس سے قبل 15 اگست کو پیٹرول کی قیمت 8.47 روپے اور ڈیزل کی قیمت 6.7 روپے فی لیٹر کمی کی گئی تھی۔ گزشتہ ڈھائی ماہ میں پٹرول 28.57روپے اور ڈیزل 37.35روپے سستا ہوچکاہے۔,247.03,251.29,0.1,0.6,0.2,0.05,0.05,0.1,0.6,0.25,0.04,0.01,0.3,0.65,0.05,0.0,0.0,0.4,0.5,0.1,0.0,0.0,1.25,1.3,0.6499999999999999,0.74
6,2024-09-16,https://e.jang.com.pk/detail/758135%22,308.0,مسلسل چوتھی بار پٹرولیم مصنوعات سستی، پٹرول 10 اور ڈیزل کی قیمت میں 13.06 روپے فی لیٹر کمی,اسلام آباد (جنگ نیوز) وزیراعظم شہباز شریف کا عوام کو بڑا ریلیف، پٹرولیم مصنوعات کی قیمتوں میں مسلسل چوتھی بار کمی کی منظوری دیدی گئی۔پٹرول 10اور ڈیزل کی قیمت میں 13.06روپے لیٹر کمی کی گئی جس کے بعد پٹرول کی نئی قیمت 249.10روپے ، ہائی اسپیڈ ڈیزل 249.69، لائٹ ڈیزل 141.93روپے فی لیٹر مقرر ہوگئی ، مٹی کا تیل بھی 11روپے 15پیسے سستا ہوگیا، نئی قیمتوں کا نوٹیفکیشن جاری ہوگیا اور اطلاق رات 12بجے سے ہوگیا۔ ادھر ذرائع کا کہنا ہے کہ وزیراعظم کو پٹرول مصنوعات پر ریلیف پورا نہ دینے کا مشورہ دیا گیا، ذرائع، شہباز شریف نے اتفاق نہ کرتے ہوئے کہا کہ عام آدمی گزشتہ کئی برس سے مہنگائی کا شکارہے ریلیف پورا پورا ملنے چاہئے۔ تفصیلات کے مطابق وزیراعظم شہباز شریف کا عوام کو بڑا ریلیف، پٹرولیم مصنوعات کی قیمتوں میں مسلسل چوتھی بار کمی کی منظوری دیدی گئی۔ذرائع کے مطابق پیٹرول کی قیمت میں 10روپے فی لیٹر ، ڈیزل میں 13 روپے 6پیسے ، مٹی کے تیل میں 11روپے 15پیسے ۔ لائٹ ڈیزل آئل کی قیمت میں 12روپے 12پیسےفی لیٹر کمی کردی گئی ہے ۔ پٹرول کی قیمت 10روپے فی لٹر کمی کے بعد 249.10روپے فی لٹر ، ہائی سپیڈ ڈیزل کی قیمت 13 روپے 6 پیسے کمی کے بعد 249.69روپے ۔ لائٹ ڈیزل آئل کی قیمت 12روپے 12پیسے فی لٹر کم ہو کر141.93روپے ، مٹی کے تیل کی قیمت 11 روپے15پیسے فی لٹر کم ہو کر 158.47روپے فی لٹر ہوگئی ہے۔پیٹرولیم مصنوعات کی نئی قیمتوں کا اطلاق رات 12بجے سے ہوگیا۔ معتبر ذرائع سے معلوم ہوا ہے کہ وزیر اعظم کو مشورہ دیا گیا تھا کہ وہ پورا ریلیف نہ دیں اور اس کا ایک حصہ اپنے پاس رکھیں لیکن وزیر اعظم نے اس بات سے اتفاق نہیں کیا اور کہا کہ عام آدمی پہلے ہی پچھلے کچھ برسوں سے مہنگائی کا شکار ہے اس لیے انہیں ریلیف پورا پورا ملنا چاہیے۔,247.03,246.29,0.1,0.65,0.2,0.03,0.02,0.15,0.6,0.15,0.05,0.05,0.7,0.25,0.05,0.0,0.0,0.55,0.35,0.1,0.0,0.0,1.65,1.4500000000000002,0.78,0.75
7,2024-09-01,https://e.jang.com.pk/detail/748606,214.0,وزیراعظم کا عوام کو ریلیف، ڈیزل 3.32، پٹرول 1.86 روپے فی لٹر سستا، ایل پی جی مہنگی,اسلام آباد (نمائندہ جنگ،اے پی پی) وزیراعظم شہباز شریف نے عوام کو ریلیف دیتے ہوئے پٹرولیم مصنوعات کی قیمتوں میں کمی کا اعلان کیا ہے۔ ہفتہ کو جاری کردہ بیان کے مطابق ہائی اسپیڈ ڈیزل کی قیمت 3.32 روپے فی لیٹر کمی کے بعد 266.07 روپے فی لیٹر سے کم ہو کر 262.75 روپے فی لیٹر ہو گئی ہے، اسی طرح پٹرول کی قیمت میں فی لیٹر 1.86 روپے کمی کی گئی ہے،پٹرول کی قیمت 260.96 روپے فی لیٹر سے کم ہو کر 259.10 فی لیٹر روپے ہوگئی ہے، مٹی کے تیل کی قیمت 2.15 روپے فی لیٹر کے بعد 171.77 روپے فی لیٹر سے کم ہو کر 169.62 روپے فی لیٹر ہو گئی ہے، لائٹ ڈیزل آئل کی قیمت میں 2.97 روپے فی لیٹر کمی کی گئی ہے جس کے بعد لائٹ ڈیزل آئل کی قیمت 157.02 روپے فی لیٹر سے کم ہو کر 154.05 روپے فی لیٹر ہو گئی۔ نئی قیمتوں کا اطلاق یکم ستمبر 2024ءسے ہوگا۔ادھر ایل پی جی کی فی کلو قیمت میں 7 روپے کا اضافہ کر دیا گیا ہے۔ایل پی جی کا 11.8 کلوگرام گھریلو سلنڈر 82 روپے 84 پیسے مہنگا کردیا گیاہے۔اوگرا نے ایل پی جی کی قیمتوں میں اضافے کا نوٹیفکیشن جاری کردیا ہے ایل پی جی کی نئی قیمتوں کا اطلاق ستمبر کے لیے ہوگا۔,249.1,249.69,0.1,0.55,0.15,0.15,0.05,0.1,0.5,0.2,0.15,0.05,0.1,0.6,0.05,0.25,0.0,0.15,0.55,0.15,0.15,0.0,0.55,0.7,0.5,0.45
8,2024-08-14,https://e.jang.com.pk/detail/738036,82.0,یوم آزادی پر تحفہ، پٹرول 8.47 اور ڈیزل 6.70 روپے فی لٹر سستا,اسلام آباد (صباح نیوز) وزیراعظم شہباز شریف کا یومِ آزادی پر عوام کیلئے بڑا تحفہ۔پٹرولیم مصنوعات کی قیمتوں میں زبردست کمی کردی گئی۔ پٹرول کی قیمت 8.47روپے اور ڈیزل کی قیمت 6.70 روپے فی لیٹر کم کر دی گئی۔پٹرول کی فی لیٹر قیمت 269.43روپے سے کم ہو کر 260.96 روپے ہوگئی۔ڈیزل کی فی لیٹر قیمت 272.77 روپے سے کم ہو کر 266.07روپے فی لیٹر ہوگئی۔ اعلامیہ جاری کردیا گیا ۔ پیٹرولیم مصنوعات کی نئی قیمتوں کا اطلاق رات 12 بجے سے ہوگا۔,259.1,262.75,0.1,0.75,0.1,0.03,0.02,0.1,0.75,0.1,0.03,0.02,0.55,0.4,0.05,0.0,0.0,0.6,0.3,0.1,0.0,0.0,1.5,1.5,0.8799999999999999,0.8799999999999999
9,2024-01-08,https://e.jang.com.pk/detail/730172,385.0,خراب معاشی صورتحال، وزیراعظم کا دلیرانہ اقدام، پٹرول 6.17، ڈیزل 10.86، مٹی کا تیل 6.32  روپے سستا,اسلام آباد(نمائندہ جنگ)خراب معاشی صورتحال کے باوجود وزیر اعظم نے دلیرانہ اقدام کردیا، وفاقی حکومت نے پٹرولیم مصنوعات کی قیمتوں میں بڑی کمی کر دی ، پٹرول کی قیمت میں 6روپے 17پیسے فی لٹر، ہائی سپیڈڈیزل کی قیمت میں 10روپے 86پیسے فی لٹر کمی کر دی گئی جبکہ مٹی کا تیل 6روپے 32پیسے فی لٹر اور لائیٹ ڈیزل آئل کی قیمت میں 5روپے72پیسے فی لٹر کمی کی گئی ہے، وزیراعظم شہباز شریف نے پٹرولیم مصنوعات کی قیمتوں میں کمی کی منظوری دی ، وزارت خزانہ کے اعلامیہ کے مطابق آئندہ 15روز کیلئے پٹرول کی نئی قیمت 269روپے43پیسےفی لٹر،ہائی سپیڈ ڈیزل 272روپے 77پیسے فی لٹر ، مٹی کا تیل 177روپے39پیسے فی لٹر اور لائیٹ ڈیزل آئل کی قیمت 160روپے53پیسے فی لٹر مقرر کر دی گئی ہے، وزارت خزانہ کے مطابق گزشتہ 15روز کےد وران عالمی مارکیٹ میں تیل کی قیمتوںمیں ردوبدل دیکھنے میں آیا ، پٹرولیم مصنوعات کی مقامی قیمتوں میں اس کے مطابق کمی کی گئی ، اوگرا نے عالمی مارکیٹ میں تیل کی قیمتوں اور کرنسی کی قدرکو دیکھتے ہوئے نئی قیمتیں مقرر کرنے کی سفارش کی ، ذرائع کے مطابق پٹرول اور ہائی سپیڈ ڈیزل پر پیٹرولیم لیوی 60روپے فی لٹر اورمٹی کے تیل پر پانچ روپے فی لٹر برقرار رہے گی ، نئی قیمتوں کا اطلاق یکم اگست سے 15اگست تک کےلیے کر دیاگیا ۔ادھر آئل اینڈ گیس ریگولیٹری اتھارٹی (اوگرا) نے اگست کیلئے مائع پیٹرولیم گیس (ایل پی جی) کی فی کلو قیمت میں 2 روپے 28 پیسے کا اضافہ کردیا جب کہ آئندہ ماہ کے لیے مائع قدرتی گیس (ایل این جی)کی قیمتوں میں 8.50 فیصد تک کمی کردی گئی،اوگرا کی جانب سے جاری نوٹیفکیشن کےمطابق فی کلو قیمت میں 2 روپے 28 پیسے اضافے کے بعد ایل پی جی کی نئی فی کلو قیمت 233 روپے مقرر کردی گئی۔ایل پی جی کا 11.8 کلوگرام کا گھریلو سلنڈر 26 روپے 90 پیسے مہنگا ہوگیا، ایل پی جی کے گھریلو سلنڈر کی نئی قیمت 2ہزار 797 روپے مقرر کردی گئی۔دوسری جانب اوگرا نے اگست کیلئے ایل این جی کی قیمتوں میں 8.50 فیصد تک کمی کا نوٹیفکیشن جاری کردیا۔سوئی ناردرن کے لیے ایل این جی کی قیمت میں 1.23 ڈالر فی ایم ایم بی ٹی یو کمی کی گئی جبکہ سوئی ناردرن کے لئے ایل این جی کی قیمت 13.39 ڈالر فی ایم ایم بی ٹی یو مقرر کی گئی ہے۔,260.96,266.07,0.1,0.65,0.15,0.05,0.05,0.1,0.6,0.2,0.05,0.05,0.35,0.55,0.1,0.0,0.0,0.15,0.55,0.2,0.08,0.02,1.25,0.73,0.7,0.6499999999999999
