,date,link,word_count,headline,petrol,hsd,inner_html,openai_headline_very_positive,openai_headline_positive,openai_headline_neutral,openai_headline_negative,openai_headline_very_negative,openai_text_very_positive,openai_text_positive,openai_text_neutral,openai_text_negative,openai_text_very_negative,gemini_headline_very_positive,gemini_headline_positive,gemini_headline_neutral,gemini_headline_negative,gemini_headline_very_negative,gemini_text_very_positive,gemini_text_positive,gemini_text_neutral,gemini_text_negative,gemini_text_very_negative,gemini_headline_overall_sentiment,gemini_text_overall_sentiment,openai_headline_overall_sentiment,openai_text_overall_sentiment
0,16/12/2024,https://dailypakistan.com.pk/E-Paper/lahore/2024-12-16/page-1/detail-15,243.0,پٹرول کی قیمت برقرار، ڈیزل 3.05کیروسین آئل 3.32، لائٹ ڈیزل 2.78روپے لٹر سستا,252.1,255.38,اسلام آباد(مانیٹرنگ ڈیسک، نیوز ایجنسیاں) حکومت نے پیٹرول کی فی لیٹر قیمت 252 روپے 10 پیسے برقرار رکھی ہے جبکہ ڈیزل اور میٹی کے تیل کی قیمتوں مین کمی کردی گئی وزارت خزانہ کی جانب سے جاری نوٹیفکیشن میں کہا گیا کہ آئل اینڈ گیس ریگولیٹری اتھارٹی (اوگرا) نے گزشتہ 15 روز کے دوران عالمی مارکیٹ میں قیمتوں کے اتار چڑھاؤ کو مدنظر رکھتے ہوئے پیٹرولیم مصنوعات کی قیمت پر کام کیا۔حکومت کی جانب سے فیصلہ کیا گیا کہ اگلے 15 روز کے لیے پیٹرولیم مصنوعات کی قیمت میں رودو بدل کی جائے۔نوٹیفکیشن میں بتایا گیا کہ نئی قیمتوں کا اطلاق 16 دسمبر سے اگلے 15 روز کے لیے ہوگا۔وزارت خزانہ کی جانب سے جاری نوٹیفکیشن کے مطابق ہائی اسپیڈ ڈیزل کی قیمت میں 3.05 روپے فی لٹر کمی کر دی گئی ہے، جس کے بعد نئی قیمت 258.43 روپے فی لیٹر سے کم ہو کر 255.38 روپے فی لیٹر ہو گئی ہے۔نوٹیفکیشن کے مطابق پیٹرول کی موجودہ فی لیٹر قیمت 252.10 روپے فی لیٹر برقرار رکھی گئی ہے۔مٹی کے تیل کی قیمت میں 3.32 روپے فی لیٹر کمی کر دی گئی، جس کے بعد نئی قیمت 164 روپے 98 پیسے سے کم ہو کر 161 روپے 66 پیسے مقرر کردی گئی ہے۔وزارت خزانہ نے لائٹ ڈیزل آئل کی قیمت میں 2.78 روپے فی لیٹر کم کرنے کا اعلان کیا ہے، جس کے بعد لائٹ ڈیزل آئل کی قیمت 151 روپے 73 پیسے سے کم ہو کر 148 روپے 95 پیسے ہوگئی ہے۔,0.0,0.1,0.7,0.15,0.05,0.1,0.3,0.4,0.15,0.05,0.05,0.6,0.35,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.7,0.4,-0.15,0.25
1,01/12/2024,https://dailypakistan.com.pk/E-Paper/lahore/2024-12-01/page-1/detail-14,146.0,3.72اور ڈیزل 3.29روپے لٹر مہنگا، مٹی کا تیل، لائٹ ڈیزل سستا,252.1,258.43,اسلام آباد(مانیٹرنگ ڈیسک)وفاقی حکومت نے ملک میں آئندہ 15 روز کیلئے پیٹرولیم مصنوعات کی قیمتوں میں ردو بدل کردیا، اس ضمن میں وزارت خزانہ نے پیٹرولیم مصنوعات کی قیمتوں میں ردوبدل کا نوٹیفکیشن جاری کردیا جس کے مطابق پٹرول کی قیمت میں 3 روپے 72 پیسے فی لیٹر اضافے کے بعد نئی قیمت 252 روپے 10 پیسے فی لیٹر، ڈیزل کا نر خ 3 روپے 29 پیسے فی لیٹراضافے کیساتھ 258 روپے 43 پیسے فی لیٹر ہوگیا۔نوٹیفکیشن کے مطابق مٹی کے تیل کی قیمت میں 62 پیسے فی لیٹر اور لائٹ ڈیزل آئل کی قیمت میں 48 پیسے فی لیٹرکمی کر دی گئی،جس سے مٹی کے تیل کی نئی قیمت 164روپے 98 پیسے فی لیٹر اور لائٹ ڈیزل آئل کی نئی قیمت 151روپے 73پیسے فی لیٹر ہوگی۔پیٹرولیم مصنوعات کی نئی قیمتوں کا اطلاق رات یکم دسمبرسے شروع کر دیا گیا،جو اگلے 15 روز تک نفاذ رہیگا۔,0.0,0.05,0.4,0.45,0.1,0.0,0.1,0.7,0.15,0.05,0.0,0.1,0.2,0.6,0.1,0.0,0.05,0.75,0.2,0.0,-0.7000000000000001,-0.15,-0.6,-0.15
2,16/11/2024,https://dailypakistan.com.pk/E-Paper/lahore/2024-11-16/page-1/detail-32,114.0,حکومت کا پیٹرولیم مصنوعات کی قیمتیں برقرار رکھنے کا فیصلہ,248.38,255.14,اسلام آباد(مانیٹرنگ ڈیسک) حکومت نے پیٹرولیم مصنوعات کی قیمتیں برقرار رکھنے کا اعلان کردیا۔وزارت خزانہ کے جاری کردہ نوٹیفیکیشن کے مطابق آئندہ 15 روز کیلئے پیٹرولیم مصنوعات کی قیمتیں برقرار رکھی گئی ہیں۔پیٹرول کی فی لیٹر قیمت 248 روپے 38 پیسے اور ہائی اسپیڈ ڈیزل کی قیمت 255 روپے 14 پیسے فی لیٹر برقرار رہے گی۔اس سے قبل ملک میں پیٹرولیم مصنوعات کی قیمتوں میں ساڑھے 5 روپے فی لیٹر تک اضافے کا امکان ظاہر کیا جا رہا تھا۔خیال رہے حکومت کی جانب سے یکم نومبر کو پیٹرول کی فی لیٹر قیمت میں ایک روپے 35 پیسے جبکہ ہائی اسپیڈ ڈیزل کی قیمت میں 3 روپے 85 پیسے فی لیٹر کا اضافہ کیا گیاتھا۔,0.0,0.1,0.6,0.2,0.1,0.0,0.1,0.6,0.2,0.1,0.0,0.06,0.92,0.01,0.01,0.0,0.4,0.45,0.15,0.0,0.03,0.25,-0.3,-0.3
3,01/11/2024,https://dailypakistan.com.pk/E-Paper/lahore/2024-11-01/page-1/detail-4,158.0,پٹرول 1.35، ڈیزل 3.85روپے فی لٹر مہنگا,248.38,255.14,اسلام آباد (مانیٹرنگ ڈیسک)حکومت نے پیٹرولیم مصنوعات کی قیمتوں میں اضافہ کردیا، وزارت خزانہ کے جاری نوٹیفکیشن کے مطابق حکومت کی جانب سے پیٹرول کی فی لیٹر قیمت میں 1 روپے 35 پیسے کا اضافہ کیا گیا ہے، پیٹرول کی نئی قیمت 248 روپے 38 پیسے فی لیٹر مقرر کی گئی ہے۔ہائی اسپیڈ ڈیزل کی قیمت میں 3 روپے 85 پیسے فی لیٹر اضافہ کیا گیا ہے، ہائی اسپیڈ ڈیزل کی نئی قیمت 255 رو پے 14 پیسے فی لیٹر مقرر کی گئی ہے۔مٹی کے تیل کی قیمت میں 1 روپے 48 پیسے فی لیٹر کمی کی گئی ہے، مٹی کے تیل کی نئی قیمت 161 روپے 54 پیسے فی لیٹر مقرر کی گئی ہے۔لائٹ ڈیزل آئل کی قیمت میں 2 روپے 61 پیسے فی لیٹر کمی کر دی گئی ہے اور لائٹ ڈیزل آئل کی نئی قیمت 147 روپے 51 پیسے فی لیٹر ہوگی۔پیٹرولیم مصنوعات کی نئی قیمتوں کا اطلاق گذشتہ رات 12 بجے سے شروع ہوگیا۔,0.0,0.05,0.1,0.5,0.35,0.0,0.1,0.5,0.3,0.1,0.0,0.0,0.25,0.7,0.05,0.01,0.08,0.65,0.25,0.01,-0.7999999999999999,-0.17,-1.15,-0.4
4,16/10/2024,https://dailypakistan.com.pk/E-Paper/lahore/2024-10-16/page-1/detail-1,75.0,پٹرول کی قیمت برقرار ڈیزل 5 روپے لیٹر مہنگا,248.38,255.14,اسلام آباد (مانیٹرنگ ڈیسک) حکومت کی جانب سے پٹرولیم مصنوعات کی قیمتوں میں ردوبدل کر دیا گیا، ڈیزل کی قیمت 5 روپے بڑھا دی گئی۔وزارت خزانہ کی جانب سے جاری نوٹیفکیشن کے مطابق پٹرول کی قیمت 247 روپے 3 پیسے فی لٹر برقرار رکھی گئی، ڈیزل کی فی لیٹر قیمت بڑھ کر 251.29 روپے ہوگئی۔نئی قیمتوں کا اطلاق رات بارہ بجے سے شروع، وزارت خزانہ نے قیمتوں میں ردوبدل کا نوٹیفکیشن بھی جاری کر دیا۔,0.0,0.05,0.15,0.6,0.2,0.0,0.05,0.7,0.15,0.1,0.0,0.0,0.4,0.5,0.1,0.0,0.0,0.65,0.35,0.0,-0.7,-0.35,-0.95,-0.3
5,01/10/2024,https://dailypakistan.com.pk/E-Paper/lahore/2024-10-01/page-1/detail-15,201.0,پٹرول 2.07، ڈیزل 3.40، لائٹ ڈیزل 1.03، مٹی کا تیل 3.57روپے فی لٹر سستا,247.03,251.29,اسلام آباد(مانیٹرنگ ڈیسک) وفاقی حکومت نے پیٹرولیم مصنوعات کی قیمتوں میں 3 روپے 57 پیسے فی لیٹر تک کمی کردی، نئی قیمتوں کا اطلاق رات 12 بجے سے شروع ہوگیا۔ حکو مت نے پٹرول کی قیمت میں 2.07 روپے فی لیٹر کمی کی ہے جس کے بعد پٹرول کی نئی قیمت 249.10 روپے فی لیٹر سے کم ہو کر 247.03 روپے فی لیٹر ہوگئی ہے۔ہائی اسپیڈ ڈ یز ل کی قیمت میں 3.40 روپے فی لیٹر کمی کی ہے جس کے بعد ڈیزل کی نئی قیمت 249.69 روپے فی لیٹر سے کم ہو کر 246.29 روپے فی لیٹر ہو گئی ہے۔اسی طرح لائٹ ڈیزل کی قیمت 1.03 روپے فی لیٹر کی کمی کے بعد 141.93 روپے فی لیٹر سے کم ہو کر 140.90 روپے فی لیٹر اور مٹی کے تیل کی قیمت 3.57 روپے فی لیٹر کمی کے بعد 154.90 روپے فی لیٹر ہوگئی ہے۔واضح رہے یکم جون 2024ء سے لے کر یکم اکتوبر 2024ء تک پٹرول کی قیمت میں مجموعی طور پر 21.23 روپے فی لیٹر جبکہ ڈیزل کی قیمت میں 18.67 روپے فی لیٹر کمی کی گئی ہے۔وزیراعظم شہباز شریف کی ہدایت کے تحت پیٹرولیم مصنوعات کی قیمتوں میں کمی کا فائدہ عوام کو منتقل کیا جا رہا ہے۔,0.1,0.3,0.4,0.15,0.05,0.1,0.75,0.1,0.03,0.02,0.05,0.8,0.15,0.0,0.0,0.25,0.55,0.2,0.0,0.0,0.9,1.05,0.25,0.8799999999999999
6,16/09/2024,https://dailypakistan.com.pk/E-Paper/lahore/2024-09-16/page-1/detail-1,170.0,پٹرول 10،ڈیزل 13.06، مٹی کا تیل 11.15، لائٹ ڈیزل 12.12روپے فی لٹر سستا، نوٹیفکیشن جاری,247.03,246.29,اسلام آباد(مانیٹر نگ ڈیسک) وزیراعظم شہباز شریف کا عوام کو بڑا ریلیف، پٹرولیم مصنوعات کی قیمتوں میں بڑی کمی کا اعلان کردیا۔وفاقی حکومت نے پٹرول کی قیمت میں 10 روپے فی لٹر کمی کر دی،اس کے علاوہ ہائی سپیڈ ڈیزل کی قیمت میں 13 روپے 6 پیسے، مٹی کے تیل کی قیمت میں 11 روپے 15 پیسے فی لٹر کمی کی گئی ہے۔علاوہ ازیں لائٹ ڈیزل آئل کی قیمت میں 12 روپے 12 پیسے فی لٹر کمی کر دی گئی ہے، پٹرول کی قیمت 10 روپے فی لٹر کمی کے بعد 249.10 روپے فی لٹر ہوگئی ہے، ہائی سپیڈ ڈیزل کی قیمت 13 روپے 6 پیسے کمی کے بعد 249.69 روپے فی لٹر مقرر کی گئی ہے۔دوسری جانب لائٹ ڈیزل آئل کی قیمت 12 روپے 12 پیسے فی لٹر کم ہو کر 141.93 روپے ہوگئی ہے، مٹی کے تیل کی قیمت 11 روپے 15 پیسے فی لٹر کم ہو کر 158.47 روپے فی لٹر ہوگئی ہے۔نوٹیفکیشن جاری ہونے کے بعدرات گئے سے پٹرولیم مصنوعات کی نئی قیمتوں کا اطلاق ہوگیا,0.1,0.5,0.3,0.05,0.05,0.1,0.75,0.1,0.03,0.02,0.05,0.75,0.2,0.0,0.0,0.4,0.45,0.15,0.0,0.0,0.85,1.25,0.55,0.8799999999999999
7,01/09/2024,https://dailypakistan.com.pk/E-Paper/lahore/2024-09-01/page-1/detail-2,247.0,پٹرول1.86،ڈیزل3.32،لائٹ ڈیزل2.97روپے فی لٹر سستا,249.1,249.69,اسلام آباد(مانیٹرنگ ڈیسک،نیوزایجنسیاں) وزیراعظم شہباز شریف کا عوام کو بڑا ریلیف، پٹرولیم مصنوعات کی قیمتوں میں کمی کا اعلان کردیا گیا۔ہائی سپیڈ ڈیزل کی قیمت میں 3.32روپے فی لٹر اور ڈیزل کی قیمت 266.07روپے سے کم ہو کر 262.75روپے ہو گئی۔حکومت کی طرف سے جاری ہونیوالے نوٹیفکیشن کے مطابق پٹرول کی قیمت میں 1.86روپے فی لیٹر کمی کی گئی ہے جس کے بعدپٹرول کی قیمت 260.96 روپے سے کم ہو کر 259.10روپے ہوگئی۔مٹی کے تیل کی قیمت میں 2.15 روپے فی لیٹر کمی کی گئی ہے جس کے بعدمٹی کے تیل کی قیمت 171.77 روپے فی لیٹر سے کم ہو کر 169.62 روپے فی لیٹر ہو گئی۔لائٹ ڈیزل آئل کی قیمت میں 2.97 روپے فی لیٹر کمی کی گئی ہے جس کے بعد لائٹ ڈیزل آئل کی قیمت 157.02 روپے سے کم ہو کر 154.05 روپے ہو گئی۔نئی قیمتوں کا اطلاق رات 12بجے سے ہوگیاہے۔دوسری طرف ملک میں مائع پیٹرولیم گیس (ایل پی جی) کی فی کلو قیمت میں اضافہ کردیا گیا۔ آئل اینڈ گیس ریگولیٹری اتھارٹی (اوگرا) نے ایل پی جی کی قیمتوں میں اضافے کا نوٹیفکیشن جاری کردیا۔ایل پی جی کی فی کلو قیمت میں 7 روپے کا اضافہ کیا گیا ہے جس کے بعد نئی قیمت 244 روپے فی کلو مقرر کی گئی ہے۔نوٹیفکیشن کے مطابق ایل پی جی کا 11.8 کلوگرام گھریلو سلنڈر 82 روپے 84 پیسے مہنگا کردیا گیا اور ایل پی جی کے گھریلو سلنڈرکی نئی قیمت2 ہزار879 روپے ہوگی۔ایل پی جی کی نئی قیمتو ں کا اطلاق ستمبر کیلئے ہوگا۔,0.1,0.6,0.2,0.05,0.05,0.15,0.4,0.3,0.1,0.05,0.15,0.75,0.1,0.0,0.0,0.15,0.4,0.25,0.2,0.0,1.05,0.5,0.6499999999999999,0.5
8,14/08/2024,https://dailypakistan.com.pk/E-Paper/lahore/2024-08-14/page-1/detail-1,102.0,وزیراعظم کا یوم آزادی پر عوام کو تحفہ، پٹرول، ڈیزل کی قیمتوں میں کمی,259.1,262.75,اسلام آباد (مانیٹرنگ ڈیسک، نیوز ایجنسیاں)  وزیر اعظم شہباز شریف کی ہدایت پرحکومت نے یوم آزادی پر عوام بڑا تحفہ دیتے ہوئے پٹرولیم مصنوعات کی قیمتوں میں کمی کا اعلان کردیا۔وزارت خزانہ کی جانب سے جاری نوٹیفکیشن کے مطابق پٹرول کی قیمت میں 8.47 روپے فی لٹر جبکہ ڈیزل کی قیمت میں 6.07 روپے فی لٹر کی کمی کردی گئی۔قیمتوں میں کمی کے بعد پٹرول کی نئی قیمت 260 روپے 96 پیسے فی لٹر اور ڈیزل کی نئی قیمت 266 روپے 07 پیسے فی لٹر ہوگئی۔وزارت خزانہ کے مطابق نئی قیمتوں کا اطلاق 13 اگست کی رات 12 بجے سے شروع ہوگیا,0.15,0.6,0.15,0.05,0.05,0.2,0.6,0.15,0.03,0.02,0.6,0.35,0.05,0.0,0.0,0.55,0.35,0.1,0.0,0.0,1.5499999999999998,1.4500000000000002,0.75,0.93
9,01/08/2024,https://dailypakistan.com.pk/E-Paper/lahore/2024-08-01/page-1/detail-2,142.0,ڈیزل  10.86، پٹرول 6.17، مٹی کا تیل 6.32روپے فی لٹر سستا,260.96,266.07,اسلام آباد (مانیٹرنگ ڈیسک، نیوز ایجنسیاں) حکومت نے پٹرولیم مصنوعات کی قیمتوں میں کمی کا اعلان کردیا۔ وزارت خزانہ کے نوٹیفکیشن کے مطابق ہائی سپیڈ ڈیزل کی فی لٹر قیمت میں 10 روپے 86 پیسے جبکہ پٹرول کی فی لٹرقیمت میں 6 روپے 17 پیسے کم کی گئی۔مٹی کے تیل کی قیمت میں بھی 6 روپے 32 پیسے جبکہ لائٹ ڈیزل کی قیمت بھی 5 روپے 72 پیسے فی لٹر کمی کردی گئی۔قیمتوں میں کمی کے بعد پٹرول کی فی لٹر قیمت 269 روپے 43 پیسے جبکہ ہائی سپیڈ ڈیزل کی فی لٹر قیمت 272 روپے 77 پیسے مقرر کی گئی۔لائٹ ڈیزل کی فی لٹر قیمت 160 روپے 53 پیسے جبکہ مٹی کے تیل کی فی لٹر قیمت 177 روپے 39 پیسے مقرر کی گئی۔وزیراعظم کی منظوری کے بعد وزارت خزانہ نے باضابطہ نوٹیفکیشن جاری کر دیا۔ قیمتوں کا اطلاق شروع ہوگیا۔,0.0,0.5,0.4,0.05,0.05,0.1,0.75,0.1,0.04,0.01,0.08,0.75,0.17,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.91,0.5,0.35,0.8899999999999999
