,date,link,inner_html,word_count,petrol,hsd,multilingual (Very positive),multilingual (Positive),multilingual (Neutral),multilingual (Negative),multilingual (Very negative),headline,openai_headline_very_positive,openai_headline_positive,openai_headline_neutral,openai_headline_negative,openai_headline_very_negative,openai_text_very_positive,openai_text_positive,openai_text_neutral,openai_text_negative,openai_text_very_negative
0,2024-12-16,https://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1111385661&Issue=NP_LHE&Date=20241216,"مٹی کے تیل کی قیمت میں 3.32 روپے، لائٹ ڈیزل میں 2.78 روپے فی لٹر کمی
نئی قیمتوں کا اطلاق رات 12 بجے سے، اگلے 15 روز تک لاگو رہیں گی
اسلام آباد (ارشاد انصاری سے) وفاقی حکومت نے پٹرولیم مصنوعات کی قیمتوں میں ردوبدل کرتے ہوئے نئی
قیمتوں کا نوٹیفیکیشن جاری کر دیا ہے۔ حکومتی اعلامیہ کے مطابق پٹرول کی قیمت 252.10 روپے فی لٹر پر برقرار
رکھا گیا ہے جبکہ ہائی سپیڈ ڈیزل کی قیمت میں 3.05 روپے فی لٹر کمی کی گئی ہے۔ ہائی سپیڈ ڈیزل کی قیمت 258.43
روپے فی لٹر سے کم ہو کر 255.38 روپے فی لٹر ہو گئی ہے۔ مٹی کے تیل کی قیمت میں 3.32 روپے فی لٹر،
لائٹ ڈیزل کی قیمت میں بھی 2.78 روپے فی لٹر کمی کی گئی ہے۔ نئی قیمتوں کا اطلاق آج رات 12 بجے سے کر دیا گیا
ہے جو اگلے 15 روز تک لاگو رہیں گی۔
",154.0,252.1,255.38,,,,,,پٹرول کی قیمت برقرار، ڈیزل 3.05 روپے فی لٹر سستا,0.1,0.5,0.3,0.05,0.05,0.1,0.6,0.25,0.04,0.01
1,2024-12-01,https://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1111355241&Issue=NP_LHE&Date=20241201,"پیٹرول 252 روپے 10 پیسے اور ہائی سپیڈ ڈیزل کی قیمت 258 روپے 43 پیسے فی لٹر ہوگی لائٹ ڈیزل 43 پیسے
اور مٹی کا تیل 62 پیسے سستا کر دیا گیا، نوٹیفیکیشن جاری
مٹی تیل 164.98، لائٹ ڈیزل 151.73 روپے فی لٹر، گھریلو سلنڈر 1.32 روپے کلو مہنگا، 254.30LPG
روپے کلو ہو گئی، LPG سرکاری قیمت پر دستیاب نہیں : عرفان
اسلام آباد، لاہور (ارشاد انصاری سے، وقائع نگار) حکومت نے پیٹرولیم مصنوعات کی قیمتوں میں اضافہ کر دیا۔
ایل پی جی کو بھی معمولی مہنگا کر دیا گیا۔ ایکسپر یس نیوز کے مطابق حکومت نے اگلے 15 روز کیلیے پیٹرول کی فی لٹر
قیمت میں 3 روپے 72 پیسے جبکہ ہائی اسپیڈ ڈیزل کی قیمت میں 3 روپے 29 پیسے کا اضافہ کیا۔ حالیہ اضافے کے
بعد فی لٹر پیٹرول کی قیمت 252 روپے 10 پیسے جبکہ ہائی اسپیڈ ڈیزل کی قیمت 258 روپے 43 پیسے پر پہنچ گئی ۔
حکومت نے لائٹ ڈیزل کی قیمت میں 48 پیسے جبکہ مٹی کے تیل کی قیمت میں 62 پیسے کی کمی کردی۔ وزارت
خزانہ کی جانب سے جاری نونی ٹیفکیشن کے مطابق کمی کے بعد مٹی کے تیل کی قیمت 164.98 روپے جبکہ لائٹ
ڈیزل کی قیمت 151 روپے 73 پیسے کم ہو گئی۔ دوسری طرف ایل پی جی کی قیمت میں ایک روپے 32 پیسے کا اضافہ
کر دیا گیا، ایل پی جی کی فی کلو قیمت 254.30 روپے مقرر کر دی گئی ۔ اوگرا نے ماہ دسمبر 2024 کیلیے ایل پی جی کی
قیمت میں اضافے کا نوٹیفیکیشن جاری کر دیا ۔ ایل پی جی کا گھریلو سلنڈر 1.32 روپے اور کمرشل سلنڈر 5.07 روپے
مہنگا کر دیا گیا۔ سرکاری پیداواری قیمت میں 112.16 روپے فی میٹرک ٹن اضافہ کیا گیا ۔ اب ایل پی جی
254.19 روپے فی کلو کی جگہ 254.30 روپے فی کلو میں ملے گی۔ 11.8 کلو گرام کا گھریلو سلنڈر 2999.47
روپے کی جگہ 3000.79 روپے اور کمرشل سلنڈر 11540.33 روپے کی جگہ 11545.41 روپے میں
دستیاب ہو گا ۔ عرفان کھوکھر چیئر مین ایل پی جی انڈسٹریز ایسوسی ایشن پاکستان نے کہا کہ ملک بھر میں کسی بھی
ایل پی جی پلانٹ پر سرکاری قیمت پر ایل پی جی دستیاب نہیں ہے ۔ حکومت کی ریٹ ناکام ہو گئی ۔ مافیا کا راج چل رہا
ہے ۔ پچھلے کئی ماہ سے ایل پی جی کی بلیک مارکیٹنگ عروج پر ہے ۔ تمام سرکاری ادارے خاموش بیٹھے ہوئے ہیں ۔
بھاری جرمانے غریب ایل پی جی دوکانداروں کا مقدر بن چکے ہیں ۔ ایل پی جی پلانٹوں سے سپلائی کو سرکاری قیمت
پر یقینی بنایا جائے ۔ پیٹرولیم مصنوعات کی نئی قیمتوں کا اطلاق آج یکم دسمبر سے کیا گیا ہے ۔
",15.0,252.1,258.43,,,,,,"پٹرول 3 روپے 72 پیسے زیادہ 29 روپے فی کلو LPG مہنگا اسکی قیمت بھی بڑھ گئی
",0.0,0.01,0.1,0.65,0.24,0.0,0.02,0.1,0.55,0.33
2,2024-11-16,https://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1111327460&Issue=NP_LHE&Date=20241116,"اسلام آباد (ارشاد انصاری سے) وفاقی حکومت نے اگلے پندرہ روز کیلئے پٹرولیم مصنوعات کی موجودہ قیمتیں ہی
برقرار رکھنے کا اعلان کر دیا۔ اس حوالے سے نوٹیفکیشن جاری کر دیا گیا۔ وزارت خزانہ کے مطابق پٹرول کی قیمت
248.38 روپے فی لٹر جبکہ ہائی اسپیڈ ڈیزل کی قیمت 255.14 روپے فی لٹر ہی برقرار رکھی گئی ہے۔ اطلاق اگلے
پندرہ دن کیلئے ہو گا۔ وزارت خزانہ کا کہنا ہے کہ آئل اینڈ گیس ریگولیٹری اتھارٹی (اوگرا) نے بین الاقوامی مارکیٹ
میں پٹرولیم مصنوعات کی قیمتوں کے تناظر میں سمری تیار کر کے بھجوائی جس کی وزیراعظم کی منظوری کے بعد
اگلے پندرہ دن کیلئے پٹرولیم مصنوعات کی قیمتوں میں کسی قسم کا کوئی ردوبدل نہ کرنے کا فیصلہ کیا گیا ہے۔
",122.0,248.38,255.14,,,,,,پٹرول، ڈیزل کی قیمتیں برقرار، تبدیلی نہ کرنیکا فیصلہ,0.0,0.1,0.5,0.3,0.1,0.0,0.05,0.85,0.08,0.02
3,2024-11-01,https://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1111297978&Issue=NP_LHE&Date=20241101,,,248.38,255.14,,,,,,,,,,,,,,,,
4,2024-10-16,https://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1111267098&Issue=NP_LHE&Date=20241016,"اسلام آباد (مانیٹرنگ ڈیسک) حکومت نے ہائی سپیڈ ڈیزل کی قیمت میں 5 روپے فی لٹر اضافہ کر دیا، پٹرول، مٹی
کے تیل کی قیمت برقرار رہیں گی۔ وزارت خزانہ کے جاری اعلامیے کے مطابق 5 روپے اضافے کے بعد ہائی سپیڈ
ڈیزل کی نئی قیمت 251 روپے 29 پیسے فی لٹر ہوگی، پٹرول کی فی لٹر قیمت 247 روپے 3 پیسے برقرار ہے گی، نئی
قیمتوں کا اطلاق گزشتہ رات 12 بجے سے ہو گیا۔
",77.0,248.38,255.14,,,,,,ڈیزل 5 روپے لٹر مہنگا، پٹرول مٹی کے تیل کی قیمتیں برقرار,0.0,0.05,0.1,0.55,0.3,0.0,0.05,0.7,0.2,0.05
5,2024-10-01,https://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1111239036&Issue=NP_LHE&Date=20241001,,,247.03,251.29,,,,,,,,,,,,,,,,
6,2024-09-16,https://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1111212131&Issue=NP_LHE&Date=20240916,"پیٹرول کی نئی قیمت 249.10 روپے، ہائی سپیڈ ڈیزل کی 249.69 روپے، مٹی کے تیل کی قیمت 11 روپے 15
پیسے کی کمی کے بعد 158.47 روپے فی لٹر مقرر کر دی گئی
لائٹ ڈیزل کی قیمت 12 روپے 12 پیسے فی لٹر کم ہو کر 141.93 روپے ہو گئی، نئی قیمتیں رات 12 بجے سے موثر
اگلے 15 دنوں تک برقرار رہیں گی، نوٹیفیکیشن جاری
اسلام آباد (عامر الیاس رانا، ارشاد انصاری) حکومت نے وزیراعظم کے حکم پر مسلسل چوتھے ہفتے بھی پیٹرولیم
مصنوعات کی قیمتوں میں بڑے ریلیف کا اعلان کرتے ہوئے پیٹرول کی قیمت میں 10 روپے اور ہائی سپیڈ ڈیزل کی
قیمت میں 13 روپے 6 پیسے کی کمی کر دی ہے۔ پیٹرول کی نئی قیمت 249.10 روپے، ہائی سپیڈ ڈیزل کی
جبکہ ہائی سپیڈ ڈیزل کی قیمت 13 روپے 6 پیسے کی کمی کے بعد 249.69 روپے فی لٹر مقرر کی گئی ہے۔ لائٹ ڈیزل
آئل کی قیمت 12 روپے 12 پیسے فی لٹر کم ہو کر 141.93 روپے، مٹی کے تیل کی قیمت 11 روپے 15 پیسے کی
15 کے بعد 158.47 روپے فی لٹر ہو گئی ہے۔ نئی قیمتیں گزشتہ رات 12 بجے سے موثر ہو گئی ہیں اور اگلے
دنوں تک برقرار رہیں گی۔ ذرائع کا کہنا ہے کہ پیٹرولیم مصنوعات کی قیمتوں میں ردوبدل کے حوالے سے جائزہ
اجلاس میں وزیراعظم میاں شہباز شریف کو تجویز دی گئی تھی کہ پیٹرولیم مصنوعات کی قیمتوں میں کمی کا پورا ریلیف
عوام کو منتقل نہ کیا جائے تاہم وزیراعظم نے یہ تجویز مسترد کر دی اور موقف اختیار کیا کہ عوام گزشتہ چند برسوں
سے مسلسل مہنگائی کا شکار ہیں، اب جبکہ عالمی منڈی میں تیل کی قیمتوں میں کمی ہو رہی ہے تو عوام کو پورا ریلیف
منتقل کیا جائے۔ اس کے بعد عالمی منڈی میں تیل کی قیمتوں میں کمی کے تناسب سے جو کمی بنتی تھی وہ پوری عوام کو
منتقل کی گئی ہے۔
",17.0,247.03,246.29,,,,,,"عالمی قوتوں میں
کوویڈ۔۱۹ سے نمٹنے
کے لیے مشترکہ
جدوجہد پر زور
وزیراعظم حکمران برطانیہ کے ٹیلی فون پر 10 ہائی سپیڈ 13 اور 6 ٹیسٹرز پیشکش
",0.0,0.1,0.8,0.05,0.05,0.2,0.5,0.15,0.1,0.05
7,2024-09-01,https://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1111180761&Issue=NP_LHE&Date=20240901,"پٹرول 259.10 روپے، ہائی سپیڈ ڈیزل 262.75 روپے، لائٹ ڈیزل 2.97 روپے ستا ہونے سے
154.05 روپے فی لٹر
مٹی کا تیل 2.15 روپے کم ہو کر 169.62 روپے فی لٹر، نئی قیمتوں کا اطلاق رات 12 بجے سے ہو گیا، نوٹیفکیشن
جاری
اسلام آباد (ارشاد انصاری سے، خالد محمود) وزیراعظم شہباز شریف نے عوام کو بڑا ریلیف دیدیا، وفاقی حکومت
نے پٹرولیم مصنوعات کی قیمتوں میں مسلسل تیسری بار کمی کا اعلان کر دیا، حکومت کی جانب سے پٹرولیم مصنوعات
کی قیمتوں 3.32 روپے فی لٹر تک کمی کا اعلان کیا گیا، نئی قیمتوں کا اطلاق رات 12 بجے سے ہو گیا جو اگلے پندرہ دن
کیلئے لاگو رہیں گی، تفصیلات کے مطابق پٹرول کی قیمت میں 1.86 روپے فی لٹر کمی کی گئی، ہائی سپیڈ ڈیزل کی قیمت
میں تین روپے 32 پیسے کی کمی کی گئی ہے، پٹرول کی نئی قیمت کم ہو کر 259.10 روپے مقرر کی گئی ہے جبکہ ڈیزل
کی نئی قیمت کم ہو کر 262.75 روپے لٹر ہوگئی ہے، مٹی کا تیل 2.15 روپے فی لٹر کمی کے ساتھ 171.77
روپے سے کم ہو کر 169.62 روپے فی لٹر ہو گیا، لائٹ ڈیزل کی قیمت میں دو روپے 97 پیسے فی لٹر کی گئی، جس
کے بعد نئی قیمت 154.05 روپے فی لٹر ہوگئی ہے۔ وزارت پٹرولیم نے نوٹی فلکیشن جاری کر دیا حکومت کے
اس اقدام کا مقصد عوام کو بڑھتی ہوئی مہنگائی کے پیش نظر ریلیف فراہم کرنا ہے۔
",7.0,249.1,249.69,,,,,,"پٹرولیم قیمتوں میں مسلسل تیسری بار کمی،
1.86
روپے
3.32
فی لٹر سستا
",0.3,0.5,0.15,0.03,0.02,0.4,0.35,0.15,0.05,0.05
8,2024-08-14,https://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1111147321&Issue=NP_LHE&Date=20240814,"دل کی نئی قیمت 260 روپے 96 پیسے، ڈیزل 266 روپے 7 پیسے فی لیٹر ہوگئی، اطلاق ہو گیا، وزارت خزانہ
اسلام آباد (ارشاد انصاری سے)۔ وزیراعظم اعظم نے جشن آزادی پر عوام کو بڑا تحفہ دیتے ہوئے پٹرولیم مصنوعات کی
قیمتوں میں بڑی کمی کی منظوری دیدی۔ وزارت خزانہ نے پٹرولیم مصنوعات کی قیمتوں میں کمی کا نوٹیفکیشن جاری
کردیا۔ جس کے مطابق قیمتوں کا اطلاق رات 12 بجے سے کر دیا گیا۔ پٹرول دل کی قیمت میں 8 روپے 47 پیسے فی لیٹر
کمی کی گئی ہے۔ جس کے بعد پٹرول دل کی فی لیٹر نئی قیمت 260 روپے 96 پیسے ہوگئی جبکہ ڈیزل کی قیمت 6 روپے
70 پیسے فی لیٹر کم کی گئی ہے۔ جس کے بعد ہائی سپیڈ ڈیزل کی فی لیٹر قیمت 266 روپے 7 پیسے مقرر ہو گئی۔ پٹرولیم
مصنوعات کی نئی قیمتوں کا اطلاق آج بدھ سے 31 اگست تک ہو گا۔
",128.0,259.1,262.75,,,,,,"یوم آزادی
عظیم وزیراعظم کا
جمعہ 28 اگست
روپے 47 پیسے
روپے 6 پیسے
روپے 70 پیسے
",0.0,0.1,0.8,0.05,0.05,0.15,0.6,0.2,0.03,0.02
9,2024-01-08,https://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1111123374&Issue=NP_LHE&Date=20240801,"پٹرول کی قیمت میں 269.77 روپے، ہائی سپیڈ ڈیزل کی قیمت 272.77 روپے ہو گئی، وزیراعظم نے
قیمتوں میں کمی کی منظوری دی
مٹی کے تیل میں بھی 6 روپے 32 پیسے، لائٹ سپیڈ ڈیزل کی قیمت میں 5 روپے 72 پیسے فی لٹر کمی، وزارت خزانہ
نے نوٹیفیکیشن جاری کر دیا
اسلام آباد (ارشاد انصاری، عامر الیاس رانا، خالد محمود) وفاقی حکومت نے عوام کو بڑا ریلیف دیدیا، وزیراعظم شہباز
شریف نے پٹرولیم مصنوعات کی قیمتوں میں کمی کی منظوری دے دی، وزیراعظم نے پٹرولیم مصنوعات کی قیمتوں
کا اعلان کرتے ہوئے ڈیزل کی فی لٹر قیمت میں 10 روپے 86 پیسے کی کمی کر دی، پٹرول کی فی لٹر قیمت 6 روپے
17 پیسے کم کر دی گئی، مٹی کے تیل کی قیمت میں بھی 6 روپے 32 پیسے کی کمی کی گئی ہے، لائٹ سپیڈ ڈیزل کی قیمت
5 روپے 72 پیسے فی لٹر کمی کر دی گئی ۔ وزیراعظم کی منظوری کے بعد وزارت خزانہ نے باضابطہ نوٹیفیکیشن جاری کر
دیا۔ قیمتوں کا اطلاق رات بارہ بجے سے ہوا جو اگلے 15 دن تک لاگو رہیں گی۔ پٹرول کی قیمت کمی کے بعد
269.77 روپے جبکہ ہائی سپیڈ ڈیزل کی قیمت کمی کے بعد 272.77 روپے ہو گئی، لائٹ ڈیزل کی قیمت کمی کے
بعد 160 روپے 53 پیسے اور مٹی کے تیل کی قیمت کمی کے بعد 177 روپے 39 پیسے ہو گئی، واضح رہے کہ 15
جولائی کو حکومت نے عوام کی معاشی مشکلات میں مزید اضافہ کرتے ہوئے پٹرول کی قیمت میں 9 روپے 99 پیسے
کا بڑا اضافہ کر دیا تھا جبکہ ہائی سپیڈ ڈیزل کی قیمت 6 روپے 18 پیسے بڑھائی تھی جس سے پٹرول 275.60 روپے
ہائی سپیڈ ڈیزل 283.63 روپے، مٹی کا تیل 183.71 روپے اور لائٹ ڈیزل 166.25 روپے فی لٹر میں
دستیاب تھا۔
",278.0,260.96,266.07,,,,,,"عوام کیلئے پروڈکٹس 6 روڈ 17 سے پھر 10 پیدل 86 روڈ پھر پیدل پاکستان
",0.0,0.0,0.7,0.2,0.1,0.15,0.6,0.15,0.08,0.02
