,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,date,link,word_count,inner_html,headline,petrol,hsd,Bart(Very positive),Bart(Positive),Bart(Neutral),Bart(Negative),Bart(Very negative),mDeBERTa (Very positive),mDeBERTa (Positive),mDeBERTa (Neutral),mDeBERTa (Negative),mDeBERTa (Very negative),FinBERT label,NLTK positive,NLTK negative,NLTK neutral,multilingual (Very positive),multilingual (Positive),multilingual (Neutral),multilingual (Negative),multilingual (Very negative)
0,0,0,0,0,0,0,2024-07-16,https://www.nation.com.pk/E-Paper/karachi/2024-07-16/page-1/detail-5,353,"ISLAMABAD   -  The federal government Monday jacked up the prices of Petrol and High Speed Diesel by Rs9.99 per litre and 6.18 per litre respectively for the second fortnightly of July 2024.The prices of Kerosene Oil and Light Diesel Oil have also been increased by Rs 1.85 per litre and Rs 0.24 per litre, respectively for the upcoming fortnightly of July (w.e.f 16th July).The Oil & Gas Regulatory Authority (OGRA) has worked out the consumer prices, based on the price variations in the international market, said a statement issued by Finance Division here. The prices of Motor Spirit & HSD for the next fortnight, have been increased by Rs9.99 per litre and Rs6.18 per litre respectively. With the increase of Rs 9.99 per litre the price of Petrol will reach Rs 275.60 per litre from the existing Rs 265.61 per litre, while HSD follow­ing a hike of Rs 6.18 per litre will go up to Rs 283.63 per li­tre from the existing 277.45 per litre. Following an in­crease of Rs 1.85 per litre, the price of Kerosene will go up to Rs 183.71 per litre from the existing Rs 181.86 per litre, while LDO after a hike of Rs 0.24 per unit will go up to Rs 166.25 per litre from the current Rs 166.01 per litre. However, the state­ment said that there will be no change in the applicable taxes and duties, which will remain at the existing lev­el. The prices of petroleum products have seen an in­creasing trend in the inter­national market during the last fortnight. The prices of crude oil jacked up in the in­ternational market and were roaming between $85 and $87.15 per barrel. Notably, for the first fortnightly of July, the federal government had jacked up the prices of Petrol and High Speed Diesel by Rs 7.45 per litre and 9.56 per litre respectively. The prices of Kerosene Oil and Light Diesel Oil were also in­creased by Rs 10.85 per litre and Rs 9.05 per litre for the first fortnightly of July (1st to 15 July). The new prices will be effective from July 16, till further revision.",Govt jacks up petrol price by Rs9.99/litre,275.6,283.63,0.0436002537608146,0.1931477189064026,0.1228909417986869,0.4185133576393127,0.2218477427959442,0.1651918292045593,0.2755439281463623,0.0954912453889846,0.2912401556968689,0.1725328713655471,neutral,0.0,0.0,1.0,0.23880720138549805,0.23235054314136505,0.2226131111383438,0.16065363585948944,0.14557553827762604
1,1,1,1,1,1,1,2024-07-01,https://www.nation.com.pk/E-Paper/islamabad/2024-07-01/page-1/detail-2,191," The federal government Sunday jacked up the prices of Petrol and High Speed Diesel by Rs 7.45 per litre and 9.56 per litre respectively for the first fortnightly of July 2024.The prices of Kerosene Oil and Light Diesel Oil has also been increased by Rs 10.85 per litre and Rs 9.05 per litre for the first fortnightly of July (w.e.f July 01).The prices of petroleum products have seen an increasing trend in the international market during the last fortnight, said a statement issued by the Finance Division late Sunday night. The Oil & Gas Regulatory Authority (OGRA) has worked out the consumer prices, based on the price variations in the international market. There will be no change in the applicable taxes & duties, which will remain at the existing level, said the statement.With the increase of Rs 7.45 per litre the price of Petroleum will climb to Rs 265.61 per litre from Rs 258.16 per litre, while HSD, following a hike of Rs 9.56 per litre will go up to Rs 277.45 per litre from the existing 267.89 per litre.The new prices will be effective from July 1, till further revision.","Petrol prices jacked up by Rs7.45 per litre, diesel Rs9.56",265.61,277.45,0.0510033220052719,0.2668347060680389,0.1637885719537735,0.3774696290493011,0.1409037411212921,0.1428507566452026,0.231936976313591,0.1379301249980926,0.3526276051998138,0.134654551744461,very positive,0.0,0.0,1.0,0.2196798324584961,0.2553473114967346,0.20292676985263824,0.17267324030399323,0.1493728905916214
2,2,2,2,2,2,2,2024-06-15,https://www.nation.com.pk/E-Paper/islamabad/2024-06-15/page-1/detail-3,1471,"Petrol price slashed by Rs10.20 per litre n Nepra approves Rs5.72/unit base power tariff. After PM’s approval, Nepra fixes electricity rate at  Prime Minister Shehbaz Sharif on Friday approved a massive reduction in electricity tariff for the industrial sector by Rs 10.69 per unit in order to boost production and exports.In view of the prime minister’s initiative, the new electricity price per unit for the industrial and export sector had now been fixed at Rs 34.99, a PM Office press release said. The National Electric Power Regulatory Authority (NEPRA) had recommended a reduction of Rs10.69 per unit for industries.“The PM’s package, which is expected to provide relief of over Rs 200 billion to the industry, will help bring down the manufacturing cost of the goods making them competitive in the global market,” the news release added. Similarly, the initiative would also help decrease the prices of agriculture commodities. “The step will likely to spur industrial growth, create new job opportunities, and stimulate economic activity,” it said.Also, Prime Minister Shehbaz Sharif on Friday instructed the relevant authorities to hold consultation with the globally reputed consultancy firms to realise the investment agreements with the friendly countries.The prime minister, in a meeting with a delegation of an international consultancy firm headed by former State Bank Governor Raza Baqir, also directed for consultation with the reputed firms to reduce the volume of government infrastructure and enhance effectiveness of the governance system.He told the delegation that there existed a huge potential for investment in minerals and energy sectors.Appreciating the key role of the private sector in national economic development, the prime minister assured of all-out facilitation by the government for economic revival.Federal ministers Ahsan Iqbal, Ahad Khan Cheema, Dr Musaddik Malik, Muhammad Aurangzeb, Awais Ahmed Leghari, ministers of state Ali Pervaiz Malik and Shaza Fatima Khawaja and relevant senior officials attended the meeting.Prime Minister Shehbaz Sharif, following the reduction in electricity prices for industries, also announced a significant cut in petrol and diesel prices by Rs 10.20 per litre and Rs 2.33 per litre respectively.Earlier on June 1, the government had announced to cut the petrol price by Rs 4.74 per litre while that of HSD by Rs 3.86 per litre, a PM Office press release said on Friday. The incumbent government has so far provided a massive relief of overall Rs 35 per litre in petrol, it added.Meanwhile, the finance division in a statement said that the prices of Petroleum products have seen a mixed trend in the international market during the last fortnight. The Oil & Gas Regulatory Authority (OGRA) has worked out the consumer prices, based on the price variations in the international market. The prices of Motor Spirit & HSD for the next fortnight, starting from 15th June, 2024, are accordingly being, said the statement.Following the reduction of Rs 10.20 per litre the price of Petrol will come down to Rs 258.16 per litre from the existing Rs 268.36 per litre. Similarly, the price of HSD will go down to Rs 267.89 per litre from the existing Rs 270.22 per litre following a reduction of Rs 2.33 per litreThe Federal Government is currently charging Rs 60 per litre Petroleum Levy on both Petrol and HSD. Currently, no General Sales Tax is being charged on Petrol and HSD.The government revises the petroleum products prices twice a month, on the last day and 15th of every month, however this time the announcement for the price revision was made one day ahead of the schedule date.The new oil prices will be effective from June 15, 2024,till further revision.The National Electric Power Regulatory Authority (NEPRA) Friday approved a hike of Rs 5.72 per unit in base electricity tariff, which will burden the electricity consumers by an additional approximately Rs600 billion during the upcoming fiscal year 2024-25.The decision will jack up the average base tariff from the existing Rs29.78 per unit, during 2023-24, to Rs 35.50 per unit, for the upcoming FY, effective from July 1, 2024.In its decision in the matter of request filed by CPPA-G for Power Purchase Price Forecast for the FY 2024-25, NEPRA said that the total Power Purchase Price of XWDISCOs for the FY 2024-25, (after excluding the share of KE), works out as Rs3,277.506 billion, which includes Rs.1,161.257 billion for fuel & variable O&M cost and Rs.2,116.250 billion as capacity charges including UoSC of NTDC & PMLTC and MoF of CPPA-G. The capacity charges translate into Rs.6,957/kW/month, based on projected average monthly MDI of 25,348 MW. Thus, the capacity charges work out as around 65% of the total projected PPP of XWDISCOs, whereas energy cost is around 35% of the total projected PPP. In terms of average per unit PPP of XWDISCOs on unit purchased basis i.e. before adjustment of allowed T&D losses of XWDISCOs, capacity charges work out as Rs. 17.66 per unit, whereas energy charges are Rs.9.69 per unit, totalling to Rs.27.35 per unit for the FY 2024-25.According to the decision, the national average power purchase price works out as Rs27 per unit.Following the increase in average PPP, the average base electricity tariff will go up to Rs 35.50 per unit from the existing Rs 29.78 per unit. The new base tariff will be effective from July 1, 2024, and it will burden the electricity consumers with an additional Rs 600 billion during the Fiscal 2024-25.The power regulator in a decision said that it observed that CPPA-G has projected growth under three scenarios: 3%, 5%, and 10%. However, actual demand during the last two years, FY 2022-23 and FY 2023-24, has shown negative growth. For the FY 2022-23, the overall generation was reduced by around 10% compared to FY 2021-22. Similarly, for FY 2023-24 (projected to June 2024), total generation has shown a slight decrease of around 1.5% compared to FY 2022-23. Additionally, KE’s electricity share from the National Grid is assumed to increase to 11,030 GWh during FY 2024-25. Therefore, XWDISCOs’ demand would be growing at a rate less than the overall rate assumed by CPPA-G in the report.Furthermore, as per the IMF data mapper report, GDP growth is projected to increase to 3.5% for FY 2024-25, compared to 2.38% for FY 2023-24 (National Accounts Committee meeting of 21.05.2024), with inflation also expected to decrease significantly in FY 2024-25.Although the improved economic situation may lead to additional electricity consumption, the Authority considers the demand growth of 5% and 10% assumed by CPPA-G as ambitious and unlikely.Therefore, considering past trends, GDP projections for FY 2024-25, and other economic indicators, the Authority has decided to accept a demand growth of 3% for FY 2024-25, including the impact of energy to be procured by DISCOs through bilateral contracts.The exchange rate parity significantly impacts electricity prices in Pakistan.Power sector costs are generally tied to dollar indexation, and any change in exchange rate parity directly affects the energy and capacity charges of the generation segment, constituting over 90% of the total cost of the power sector. CPPA-G has projected PKR/USD at 275 and 300 under different PPP forecast scenarios.The power regulator noted that the prevailing exchange rate as of June 2024 is around Rs279/USD. Although the Pakistan rupee has shown stability over the past few months, it remained above Rs. 280/USD on average during FY 2023-24, peaking at Rs. 297/USD in September 2023.Historically, over the past 15 years, PKR has devalued by around 10% per annum against the USD and may exceed Rs. 300/USD if the same trend continues. Given these facts, the Authority considers CPPA-G’s projection of an exchange rate parity of Rs. 300/USD for FY 2024-25 reasonable.During the public hearing, APTMA and FPCCI submitted that the industry was not consulted for constructing demand scenarios, and CPPA-G has not specified the underlying basis for assuming 3-5% demand growth, especially considering the decrease in power consumption.Industrial contribution to GDP has been contracting since FY 23, with little growth expected, mainly due to agriculture, which is shifting towards solarization of tube-wells. Consequently, the demand growth scenarios are unrealistic and will result in high quarterly tariff adjustments throughout the next financial year. They said that the assumed exchange rate (1 USD = 275) is problematic, as the USD to PKR exchange rate has consistently been above this for over a year, with further devaluation expected.Similarly, the assumption of 12.20% inflation is weak and requires further sensitivity analysis, as inflation is likely to increase with expected exchange rate devaluation and subsequent energy price increases. They further said that the assumptions about RLNG pricing must be revisited considering long-term LNG contracts and downward trends in global oil prices, as the long-term contracts of 1000 MMCFD are indexed to international oil prices.The instant decision of the Authority is hereby intimated to the Federal Government for filling of uniform tariff application in terms of section 31 of the Regulation of Generation, Transmission and Distribution of Electric Power Act, 1997.","Government cuts petrol price, hikes power tariff",258.16,267.89,0.0521470457315444,0.2191803902387619,0.0842888951301574,0.5443722009658813,0.1000114753842353,0.1507134437561035,0.2547838687896728,0.1592577397823333,0.2961562573909759,0.1390886008739471,negative,0.0,0.268,0.732,0.12205683439970016,0.2961115539073944,0.22687415778636932,0.20101794600486755,0.15393951535224915
3,3,3,3,3,3,3,2024-06-01,https://www.nation.com.pk/E-Paper/karachi/2024-06-01/page-1/detail-2,1260,"Urges auto industry to start local manufacturing, implement deletion policy. Calls for nationwide rollout of single window operations. PM eyes Chinese industrial investments in Pakistan ahead of Beijing visit.ISLAMABAD  -  The federal government on Friday slashed the prices of Petrol and High Speed Diesel by Rs 4.74 per litre and Rs Rs 3.86 per litre, respectively for the first fortnightly of June 2024.The prices of Petroleum products have seen a decreasing trend in the international market during the last fortnight. The Oil & Gas Regulatory Authority (OGRA) has worked out the consumer prices, based on the price variations in the international market, said a notification issued by the Finance Division. The prices of Motor Spirit & HSD for the next fortnight, starting from 1st June, 2024, are accordingly being lowered, it said.The prices of Kerosene Oil and Light Diesel Oil have also been reduced by Rs 1.87 per litre and Rs 3.88 per litre for the next fortnightly starting from June, 1,2024.Interestingly a statement earlier issued, claiming to be from the Prime Minister Office, said that the price of Petrol has been downward revised by Rs 15.40 per litre, while HSD has been slashed by Rs 7.90 per litre.The Finance Division,which usually issues fuel price notification at 11.30 PM, was unable to release  it till 12.35 am.After a complete confusion,the Finance Division has finally issued the revised prices, however, there was a  huge difference between the PMO announced prices and the Finance Division notification.    Following the reduction of Rs 4.74 per litre, the price of Petrol will decline to Rs 268.36 per litre from the existing Rs 273.10 per litre. Similarly, the price of HSD will go down to Rs 270.22 per litre from existing Rs 274.08 per litre following a reduction of Rs 3.86 per litre. The price of Kerosene oil has been downward revised by Rs 1.87  per litre. After a decline of Rs 1.87 per litre the price of Kerosene oil will reduce to Rs 171.61 per litre  from the existing Rs 173.48 per litre. Similarly, after the decrease of Rs 3.88 per litre the price of LDO will go down to  Rs 157.29 per litre from the existing Rs 161.17 per litre.It is worth to note that for the first second fortnightly of May also the Federal Government had slashed the prices of Petrol and High Speed Diesel by Rs 15.39 per litre and Rs 7.88 per litre, respectively. The prices of Kerosene Oil and Light Diesel Oil had also been reduced by Rs 9.86 per litre and Rs 7.54 per litre for the last next fortnightly of May 2024.Notably, the price of crude oil has decreased, in the international market, during the second fortnightly of May and currently roaming around $81 per barrel.  The Federal Government is currently charging Rs 60 per litre Petroleum Levy on both Petrol and HSD. Currently, no General Sales Tax is being charged on Petrol and HSD.The new oil prices will be effective from June 1, 2024,till further revision.Also, Prime Minister Shehbaz Sharif on Friday urged the automobile industry to start local manufacturing of vehicles and export a considerable ratio of their products to contribute to national development.The prime minister, talking to a delegation of automobile and auto parts manufacturers, asked the industry to implement the Auto Sector Deletion Policy and become a part of the global value chain.He told the delegation that the incumbent government was taking measures to boost the country’s exports. The delegation which consisted of Chief Executive Officer of Toyota Pakistan Ali Jamali, and the representative of the auto parts industry Amir Allahwala, apprised the prime minister of the issues facing the auto industry.They appreciated the prime minister for the government’s pro-business and investment policies.Federal ministers Rana Tanveer Hussain and Jam Kamal Khan, PM’s Coordinator Rana Ehsan Afzal, Chairman of the Federal Board of Revenue and relevant senior officers attended the meeting. Also, Prime Minister Shehbaz Sharif on Friday chaired a meeting to review the preparations for his upcoming visit to China, wherein he directed the formulation of comprehensive plans to hold result-oriented business-to-business meetings between the two countries.He instructed the relevant authorities to devise strategies for attracting Chinese industries to set up their units in Pakistan, assuring his government’s all-out facilitation to the industrialists and investors.During the briefing to the prime minister on the preparations for his China visit, it was told that a delegation of industrialists, investors, and businessmen would accompany him to China’s Shenzhen city. The delegation would hold meetings with the Chinese business community to promote business-to-business linkages between the two countries.The prime minister directed Pakistan’s Ambassador to China to extend all-out facilitation to the Pakistani business delegation during its visit there.The meeting was attended by Deputy Prime Minister and Foreign Minister Ishaq Dar, federal ministers including Jam Kamal Khan, Ahad Khan Cheema, Rana Tanveer Hussain, Attaullah Tarar, Dr Musaddik Malik, and Abdul Aleem Khan, Minister of State Shaza Fatima Khawaja, Special Assistant to PM Tariq Fatemi, PM’s Coordinator Rana Ehsan Afzal, Deputy Chairman Planning Commission Jahanzeb Khan and senior government officers. Planning Minister Ahsan Iqbal and Pakistan’s Ambassador in Beijing joined the meeting via video link.Prime Minister Shehbaz Sharif will pay an official visit to China from June 4–8 at the invitation of Chinese Premier Li Qiang, Chinese Foreign Ministry Spokesperson Mao Ning announced here on Friday.Sharing details of the visit during her regular briefing, she said that this is the first visit of Prime Minister Shehbaz Sharif to China after the establishment of the new government of Pakistan this year.“During his visit, President Xi Jinping, Premier Li Qiang, and Chairman of the Standing Committee of the National People’s Congress (NPC) Zhao Leji will meet and talk with Prime Minister Shehbaz Sharif,” she added.The spokesperson said, “The two leaders will have an in-depth exchange of views on bilateral relations and issues of common concern and jointly plan the blueprint for the future development of China-Pakistan relations.”“Besides Beijing, PM Shehbaz Sharif will also visit Guangdong and Shaanxi provinces.”Mao Ning pointed out, “China and Pakistan are all-weather strategic partners and “iron-clad friends.”“China-Pakistan friendship has been tested by the winds and clouds of the times and is as solid as a rock and as stable as Mount Taishan.”“Under the leadership of the leaders of the two countries, China and Pakistan have had close high-level exchanges in recent years, and bilateral practical cooperation has been steadily advancing, with fruitful results in the high-quality construction of the China-Pakistan Economic Corridor, and the two sides have maintained good communication and coordination in international and regional affairs,” she added.She said, “China looks forward to taking this visit as an opportunity to jointly promote greater development of the China-Pakistan all-weather strategic partnership and to take new steps to build a closer China-Pakistan community of destiny in the new era.”Meanwhile, Prime Minister Shehbaz Sharif says single window operations should be expanded across the country to ease the provision of civic amenities to the people.He was chairing a meeting of the Pakistan Single Window Company in Islamabad today.                     The Prime Minister said the Company’s presence is highly appreciable as it facilitates trade and creates ease of doing business. He said the Company’s scope should be expanded.Shehbaz Sharif said China’s single window system is a model for us.The meeting was briefed that Pakistan Single Window Company is benefiting sixty five percent trade of the country.It was told that 11 government institutions and 29 Banks are linked with the Pakistan Single Window.The Company ranks the best among countries in the region according to the United Nations Digital and Sustainable Trade Facilitation Survey 2022.  ",PM orders to reduce petrol price by Rs 4.74 per litre,268.36,270.22,0.1151366159319877,0.5549842119216919,0.1579256057739257,0.1248592734336853,0.0470943264663219,0.1618478745222091,0.2937518060207367,0.1807856112718582,0.278344452381134,0.085270307958126,neutral,0.0,0.0,1.0,0.12811534106731415,0.2193363755941391,0.23932136595249176,0.23931020498275757,0.17391672730445862
4,4,4,4,4,4,4,2024-05-16,https://www.nation.com.pk/E-Paper/islamabad/2024-05-16/page-5/detail-6,381,"ISLAMABAD   -   The federal government on Wednesday slashed the prices of Petrol and High Speed Diesel by Rs 15.39 per litre and Rs 7.88 per litre, respectively for the second fortnightly of May 2024.The prices of Kerosene Oil and Light Diesel Oil have also been reduced by Rs 9.86 per litre and Rs 7.54 per litre for the next fortnightly starting from May 16,2024. The prices of petroleum products have seen a decreasing trend in the international market during the last fortnight. The Oil & Gas Regulatory Authority (OGRA) has worked out the consumer prices, based on the price variations in the international market, said a notification issued here by the Finance Division. The prices of Motor Spirit (Petrol) & HSD for the next fortnight, starting from 16th May, 2024, are accordingly being lowered by Rs15.39 per litre and Rs 7.88 per litre respectively, said the notification. Following the reduction of Rs 15.39 per litre, the price of Petrol will decline to Rs 273.10 per litre from Rs 288.49 per litre. Similarly, the price of HSD will go down to Rs 274.08 per litre from existing Rs 281.96 per litre f following a reduction of Rs 7.88 per litre. After a decline of Rs 9.86 per litre the price of Kerosene oil will reduce to Rs 173.48 per litre from the existing Rs 193.08 per litre. Similarly, after the decrease of Rs 7.54 per litre the price of LDO will go down to Rs 161.17 per litre from the existing Rs 168.71 per litre. It is noteworthy here that the prices of crude oil have decreased in the international market during the First fortnightly of May and currently roaming around $82 per barrel. The federal government is currently charging Rs 60 per litre Petroleum Levy on both Petrol and HSD. Currently, no General Sales Tax is being charged on Petrol and HSD. The new oil prices will be effective from May 16 till further revision. Notably, the government had slashed the prices of Petrol and High Speed Diesel by Rs5.45 per litre and Rs 8.42 per litre, respectively for the first fortnightly of May 2024. The prices of Kerosene Oil and Light Diesel Oil were also reduced by Rs 8.74 per litre and Rs 5.63 per litre for the previous fortnightly.",Govt slashes petrol price by Rs15.39/litre,273.1,274.08,0.1714557111263275,0.5640542507171631,0.1438846737146377,0.0989228785037994,0.0216824635863304,0.1783182024955749,0.2653136849403381,0.1493578553199768,0.2788314819335937,0.1281787157058715,very negative,0.0,0.231,0.769,0.12218402326107025,0.18454009294509888,0.26685231924057007,0.23083904385566711,0.1955844908952713
5,5,5,5,5,5,5,2024-05-01,https://www.nation.com.pk/E-Paper/islamabad/2024-05-01/page-8/detail-7,254,"ISLAMABAD   -   The federal government on Tuesday slashed the prices of Petrol and High Speed Diesel by Rs5.45 per litre and Rs 8.42 per litre, respectively for the first fortnightly of May 2024.The prices of Kerosene Oil and Light Diesel Oil have also been reduced by Rs 8.74 per litre and Rs 5.63 per litre for the next fortnightly starting from May 1,2024. The prices of petroleum products have seen a decreasing trend in the international market during the last fortnight, said a statement issued by Finance Division. The Oil & Gas Regulatory Authority (OGRA) has worked out the consumer prices, based on the price variations in the international market, the statement added. The prices of Motor Spirit & HSD for the next fortnight, starting from May 1, 2024, are accordingly being lowered, it maintained.Following the reduction of Rs5.45 per litre, the price of Petrol will decline to Rs 288.49 per litre from the existing Rs 293.94 per litre. Similarly, the price of HSD will go down to Rs 281.96 per litre from the existing Rs 290.38 per litre following a reduction of Rs 8.42 per litre.  After a decline of Rs 8.73 per litre, the price of Kerosene oil will reduce to Rs 193.08 per litre from the existing Rs 186.39 per litre. Similarly, after the increase of Rs 5.63 per litre, the price of LDO will go up to Rs 174.34 per litre from the existing Rs 167.80 per litre.The new oil prices will be effective from May 1, till further revision.",Govt slashes petrol price by Rs5.45 per litre,288.49,281.96,0.1571937054395675,0.5787534713745117,0.1426688432693481,0.0990220680832862,0.022361958399415,0.1639330834150314,0.3108756244182586,0.1507627069950103,0.2572254836559295,0.1172031536698341,very negative,0.0,0.205,0.795,0.2157934010028839,0.2348068505525589,0.21401569247245789,0.1696019470691681,0.16578209400177002
6,6,6,6,6,6,6,2024-04-16,https://www.nation.com.pk/E-Paper/islamabad/2024-04-16/page-1/detail-5,349,"ISLAMABAD  -  The federal government on Monday jacked up the prices of Petrol and High Speed Diesel by Rs4.53 per litre and Rs 8.14 per litre, respectively for the second fortnightly of April 2024.The prices of Kerosene Oil and Light Diesel Oil have also been increased by Rs 6.69 per litre and Rs 6.54 per litre for the next fortnightly starting from April 16,2024. The prices of Petroleum products have seen an increasing trend in the international market during the last fortnight, said a statement issued by the Finance Division.The Oil & Gas Regulatory Authority (OGRA) had worked out the consumer prices, based on the price variations in the international market, it said.Following a hike of Rs 4.53 per litre, the price of Petrol will go up to Rs 293.94 per litre from the existing Rs 289.41 per litre. Similarly, while the price of HSD will go up to Rs 290.38 per litre from the current Rs 282.24 per litre following a hike of Rs 8.14 per litre.After a hike of Rs 6.69 per litre the price of Kerosene oil will reach Rs 193.08 per litre from the existing Rs 186.39 per litre. Similarly, after the increase of Rs 6.54 per litre the price of LDO will go up to Rs 174.34 per litre from the existing Rs 167.80 per litre.It is noteworthy here that the prices of crude oil have increased by over $2.60 per barrel, in the international market, during the first fortnightly of April and currently roaming around $90 per barrel.  The rupee value meanwhile has slightly appreciated against the US dollar during the fortnight.The federal government is currently charging Rs 60 per litre Petroleum Levy on both Petrol and HSD. Currently, no General Sales Tax is being charged on Petrol and HSD.It is also worth to note that the government had also increased the price of petrol by Rs 9.66 per litre for the first fortnightly of April 2024, however the price of High Speed Diesel was slashed by Rs 3.32 per litre.The new oil prices will be effective from April 16, till further revision.",Govt again jacks up petroleum prices,293.94,290.38,0.0118821552023291,0.0552213191986084,0.0489436835050582,0.6860405802726746,0.1979122012853622,0.0870316103100776,0.1862081587314605,0.0916330441832542,0.3717348873615265,0.263392299413681,neutral,0.0,0.0,1.0,0.23230628669261932,0.28876760601997375,0.24666330218315125,0.12809304893016815,0.10416971147060394
7,7,7,7,7,7,7,2024-04-01,https://www.nation.com.pk/E-Paper/islamabad/2024-04-01/page-1/detail-3,392,"ISLAMABAD  -  The federal government on Sun­day jacked up the price of Petrol by Rs9.66 per litre for the first fortnightly of April 2024.While the price of High Speed Diesel has been slashed by Rs3.32 per litre for the first fortnightly starting from April 1 to April 15, 2024, said a statement issued here by the Finance Division. The price of Petrol (Motor Gasoline) has increased in the international market during the last fortnight, while the price of HSD has margin­ally declined. The Government has accordingly de­cided to revise the existing consumer prices of pe­troleum products, the statement said.The price adjustments are in line with the gov­ernment’s policy of passing on the variations of prices in the international market to the do­mestic market. The consumer price of HSD has accordingly been decreased once again, after a downward revision in the middle of March, 2024, the Finance Division said.Following the hike of Rs9.66 per litre, the price of Petrol will go up to Rs289.41 per litre from the exist­ing Rs279.75 per litre. Similarly, with the reduction of Rs3.32 per litre, HSD will go down to Rs282.24 per litre from the existing from Rs285.56 per litre. It is noteworthy here that the prices of crude oil has increased by almost $3 per barrel, in the interna­tional market, during the last fortnightly of March and currently roaming around $87 per barrel. The rupee value meanwhile appreciated against the US dollar by around Rs0.80 to Rs277.95 per dollar during the fortnight. On March 15, one US dollar was equal to Rs278.74.The federal government is currently charging Rs60 per litre Petroleum Levy on both Petrol and HSD. Currently, no General Sales Tax is being charged on Petrol and HSD. The new oil prices will be effective from April 1, till further revision.Meanwhile, Oil and Gas Regulatory Authority (OGra) has reduced the price of LPG by Rs 6.45 per kg or 76.09 per 11.8 kg cylinder for the month of April. With the downward revision in the LPG, the price of 11.8 kg domestic cylinder will de­crease from Rs 3030.12 to Rs 2954.03. Interest­ingly, nowhere in the country, except Ogra notifi­cation, LPG is available on the Ogra’s determined price of Rs 250.35 per kg. Against the Ogra deter­mined price of Rs 250.35 per kg, LPG is being sold at Rs 300 to 320 per kg across the country.",Govt jacks up petrol price by Rs9.66/litre,289.41,282.24,0.0381732210516929,0.1812867671251297,0.1139222085475921,0.4254308342933655,0.2411869317293167,0.1712066680192947,0.2857777178287506,0.0942265838384628,0.2831507623195648,0.1656382232904434,neutral,0.0,0.0,1.0,0.21307004988193512,0.24091653525829315,0.2050812989473343,0.19065169990062714,0.1502804309129715
8,8,8,8,8,8,8,2024-03-01,https://www.nation.com.pk/E-Paper/islamabad/2024-03-01/page-1/detail-6,231,"ISLAMABAD  -  The outgoing caretaker government on Thurs­day jacked up the price of petrol by Rs4.13 per litre, while maintained the price of high speed diesel (HSD) at the exist­ing level for the first fort­nightly of March 2024.As part of the fort­nightly revision of prices of petroleum products, on the rec­ommendation of Oil & Gas Regulatory Author­ity (OGRA), the gov­ernment revised the consumers prices, with effect from 1st March, 2024, said a notifica­tion issued by Finance Division here.The prices of Petrol and Kerosene oil have been upward revised, Light Diesel has been slashed down, while maintained the price of HSD. As per the notification the price of Petrol has been in­creased by Rs 4.13 per litre, while the price of HSD will remain unchanged. Following the hike of Rs4.13 per litre, petrol price will go up to Rs279.75 per litre from the existing Rs275.62 per litre while HSD will stay at the existing from Rs 287.37 per litre.The price of Kerosene oil has been jacked up by Rs1.44 per litre. Following the hike, the price of Kerosene oil will go up to Rs 190.01 per litre from the existing Rs 188.57 per litre. However, the price of Light Diesel Oil has been slashed by Rs 1.14 per litre for the next fortnightly. After the reduction the price of LDO will go down from ex­isting Rs 171.44 per litre Rs170.30 per litre.",Govt jacks up petrol price by Rs4.13/litre,279.75,285.56,0.0367490500211715,0.1766735166311264,0.1083101853728294,0.4386095404624939,0.2396577298641204,0.1706771552562713,0.2831355631351471,0.0953520163893699,0.2827024161815643,0.1681328862905502,neutral,0.0,0.0,1.0,0.19992083311080933,0.23171022534370422,0.24462229013442993,0.1774645745754242,0.14628204703330994
9,9,9,9,9,9,9,2024-02-16,https://www.nation.com.pk/E-Paper/islamabad/2024-02-16/page-1/detail-3,222,"ISLAMABAD  -  The caretaker govern­ment on Thursday jacked up the price of petrol by Rs 2.73 per litre, while high speed diesel (HSD) was increased by Rs 8.37 per litre for the second fort­nightly of February 2024.The Government of Pakistan has decided to bring changes to prices of petroleum products for the fortnightly start­ing from February 16, 2024 as recommended by Oil and Gas Regula­tory Authority said a statement issued by Finance Division. As per the statement, the prices of Petrol and HSD have been increased by Rs 2.73 per litre and Rs 8.37 per litre respec­tively for the second fortnightly of February.The price of Light Diesel Oil has also been increased by Rs 4.58 per litre while Kero­sene oil has been jacked up by Rs 1.95 per litre. Following the hike, the new price of LDO will go up to Rs 171.44 per litre from the existing Rs 166.86 per litre, while Kerosene oil will go up 188.57 per litre from the existing Rs 186.62 per litre. Fol­lowing the hike of Rs 2.73 per litre, the pet­rol price will go up to Rs 275.62 per li­tre from the exist­ing Rs 272.89 per li­tre, while HSD will go up from the current Rs 278.96 per litre to Rs 287.37 per litre. The petroleum prices will be effective from 16-02-2024, till further revision.","Govt jacks up petrol, HSD prices",279.75,287.33,0.0190668515861034,0.1198206543922424,0.0864045321941375,0.5615140795707703,0.21319380402565,0.0787750706076622,0.1950192153453827,0.1244465261697769,0.41982302069664,0.1819361746311187,neutral,0.0,0.0,1.0,0.2166024148464203,0.3147100806236267,0.2231767773628235,0.14360348880290985,0.10190720111131668
