,Unnamed: 0.1,Unnamed: 0,date,link,word_count,headline,petrol,hsd,inner_html,mDeBERTa (Very positive),mDeBERTa (Positive),mDeBERTa (Neutral),mDeBERTa (Negative),mDeBERTa (Very negative),multilingual (Very positive),multilingual (Positive),multilingual (Neutral),multilingual (Negative),multilingual (Very negative)
0,0,0,16/07/2024,https://www.nawaiwaqt.com.pk/E-Paper/islamabad/2024-07-16/page-1/detail-12,161,پٹرول 9.99ڈیزل 6.18، مٹی کا تیل 1.85روپے لٹرمہنگا,275.6,283.63,اسلام آباد(نمائندہ خصوصی +نوائے وقت رپورٹ) حکومت نے آئندہ 15 دنوں کیلئے پٹرولیم مصنوعات کی قیمتوں میں اضافہ کر دیا۔ وزارت خزانہ نے پٹرول، ڈیزل کی قیمت بڑھانے کانوٹیفکیشن جاری کردیا جس کے مطابق پٹرول کی قیمت میں 9 روپے 99 پیسے فی لٹر اضافہ کیا گیا جس کے بعد پٹرول کی نئی قیمت 275 روپے 60 پیسے فی لٹر ہوگی۔ہائی سپیڈ ڈیزل کی قیمت میں 6 روپے 18 پیسے فی لٹر اضافہ کیا گیا اور نئی قیمت 283 روپے 63 پیسے فی لٹر ہو گئی۔وزیراعظم نے پیٹرولیم مصنوعات کی قیمتوں میں اضافے کی منظوری دیدی ہے۔پٹرولیم مصنوعات کی قیمتوں میں اضافے کا اطلاق رات 12 بجے سے ہو گیا۔مٹی کے تیل کی قیمت میں 1 روپے 85 پیسے اضافہ کیا گیا ہے۔ نئی قیمت 183 روپے 71 پیسے فی لٹر مقرر کر دی گئی۔ جبکہ لائٹ ڈیزل 24 پیسے مہنگا ہو گیا۔ نئی قیمت 166 روپے 25 پیسے فی لٹر ہو گئی۔ پٹرول اور ڈیزل پر پٹرولیم لیوی 60 روپے فی لٹر برقرار رہے گی۔,0.0794127508997917,0.3997750282287597,0.1438215672969818,0.2843036651611328,0.0926869511604309,0.23386000096797943,0.3978118300437927,0.1654212474822998,0.11837570369243622,0.08453123271465302
1,1,1,01/07/2024,https://www.nawaiwaqt.com.pk/E-Paper/islamabad/2024-07-01/page-1/detail-5,417, آئی ایم ایف شرط، گیس مہنگی، گھریلو صارفین مستثنیٰ: پٹرول، ڈیزل، مٹی کا تیل مہنگا ,265.61,277.45,"اسلام آباد (خبر نگار خصوصی + نوائے وقت رپورٹ) وفاقی حکومت نے عوام کو نئے مالی سال 25-2024 کے پہلے وفاقی بجٹ کی پہلی سلامی دیتے ہوئے پٹرولیم مصنوعات کی قیمتوں میں 9.56 روپے فی لیٹر تک اضافہ کر دیا اور آئی ایم ایف کی ایک اور شرط پوری کر دی۔وزارت خزانہ نے پٹرولیم مصنوعات کی قیمتوں میں اضافے کا نوٹیفکیشن جاری کردیا۔ نوٹیفکیشن کے مطابق پٹرول کی قیمت  میں 7 روپے 45 پیسے  کا اضافہ کیا گیا ہے جس کے بعد پٹرول 258.16 روپے سے بڑھ کر 265.61روپے فی لیٹر ہوگیا ہے۔ اسی طرح ہائی سپیڈ ڈیزل فی لیٹر 9 روپے 56 پیسے مہنگا کیا گیا ہے جس کے بعد  ڈیزل کی قیمت 267.89 روپے سے بڑھ کر 277.49 روپے فی لیٹر ہوگئی ہے۔ دوسری جانب ذرائع کا کہنا ہے لائٹ ڈیزل کی قیمت میں بھی 9 روپے 88 پیسے فی لیٹر کا اضافہ کیا گیا ہے۔ ذرائع کے مطابق مٹی کے تیل کی قیمت میں 10 روپے 5 پیسے فی لیٹر کا اضافہ کیا گیا ہے۔ ذرائع کا کہنا ہے کہ پٹرولیم مصنوعات کی قیمتوں میں اوگرا کی سفارشات پر اضافہ وزیراعظم کی منظوری سے کیا گیا ہے اور بجٹ میں اعلان کردہ پٹرولیم ڈیویلپمنٹ لیوی میں اضافے کو ان قیمتوں میں شامل نہیں کیا گیا ہے اور یہ اضافہ اس کے بغیر عالمی منڈی میں تیل کی قیمتوں میں اضافے کے تناظر میں کیا گیا ہے۔
اسلام آباد (نوائے وقت رپورٹ) وفاقی وزیر خزانہ کی زیر صدارت اقتصادی رابطہ کمیٹی کا اجلاس اسلام آباد میں ہوا۔ اس موقع پر قدرتی گیس کی فروخت کی قیمتوں کے تعین کی مجوزہ سمری منظور کی گئی۔ ذرائع کے مطابق ای سی سی نے گھریلو صارفین کیلئے گیس کی قیمت برقرار رکھنے کی منظوری دے دی۔ گیس کی نئی قیمتوں کا اطلاق یکم جولائی 2024ء سے ہوگا۔  ذرائع کا کہنا ہے کہ کیپٹو کے سوا باقی انڈسٹری کیلئے بھی گیس کی قیمت برقرار رکھنے کا فیصلہ کیا گیا۔ ذرائع کے مطابق ای سی سی کا کیپٹو پاور کیلئے گیس ٹیرف 250 روپے فی ایم ایم بی ٹو یو بڑھانے کی منظوری دی گئی۔ ذرائع نے بتایا کہ کیپٹو کیلئے گیس ٹیرف 2750 سے بڑھا کر 3 ہزار روپے فی ایم ایم بی ٹی یو کرنے کی منظوری دی گئی۔ باقی تمام سیکٹرز کیلئے گیس کی موجودہ قیمتیں برقرار رکھی گئی ہیں۔ ادھر ای سی سی نے پیٹرولیم ڈویژن کی پیش کی گئی سمری منظور کرلی۔ اجلاس میں وزیر پٹرولیم مصدق ملک اور وزیر توانائی اویس لغاری بھی شریک ہوئے۔ اعلامیہ کے مطابق وزیر مملکت برائے خزانہ اور ریگولیٹری اتھارٹی کے نمائندے بھی اجلاس میں شریک تھے۔",0.0181690473109483,0.1023509576916694,0.2293736487627029,0.5074403285980225,0.1426660120487213,0.20070511102676392,0.6451178193092346,0.1148524358868599,0.029717568308115005,0.009607101790606976
2,2,2,15/06/2024,https://www.nawaiwaqt.com.pk/E-Paper/islamabad/2024-06-15/page-1/detail-45,513, پٹر ول ڈیزل ، صنعتوں کیلئے بجلی سستی  ,258.16,267.89, اسلام آباد (خبر نگار خصوصی+ نوائے وقت رپورٹ) وزیراعظم محمد شہباز شریف کے ایک دن میں دو بڑے اعلان، صنعتوں کے لئے بجلی سستی کرنے کے بعد بڑی عید پر وزیراعظم کی عوام کے لئے بڑی عیدی۔ پٹرول کی قیمت میں 10 روپے 20 پیسے فی لٹر کی بڑی کمی جبکہ ڈیزل کی قیمت میں 2 روپے 33 پیسے فی لٹر کی کمی کر دی۔ یکم جون کو بھی حکومت نے پٹرول کی قیمت میں 4 روپے 74 پیسے جبکہ ڈیزل کی قیمت میں 3 روپے 86 پیسے فی لٹر کمی کی۔ تھی اب تک پٹرول کی فی لٹر قیمت میں مجموعی طور پر 35 روپے کا ریلیف عوام کو دیا جاچکا ہے۔ نوائے وقت رپورٹ کے مطابق وزیراعظم آفس کے مطابق پٹرول کی نئی قیمت 258 روپے 16 پیسے اور ڈیزل کی نئی قیمت 267 روپے 89 پیسے فی لٹر  ہو گی۔ یکم جون کو حکومت نے پٹرول کی قیمت میں 4 روپے 74 پیسے کمی کی تھی۔ وزیراعظم شہباز شریف نے صنعتوں کیلئے بجلی کی قیمت میں 10 روپے 69 پیسے فی یونٹ کمی کردی۔ وزیراعظم آفس کے مطابق وزیراعظم نے صنعت اور برآمدات میں بڑے اضافے کے لیے اہم اقدام کیے ہیں۔ نیپرا نے صنعتوں کیلئے بجلی کی قیمت میں 10روپے 69 پیسے فی یونٹ کمی تجویز کی تھی جسے وزیراعظم نے منظور کرلیا۔ وزیراعظم آفس کے مطابق صنعتوں کو یہ پیکج عالمی منڈی میں اشیاء کی لاگت کے مقابلے کے قابل بنانے کیلئے کیا گیا جس سے صنعتی اور زرعی مصنوعات کی پیداواری لاگت میں کمی اور برآمدات میں اضافہ ہو گا۔ پیکیج کے نتیجہ میں صنعتوں سے 200 ارب سے زائد کا بوجھ ختم ہو گا۔ وزیراعظم آفس کا کہنا ہے کہ اس پیکج سے صنعتی ترقی کی رفتار مزید تیز ہوگی، روزگار میں اضافہ ہوگا اور صنعتوں کے پہیے کی رفتار تیز اور برآمدات میں اضافے سے ملکی معیشت کو فائدہ ہوگا۔ دریں اثناء وزیراعظم شہباز شریف نے کہا ہے کہ حکومت معیشت کی بحالی کے لیے نجی شعبے کو تمام سہولیات فراہم کرے گی۔ وزیراعظم محمد شہباز شریف سے سابق گورنر سٹیٹ بینک رضا باقر نے عالمی شہرت یافتہ کنسلٹنسی فرم کے وفد کے ہمراہ ملاقات کی۔ وفد نے پاکستان میں بین الاقوامی سرمایہ کاری کو مزید وسعت دینے کے حوالے سے تجاویز پیش کیں۔ شہباز شریف نے کہا کہ پاکستان میں تمام شعبوں خصوصاً معدنیات اور توانائی میں سرمایہ کاری کے لامحدود مواقع موجود ہیں۔ دوست ممالک کے ساتھ سرمایہ کاری کے معاہدوں کو معروف عالمی فرمز کی مشاورت سے مکمل کیا جائے اور حکومت کے حجم میں کمی اور نظام حکومت کو موثر بنانے کے لیے بھی ان سے مشاورت کی جائے۔ ملکی معیشت کی ترقی میں نجی شعبے کا کلیدی کردار ہے۔ ملاقات میں وفاقی وزیر برائے منصوبہ بندی و ترقی احسن اقبال، وفاقی وزیر برائے اقتصادی امور احد خان چیمہ، وفاقی وزیر برائے پیٹرولیم ڈاکٹر مصدق مسعود ملک، وفاقی وزیر خزانہ اورنگزیب خان، وفاقی وزیر توانائی اویس احمد خان لغاری، وزیر مملکت برائے خزانہ علی پرویز ملک، وزیر مملکت برائے آئی ٹی شزا فاطمہ خواجہ اور متعلقہ اداروں کے اعلیٰ افسران شریک تھے۔دریں اثناء وزارت خزانہ نے پٹرول اور ڈیزل کی قیمتوں میں کمی کا نوٹیفکیشن جاری کر دیا۔,0.1448053121566772,0.4146290123462677,0.1255789101123809,0.2307184487581253,0.0842682644724845,0.1937001347541809,0.46270328760147095,0.14159756898880005,0.1322932094335556,0.0697057843208313
3,3,3,01/06/2024,https://www.nawaiwaqt.com.pk/E-Paper/islamabad/2024-06-01/page-1/detail-27,344, ایل پی جی کی قیمت بھی کم، پٹرول 4.74، ڈیزل 386، مٹی کا تیل 1.87 روپے لٹر سستا ,268.36,270.22,"اسلام آباد (نمائندہ خصوصی+ اے پی پی) حکومت نے پیٹرولیم مصنوعات کی قیمتوں میں  کمی کانوٹیفکیشن جاری کردیا۔ پٹرول کی قیمت میں 4.74 پیسے اورہائی سپیڈ ڈیزل کی قیمت میں 3.86 روپے لٹر کی کمی کردی گئی ہے۔ نئی قیمتوں کا اطلاق یکم جون سے ہوگا۔ وزارت خزانہ کی جانب سے جاری نوٹیفکیشن کے مطابق گزشتہ دو ہفتوں سے عالمی منڈی میں پیٹرولیم مصنوعات کی قیمتوں میں کمی کا رحجان ہے۔ عالمی منڈی میں پیٹرولیم مصنوعات کی قیمتوں  کے رحجان کے پیش نظر اوگرا نے صارفین کیلئے قیمتوں کے تعین پر کام کیا اور اس کی روشنی میں پٹرول کی نئی قیمت 268.36 روپے، ہائی سپیڈ ڈیزل کی نئی قیمت 270.22 روپے فی لٹر ہوگئی۔ مٹی کے تیل کی قیمت میں ایک روپے 87 پیسے لٹر کی کمی کی گئی ہے۔ نئی قیمت 171.61 روپے لٹر مقرر کی گئی ہے۔  جبکہ لائٹ ڈیزل آئل کی قیمت میں تین روپے 88 پیسے لٹر کی کمی کی گئی ہے۔ لائٹ ڈیزل آئل کی نئی قیمت 157.29 روپے فی لیٹر مقرر کی گئی ہے۔ علاوہ ازیں (اوگرا) نے جون کے لیے ایل پی جی کی قیمتوں میں مزید کمی کردی۔ ایل پی جی کی قیمتوں میں 3 روپے 86 پیسے کلو کمی کی گئی جبکہ گھریلو سلنڈر کی قیمت میں 45 روپے 62 پیسے کمی ہوگئی۔ اوگرا نے مئی میں گھریلو سلنڈر کی قیمت 2,326.51 روپے کی تھی جو یکم جون سے 45 روپے 62 روپے کمی کے بعد 2,280.89 روپے پر دستیاب ہوگا۔
اسلام آباد (اے پی پی) پٹرولیم مصنوعات کی قیمتوں میں کمی کے حوالے سے وضاحت کرتے ہوئے کہا گیا ہے کہ وزارت خزانہ نے پٹرولیم مصنوعات کی قیمتوں میں کمی کے حوالے سے نوٹیفکیشن جاری کر دیا ہے جس کے مطابق پٹرول کی قیمت میں 4.74 روپے جبکہ ہائی سپیڈ ڈیزل کی قیمت میں 3.86 روپے کمی کی گئی ہے۔ وزیراعظم آفس کے میڈیا ونگ سے جاری بیان کے مطابق قبل ازیں جاری بیان میں پٹرول کی قیمت میں 15.4 روپے اور ڈیزل کی قیمت میں 7.9 روپے کمی کے حوالے سے اعداد و شمار جاری کئے گئے جن میں پچھلے ماہ کی قیمتوں میں کمی بتائی گئی۔",0.153891235589981,0.3905541896820068,0.2660492956638336,0.17371167242527,0.015793552622199,0.11835061013698578,0.44635632634162903,0.21911470592021942,0.14932166039943695,0.06685668975114822
4,4,4,16/05/2024,https://www.nawaiwaqt.com.pk/E-Paper/lahore/2024-05-16/page-1/detail-39,141, پٹرول 15.39، ڈیزل 7.88، مٹی کا تیل 9.86 روپے لٹر سستا ,273.1,274.08,اسلام آباد (نمائندہ خصوصی) وفاقی حکومت نے پیٹرولیم مصنوعات کی قیمتوں میں بڑی کمی کرتے ہوئے پیٹرول 15 روپے 39 پیسے اور ڈیزل 7 روپے 88 پیسے سستا کردیا۔ پیٹرولیم مصنوعات کی قیمتیں آئندہ 15 روز تک برقرار رہیں گی۔ وفاقی حکومت نے ایک ماہ کے دوران مسلسل دوسری بار پیٹرولیم مصنوعات کی قیمتوں میں کمی کی ہے۔ نوٹیفکیشن کے مطابق پیٹرول کی لیٹر قیمت 288 روپے 49 پیسے سے کم ہوکر 273 روپے 10 پیسے ہوگئی ہے۔ 7 روپے 88 پیسے کی کمی کے بعد ہائی سپیڈ ڈیزل کے نرخ 281 روپے 96 پیسے سے کم ہوکر 274 روپے 8 پیسے لیٹر ہوگئے ہیں۔ مٹی کے تیل کی قیمت میں 9 روپے 86 پیسے اور لائٹ ڈیزل آئل کی قیمت میں 7 روپے 54 پیسے لیٹر کمی کی گئی ہے۔ پیٹرولیم مصنوعات کی نئی قیمتوں کا اطلاق گزشتہ رات 12 بجے سے ہوگیا۔,0.0992398113012313,0.4427328705787658,0.1559746116399765,0.2254726588726043,0.076580099761486,0.18535707890987396,0.4509967863559723,0.1702365130186081,0.10902111232280731,0.08438850939273834
5,5,5,01/05/2024,https://www.nawaiwaqt.com.pk/E-Paper/lahore/2024-05-01/page-1/detail-16,268, پٹرول 5.45، ڈیزل 8.82، مٹی کا تیل 8.74 روپے لٹر سستا ,288.49,281.96, اسلام آباد ( خبرنگار خصوصی +اپنے سٹاف رپورٹر سے) حکومت نے آئندہ 15 روز کیلئے پٹرولیم  مصنوعات کی قیمتوں میں کمی کردی۔ ذرائع کے مطابق  وزیراعظم نے پٹرولیم مصنوعات کی قیمتوں میں کمی کی  منظوری دیدی۔ ذرائع نے بتایا پٹرول کی قیمت میں 5 روپے 45 پیسے فی لٹر اور ڈیزل کی قیمت میں 8 روپے 42 پیسے فی لٹر کمی کی گئی۔ ذرائع کا کہنا ہے مٹی کا تیل 8 روپے 74پیسے اور لائٹ ڈیزل 5 روپے 63 پیسے فی لٹر سستا کردیا گیا۔ قیمتوں میں کمی کا اطلاق رات 12 بجے سے ہوگیا۔آئل اینڈ گیس ریگولیٹری اتھارٹی (اوگرا) نے یکم مئی سے ایل پی جی کی نئی قیمتوں کا نوٹیفکیشن جاری کردیاایل پی جی کی قیمت میں 11 روپے 88 پیسے فی کلو کمی کردی گئی ماہ مئی کیلئے ایل پی جی کی فی کلو قیمت 238 روپے مقررکردی گئی ترجمان اوگرا عمران غزنوی کے مطابق ایل پی جی پروڈیوسر کی قیمت سعودی آرامکو-سی پی اورامریکی ڈالر کی شرح تبادلہ سے منسلک ہے۔ پچھلے مہینے کے مقابلے میں سعودی آرامکو-سی پی میں 5.6 فیصد کمی ہوئی ہے۔ اوسط ڈالر کی شرح مبادلہ میں بھی 0.18فیصدکی کمی واقع ہوئی ہے جس کے نتیجے میں ایل پی جی صارفین کی قیمت میں 140.18/11.8 کلو گرام سلنڈر (4.74%) کی کمی واقع ہوئی ہے۔ ایل پی جی کی صارف قیمت میں فی کلو گرام کمی 11.88 روپے ہے۔نوائے وقت رپورٹ کے مطابق وزارت خزانہ کے مطابق پٹرول کینئی قیمت  288 روپے 49 پیسے فی لٹر ہوگئی۔نوٹیفکیشن میں کہا گیا ہے ڈیزل کی  نئی قیمت 281 روپے 96 پیسے فی لٹر ہوگئی۔پٹرول اور ڈیزل پر 60- 60 روپے فی لیٹر لیوی برقرار رکھی گئی ہے۔,0.097911387681961,0.4562495648860931,0.1496078968048095,0.2336716204881668,0.0625595152378082,0.18999256193637848,0.4620385468006134,0.16832967102527618,0.10065273940563202,0.0789865180850029
6,6,6,16/04/2024,https://www.nawaiwaqt.com.pk/E-Paper/lahore/2024-04-16/page-1/detail-35,200, پٹرول 4.53،ڈیزل8.14،مٹی کا تیل 6.69روپے لٹر مہنگا ,293.94,290.38,"اسلام آباد(نوائے وقت رپورٹ+نمائندہ خصوصی) حکومت نے پیٹرولیم مصنوعات کی قیمتوں میں اضافہ کردیا ۔آئل اینڈ گیس ریگولیٹری اتھارٹی (اوگرا) نے پیٹرولیم مصنوعات کی قیمتوں میں اضافے کا نوٹیفکیشن جاری کردیا ۔اوگرا کی جانب سے جاری نوٹیفکیشن کے مطابق پٹرول کی قیمت میں 4 روپے 53 پیسے فی لٹر اضافہ کیا گیا ہے۔ پٹرول کی نئی قیمت 293 روپے 94 پیسے فی لٹر مقرر کی گئی ہے۔نوٹیفکیشن کے مطابق ڈیزل کی قیمت میں 8 روپے 14پیسے فی لٹر اضافہ کیا گیا ہے۔ ڈیزل کی نئی قیمت 290 روپے 38 پیسے فی لٹر مقرر کی گئی ہے۔نئی قیمتوں کا اطلاق رات 12بجے سے ہوگیا۔ پٹرول اور ڈیزل کی نئی قیمتیں اگلے 15 دن کے لیے ہوں گی۔وفاقی وزارت خزانہ کے مطابق گزشتہ 15 روز میں عالمی مارکیٹ میں پیٹرولیم مصنوعات کی قیمتوں میں اضافہ ہوا ہے۔مٹی کے تیل کی قیمت میں 6 روپے 69 پیسے اور لائٹ ڈیزل کی قیمت میں 6 روپے 54 پیسے فی لٹر اضافہ کیا گیا ہے۔ اضافے کے بعد مٹی کے تیل کی نئی قیمت 193 روپے 8 پیسے اور لائٹ ڈیزل کی نئی قیمت 174 روپے 34 پیسے فی لیٹر مقرر کی گئی ہے۔ پٹرول اور ڈیزل پر پٹرولیم لیوی 60, 60 روپے فی لٹر برقرار رکھی گئی ہے۔",0.0959542617201805,0.4486252069473266,0.1193981319665908,0.2430831789970398,0.0929391756653785,0.3627568781375885,0.4498977065086365,0.08380264788866043,0.05440576747059822,0.04913700371980667
7,7,7,01/04/2024,https://www.nawaiwaqt.com.pk/E-Paper/lahore/2024-04-01/page-1/detail-14,267, پٹرول 9.66روپے مہنگا،ڈیزل 3.32،مٹی کاتیل2.27روپے لٹرسستا ایل پی جی کی قیمت میں 6.44روپے کلوکمی ,289.41,282.24,اسلام آباد(نمائندہ خصوصی+نوائے وقت رپورٹ) حکومت نے پٹرول کی قیمت میں بھاری اضافہ کیا ہے اور ڈیزل کی قیمت میں کمی کی ہے پٹرول کی قیمت میں نو روپے 66 پیسے فی لٹر اضافہ کیا ہے جبکہ ڈیزل کی قیمت میں تین روپے 32پیسے فی لٹر کمی کی ہے پٹرول کی قیمت 289 روپے 41 پیسے اور ڈیزل کی قیمت 282 روپے24 پیسے فی لٹر مقرر کی گئی ہے۔ نوائے وقت رپورٹ کے مطابق پیٹرولیم مصنوعات کی نئی قیمتوں کا اطلاق رات 12 بجے سے ہوگیا ہے ۔ مٹی کا تیل دو روپے 27 پیسے فی لیٹر سستا کر دیا گیا۔ مٹی کے تیل کی نئی قیمت 186 روپے 39 پیسے فی لیٹر مقرر کر دیا گیا۔ لائٹ ڈیزل کی قیمت 38 پیسے فی لٹر کمی کر دی گئی۔ لائٹ ڈیزل کی نئی قیمت 167 روپے 80 پیسے فی لیٹر مقرر کر دی گئی ہے۔  آئل اینڈ گیس ریگولیٹری اتھارٹی (اوگرا) نے مائع پیٹرولیم گیس (ایل پی جی) کا گھریلو سلنڈر سستا کردیا ۔ اوگرا نوٹیفکیشن کے مطابق ایل پی جی 6 روپے 44 پیسے فی کلو سستی ہوگئی۔ اوگرا کی جانب سے  ایل پی جی کا گھریلو سلنڈر  سستا کرنے کا نوٹیفکیشن بھی جاری کردیا گیا ہے۔ نوٹیفکیشن کے مطابق 11.8 کلوکا گھریلو سلنڈر  76 روپے 9 پیسے سستا کیا گیا ہے۔ نوٹیفکیشن کے مطابق اپریل کے لیے ایل پی جی کے 11.8 کلوگرام گھریلو سلنڈر کی قیمت 2 ہزار 954 روپے 3 پیسے مقررکی گئی ہے۔ مارچ  میں ایل پی جی کا گھریلو سلنڈر  3030 روپے 12 پیسے کا تھا۔پٹرول اور ڈیزل پر پٹرولیم لیوی برقرار رکھی گئی ہے۔ پٹرول اور ڈیزل پر 60-60 روپے فی لیٹر پٹرولیم لیوی برقرار رہے گی۔,0.0711130797863006,0.2920581698417663,0.1425865739583969,0.3780719935894012,0.1161702200770378,0.473402738571167,0.35562509298324585,0.10042882710695267,0.03626758232712746,0.03427567332983017
8,8,8,16/03/2024,https://www.nawaiwaqt.com.pk/E-Paper/lahore/2024-03-16/page-1/detail-6,107, ڈیزل 1.77 ‘   مٹی کا تیل 1.35 روپے لٹر سستا‘ پٹرول کی قیمت برقرار  ,279.75,285.56,اسلام آباد (نوائے وقت رپورٹ ) حکومت نے پیٹرولیم مصنوعات کی نئی قیمتوں کا اعلان کر دیا۔ وزارت خزانہ نے ڈیزل کی قیمت میں 1.77 روپے فی لٹر کمی کا اعلان کیا ہے جبکہ  پیٹرول کی قیمت برقرار رکھنے کا فیصلہ کیا۔ذرائع وزارت خزانہ کے مطابق مٹی کے تیل کی قیمت میں ایک روپے 35 پیسے فی لٹر جبکہ لائٹ ڈیزل آئل کی قیمت میں 2 روپے 12پیسے فی لٹر کمی کی گئی ہے۔ وزارت خزانہ کا کہنا ہے  پیٹرول کی قیمت 279 روپے75پیسے برقرار رہے گی جبکہ ڈیزل کی نئی قیمت 285 روپے 56 پیسے فی لٹر مقررکی گئی ہے۔وزارت خزانہ کے مطابق نئی قیمتوں کا اطلاق 31مارچ تک ہوگا۔,0.0796253979206085,0.298967033624649,0.459216833114624,0.133399412035942,0.0287913084030151,0.24151697754859924,0.46500393748283386,0.15563414990901947,0.07402221113443375,0.06382276862859726
9,9,9,01/03/2024,https://www.nawaiwaqt.com.pk/E-Paper/lahore/2024-03-01/page-1/detail-15,112, پٹرول 4.13، مٹی کا تیل 1.44 روپے لٹر مہنگا، ڈیزل کی قیمت برقرار ,279.75,287.33,اسلام آباد(نمائندہ خصوصی+نوائے وقت رپورٹ)  پٹرول کی قیمت میں چار روپے 13 پیسے فی لٹر کا اضافہ کر دیا گیا ہے، ڈیزل کی قیمت کو برقرار رکھا گیا ہے، پٹرول کی نئی قیمت 279 روپے 75 پیسے فی لٹر  مقرر کر دی گئی، ڈیزل کی قیمت 287 روپے 33پیسے فی لٹر برقرار رکھی گئی ہے نئی قیمتیں 15 مارچ تک موثر رہیں گی۔مٹی کا تیل ایک روپے 44 پیسے فی لٹر مہنگا کر دیا گیا۔ مٹی کے تیل کی نئی قیمت 190 روپے ایک پیسہ فی لٹر مقرر کر دی گئی۔ لائٹ ڈیزل ایک روپے 14 پیسے فی لیٹر سستا کر دیا گیا۔ لائٹ ڈیزل کی نئی قیمت 170 روپے 30 پیسے فی لٹر ہو گی۔,0.0697463750839233,0.2661958932876587,0.3961731791496277,0.2143681794404983,0.0535163842141628,0.2744746208190918,0.4792667627334595,0.12033827602863312,0.06111156567931175,0.06480869650840759
