,date,link,inner_html,word_count,petrol,hsd,headline,openai_headline_very_positive,openai_headline_positive,openai_headline_neutral,openai_headline_negative,openai_headline_very_negative,openai_text_very_positive,openai_text_positive,openai_text_neutral,openai_text_negative,openai_text_very_negative,gemini_headline_very_positive,gemini_headline_positive,gemini_headline_neutral,gemini_headline_negative,gemini_headline_very_negative,gemini_text_very_positive,gemini_text_positive,gemini_text_neutral,gemini_text_negative,gemini_text_very_negative,gemini_headline_overall_sentiment,gemini_text_overall_sentiment,openai_headline_overall_sentiment,openai_text_overall_sentiment
0,2024-12-16,https://tribune.com.pk/epaper/news/Karachi/2024-12-16/NjI1OTQ4NDgzZTY3NjUxZWM5OWQ2NjkyZjJkMjU5ZjIuanBlZw,"IRSHAD ANSARI
ISLAMABAD
The federal government
has slashed the prices of
petroleum products by up
to Rs3.32 per litre, effec-
tive from midnight.
The revised rates will re-
main in place for the next
15 days.
",36.0,252.1,255.38,"Diesel price
slashed, petrol
unchanged
",0.1,0.6,0.25,0.04,0.01,0.1,0.65,0.2,0.04,0.01,0.15,0.55,0.25,0.03,0.02,0.05,0.35,0.6,0.0,0.0,0.78,0.44999999999999996,0.74,0.79
1,2024-12-01,https://tribune.com.pk/epaper/news/Karachi/2024-12-01/ZWQ3ODU2YTM1ZmU5MGM5MjQ5NjQ2YjQzNzQ5ZWM4ZjEuanBlZw,"PETROL
HSD
NEW
NEW
Rs 252.10
Rs 258.43
ZAFAR BHUTTA
OLD
OLD
ISLAMABAD
Rs 248.38
Rs 255.14
The federal government on
Saturday increased the price
of petrol by Rs3.72 per litre
in line with fluctuation in
global oil prices effective
Dec 1 (today).
It also hiked the price of
high speed diesel (HSD) by
R3.29 per litre. However,
the price of kerosene oil
has been slashed by Rs0.62
per litre and light diesel oil
(LDO) by Rs0.48 per litre.
The finance ministry in
a statement said that the
Oil and Gas Regulatory
Authority (Ogra) had
worked out the consumer
prices of petroleum prod-
ucts as per variation in the
oil price in the interna-
tional market.
The price of petrol has
witnessed an increase of
Rs3.72 per litre, going up
from Rs248.38 to Rs252.10
per litre.
The price of HSD has
also been raised by Rs3.29
per litre, from Rs255.14 to
Rs258.43 per litre, due to
fluctuation in global oil
prices.
Petrol is used in motor-
bike and cars and its de-
mand has increased since
the government cut indig-
enous gas supplies to CNG
retail outlets in Punjab sev-
eral years ago.
CNG stations in Punjab
now use imported gas, the
price of which is double
that of indigenous gas. As
a result, CNG has become
PETROL PRICE, PAGE 6
Petrol price jacked up by Rs3.72 per litre
PETROL PRICE FROM PAGE 1
uncompetitive in the province.
HSD is primarily used in the
transport and agriculture sectors.
Therefore, fluctuations in its price
will have a direct inflationary im-
pact on consumers.
Likewise, the price of kerosene oil
has come down by Rs0.62 per litre
from Rs165.60 to Rs164.98 per litre
and LDO by Rs0.48 from Rs152.21 to
Rs151.73 per litre.
Kerosene oil is used in remote
areas, especially in the northern
parts of the country, where LPG is
not available for cooking purposes.
The Pakistan Army is its key user
in the northern region due to the
cold weather. LDO is used in the
industrial sector.
The oil prices also include the
Inland Freight Equalization
Margin (IFEM), set at Rs7.50 per
litre for petrol and Rs4.15 per litre
for HSD.
The premium on petrol is $9.80
per barrel. This premium rate ap-
plies to the import of petrol and is
higher than usual, contributing
to the proposed increase in the
price of petrol. In the last review,
the government adjusted the
increase in oil prices within the
IFEM, rather than passing it on to
the general public, to mitigate the
inflationary impact.
The government is currently im-
posing a petroleum levy of Rs60
per litre on both petrol and HSD,
a high rate that consumers are
paying to help cover the country's
current expenditures.
Meanwhile, Ogra has announced
a marginal increase in Liquified
Petroleum Gas (LPG) prices for
Dec, citing fluctuations in the
exchange rate as a contributing
factor. According to a statement
",484.0,252.1,258.43,"Petrol price
Rs3.72 per litre
jacked up by
Fortnightly in-
crease reflects
fluctuation in
global market
",0.0,0.05,0.8,0.1,0.05,0.0,0.05,0.15,0.6,0.2,0.0,0.0,0.3,0.6,0.1,0.0,0.05,0.4,0.45,0.1,-0.8,-0.6,-0.15000000000000002,-0.95
2,2024-11-16,https://tribune.com.pk/epaper/news/Karachi/2024-11-16/YjJiM2Q1YWU5MzMxNGE1M2NhZDgyZjI1NDQwNTM3ZjguanBlZw,"OUR CORRESPONDENT
ISLAMABAD
sene oil was reduced to
Rs161.54, down by Rs1.48
from Rs163.02 per litre.
Likewise, the price of light-
diesel oil was also reduced
by Rs2.61 from Rs150.12 to
Rs147.51 per litre.
Petrol is mainly used in
private transportation,
small vehicles, rickshaws,
and two-wheelers. Higher
fuel prices significantly
impact the budgets of the
members of the middle
and lower-middle classes,
who primarily consume
petrol for commuting.
On the other hand, a sig-
nificant portion of the
transport sector relies on
high-speed diesel.
Its price is considered
inflationary since it is pre-
dominantly used in heavy
goods transport vehicles,
trucks, buses, trains, and
agricultural machinery
such as tractors, tube wells,
and threshers.
The government has an-
nounced that the prices
of petrol and High-Speed
Diesel (HSD) will remain
unchanged for the next
fortnight.
""The OCRA has worked out
the prices of petroleum prod-
ucts for the next fortnight
based on the price trends
in the international market
during the last two weeks,”
stated a notification issued
by Finance Division.
The prices of petrol and
HSD will remain at Rs248.38
and Rs255.14 per litre,
respectively.
In the last fortnight, the
government increased the
price of petrol and diesel by
Rs1.35 and HSD by Rs3.85 per
litre, respectively.
However, the prices of
other petroleum products
were reduced.
The price of kero-
DINNER: Sindh Senior Minister Sharjeel Memon hosts dinner in honour of PPP Chairman
Bilawal Bhutto Zardari and owners of media houses. PHOTO: EXPRESS
OUR CORRESPONDENT
KARACHI
owners of media houses.
The dignitaries who graced
the event included Mian
Aamir, Mir Ibrahim, Sultan
Ali Lakhani, Aleem Khan,
Duraid, Sultana Siddiqui,
Athar Qazi, Ahmad Zuberi,
Dr Karim Rajpar, Naz Afreen,
Shahryar Chishti, Ghulam
Nabi Morai, Sofia Chishti,
Shakeel Masud, Senator
Sirmad, Aijazul Haque, Nasir,
Murtaza Wahab, Shazia Mari
and Qasim Naveed.
",299.0,248.38,255.14,"Memon hosts dinner
for Bilawal, dignitaries
Petrol prices to
remain unchanged
",0.0,0.1,0.7,0.15,0.05,0.05,0.15,0.65,0.1,0.05,0.0,0.01,0.98,0.01,0.0,0.0,0.15,0.6,0.25,0.0,0.0,-0.1,-0.15,0.04999999999999999
3,2024-11-01,https://tribune.com.pk/epaper/news/Karachi/2024-11-01/MTM4YzNlNzAzZWQ0YzlkYmYwN2NiMzU2ZThhZmQ0NmQuanBlZw,"OUR CORRESPONDENT
ISLAMABAD
The federal government
on Thursday marginally
increased the price of pet-
rol while raising the price
of high speed diesel (HSD)
by almost Rs4 for the up-
coming fortnight, effective
from today (Friday).
According to a notifica-
tion issued by the Ministry
of Finance, the price of pet-
rol has been raised by Rs1.35
per liter and the price of
diesel has been increased
by Rs3.85.
However, the kerosene oil
and light diesel oil (LDO)
have been slashed by Rs1.48
and Rs2.61 respectively.
POL PRICES, PAGE 6
Price of petrol
marginally raised
POL PRICES FROM PAGE 1
With this adjustment, the
price of petrol has moved
from Rs247.03 per liter to
Rs248.38 per liter, and HSD
from Rs251.29 per liter to
Rs255.14 per liter. Kerosene
now costs Rs161.54 per liter,
down from Rs163.02, while
LDO has dropped to Rs147.51
from Rs150.12.
The adjustment in pe-
troleum product prices
has been made in light of
fluctuations in oil prices in
the international market.
Meanwhile, the Oil and
Gas Regulatory Authority
(OGRA) on Thursday no-
tified Rs2.88 per kg raise
in the price of LPG for the
month of November.
",191.0,248.38,255.14,"Price of
petrol
marginally
raised
",0.0,0.05,0.6,0.25,0.1,0.0,0.05,0.7,0.2,0.05,0.0,0.0,0.7,0.3,0.0,0.02,0.1,0.65,0.2,0.03,-0.3,-0.12,-0.4,-0.25000000000000006
4,2024-10-16,https://tribune.com.pk/epaper/news/Karachi/2024-10-16/MGJiODkzODU4OGY5NTIxMTFkMDMzZmUyNjA1YTViNWMuanBlZw,"ZAFAR BHUTTA
ISLAMABAD
Despite a rising trend in international oil
prices, the government kept the petrol
price unchanged, while it jacked up high
speed diesel (HSD) price by Rs5 per litre for
the next fortnight.
With an increase of Rs5 per litre, the price
of diesel goes up from Rs246.29 per litre to
Rs251.29 per litre, while the petrol price has
been maintained at Rs247.03 per litre.
In view of fluctuation in global oil
prices, the prices of diesel and petrol were
projected to be hiked up to Rs10 and Rs4
respectively.
High speed diesel is widely used in
the transport and agriculture sectors.
Therefore, the latest hike in its price may
have an inflationary impact on consumers.
The petrol is mostly used in motorbikes
and cars. Due to the ban on the use of in-
digenous gas in Punjab province, the de-
mand for petrol has swollen.
PETROL PRICE, PAGE 6
Diesel price up by Rs5,
petrol unchanged
PETROL PRICE FROM PAGE 1
The finance ministry said
that Oil and Gas Regulatory
Authority (OGRA) had
worked out variation in line
with global prices.
try, where LPG was not
available for cooking pur-
pose. Light diesel is used
in industries.
The Oil and Gas Regulatory
Authority (OGRA) had also
proposed the government
to increase the margins of
oil marketing companies
(OMCs) and dealers to Rs9.22
per litre and Rs10.04 per litre
respectively. The industry
calculations were based on
taxes and without any ex-
change rate adjustments.
The market has witnessed
a jump in smuggled petro-
leum products from Iran,
posing a threat to the sale
of petrol and diesel by the
refineries. Saudi Arabia
plans to set up a refinery
in Pakistan but oil smug-
gling from Iran may dent
the plans of setting up new
refineries in the country.
Kerosene oil is used in
remote areas, especially in
northern parts of the coun-
",314.0,248.38,255.14,"Diesel price up by Rs5, petrol unchanged
T ",0.0,0.05,0.45,0.4,0.1,0.0,0.1,0.5,0.3,0.1,0.0,0.0,0.75,0.2,0.05,0.0,0.2,0.5,0.25,0.05,-0.30000000000000004,-0.14999999999999997,-0.55,-0.4
5,2024-10-01,https://tribune.com.pk/epaper/news/Karachi/2024-10-01/ODZiNDc3YjEyZmNkZTViYzFkMzQyOWNkNmZiZGY1MTEuanBlZw,"ZAFAR BHUTTA
ISLAMABAD
The government on Monday reduced the price of petrol by Rs2.07 per litre effective from October 1, 2024.
Moreover, the price of high-speed diesel (HSD) has been reduced by Rs3.40 per litre.
The price of light diesel has witnessed a decline of Rs1.03 per litre while the price of kerosene oil has been slashed by Rs3.57 per litre.
The new price of petrol has been reduced from Rs 249.10 per litre to Rs247.03 per litre. The new price of diesel has been reduced from Rs249.69 per litre to PETROL PRICE, PAGE 6
Petrol price slashed by Rs2.07 per litre
PETROL PRICE FROM PAGE 1
minister.
Rs246.29 per litre.
The price of kerosene oil registered a decline to Rs154.90 per litre from Rs158.47 per litre and the price of light diesel oil has been slashed to Rs140.90 per litre from Rs141.93 per litre.
Petrol is used in motor-bikes and cars and a reduc-tion in its price will also result in some relief for the consumers.
being passed on to the people.
next fortnight.
exchange rate. As compared to the previous month Saudi Aramco-CP has in-creased by 3.84%.
Rs2,478.04, indicating a rise of Rs86.28.
Similarly, the consumer price of LPG for October has also been revised upward.
The finance division had informed the prime min-ister in a summary that the prices of petroleum products have continued to fluctuate in the inter-national market in the last fortnight.
The prices were also discussed with OGRA and Ministry of Energy (Petroleum Division), and recommendations were submitted for consideration by the prime minister.
The average dollar ex-change rate has slightly de-creased by 0.125% resulting in to increase in LPG con-sumer price by Rs86.28/11.8 kg cylinder (2.99%). The per kg increase in LPG con-sumer price is Rs7.31.
The notified consumer price is now Rs251,303.79 per ton, up from Rs243,991.77 per ton in September.
At present, the govern-ment is charging Rs60 per litre petroleum levy each on petrol and high-speed diesel.
High-speed diesel is widely used in the trans-port and agriculture sec-tor, therefore, a reduction in its price will inflationary impact on consumers.
Domestic consumer prices are required to be adjusted accordingly.
Increase in LPG prices
This translates to an increase of Rs86.28 for a standard 11.8 kg cylinder, Rs2,879.10 to Rs2,965.38.
The information minis-try in a statement said that the price of petrol has been reduced by Rs28.57 per litre and Rs37.57 per litre high-speed diesel during the last two months follow-ing directions of the prime
Kerosene oil is used in the northern part of the coun-try where LPG is not avail-able for cooking purposes. Pakistan army is its key user. Light diesel oil is used in industry.
OGRA works out the con-sumer prices for the upcom-ing fortnight, based on the international prices and ex-change rate variations.
The OGRA has raised the prices of liquefied petro-leum gas (LPG) by Rs7.31 per kg effective from October 1, 2024. According to the noti-fication, both producer and consumer prices have risen compared to September 2024.
For October, the notified LPG producer price has been set at Rs210,303.79 per ton, which reflects an increase of Rs7,312.04 from the previous month’s price of Rs202,691.77 per ton.
This price hike comes at a time when the demand for LPG is expected to increase as the country approaches the winter season, impact-ing households and busi-nesses that rely on LPG for heating and cooking needs.
Under the direction of PM Shehbaz Sharif, the benefit of a reduction in the prices of petroleum products is
OGRA had, accordingly, worked out prices of pe-troleum products and had proposed the reduction in consumer prices for the
Ogra in a statement said that the LPG producer price is linked with Saudi Aramco-CP and US$ dollar
",619.0,247.03,251.29,"Petrol price slashed by Rs2.07 per litre
",0.1,0.6,0.25,0.03,0.02,0.05,0.3,0.35,0.2,0.1,0.15,0.75,0.1,0.0,0.0,0.05,0.55,0.2,0.15,0.05,1.05,0.4,0.73,-2.7755575615628914e-17
6,2024-09-16,https://tribune.com.pk/epaper/news/Karachi/2024-09-16/NjlhN2MxNGRjZThhMGFlZmRkZTliZWRlNWYxNmFmMDIuanBlZw,"
Relief as govt slashes petrol price by Rs10
FUEL PRICES FROM PAGE 1
a significant concern for oil marketing companies.
The price of LDO has been slashed from Rs154.05 to Rs141.93 per liter, a decrease of Rs12.12 per liter. LDO is primarily used in industry.
The price of HSD, also smuggled in large quanti- ties from Iran, has seen a substantial reduction of Rs13.06 per liter, bringing its price down to Rs249.69 per liter from Rs262.75 per liter. HSD is widely used in the transport and agricul- ture sectors, and its price cut is expected to help ease inflation.
The reduction in global oil prices has been driven by a surplus in supply relative to demand and economic concerns in China and the United States. OPEC, the cartel of oil-producing countries, has also delayed its decision regarding a planned output increase, contributing to the con- tinued decline in global oil prices.
Kerosene oil, now priced at Rs158.47 per liter com- pared to the previous Rs169.62 per liter, has been reduced by Rs11.15 per liter. Kerosene is commonly used in remote areas, especially in northern Pakistan, where LPG is unavailable for stoves. The Pakistan Army is also a significant consumer of kerosene in these regions.
",669.0,247.03,246.29,"Volunteers rush to help as Myanmar flood toll tops 113
",0.1,0.4,0.2,0.2,0.1,,,,,,,0.0,1.0,0.0,,0.35,0.5,0.12,0.03,0.0,,1.17,0.2,
7,2024-09-01,https://tribune.com.pk/epaper/news/Karachi/2024-09-01/MjRhYWY1ZTUwYjg0MDM3OWMxODE3ZGM2MDAwMGNmYjYuanBlZw,"OUR CORRESPONDENT
ISLAMABAD
Prime Minister of Pakistan
has given approval for the re-
duction in prices of the petro-
leum products with Rs1.86
per litre slash in the petrol
price for the next fortnight.
According to a notifica-
tion issued by the Ministry
for Finance, the price of per
litre petrol stood at Rs259.10
with a decline of Rs1.86 per
litre. In addition, the per
litre price of high speed die-
sel was slashed by Rs3.32 per
litre to Rs262.75.
The new prices of petro-
leum products will be ap-
plicable from September
1 for the next 15 days. The
government revises prices of
petroleum products after 15
days in line with the inter-
national market trend.
Meanwhile, the Oil and
Gas Regulatory Authority
(OGRA) has raised the prices
of Liquefied Petroleum Gas
(LPG) by Rs6.99 per kilo
PETROL PRICE, PAGE 6
Petrol price slashed by
Rs1.86 per litre
",149.0,249.1,249.69,"Petrol price
slashed by
Rs1.86 per
litre
",0.1,0.6,0.25,0.03,0.02,0.1,0.6,0.2,0.05,0.05,0.25,0.65,0.1,0.0,0.0,0.05,0.65,0.2,0.1,0.0,1.15,0.65,0.73,0.6499999999999999
8,2024-08-14,https://tribune.com.pk/epaper/news/Karachi/2024-08-14/N2M3NDNmMGE0Y2VjYjk1YWU2MjEyYTY5NTI3NGMwOGUuanBlZw,"ZAFFAR BHUTTA
ISLAMABAD
The federal government has
announced a reduction in
petrol and high-speed diesel
(HSD) prices for the second
fortnight of August 2024.
Petrol prices have been
slashed by up to Rs8.47
per litre, while HSD prices
have been reduced by Rs6.7
per litre. This adjustment
reflects the recent fluctua-
tions in global oil prices.
The Oil and Gas Regulatory
Authority (Ogra) deter-
mined the new consumer
prices based on changes in
the international market.
The prime minister ap-
proved this reduction as
a gesture for August 14,
although the government
had the alternative of in-
creasing taxes to offset the
impact of lower oil prices.
Following the reduc-
tion, petrol prices will
drop to Rs260.96 per litre
from Rs269.43 per litre.
PETROL PRICES, PAGE 6
Petrol, diesel pri
slashed significanty
",132.0,259.1,262.75,"Petrol,
diesel prices
slashed
significantly
",0.6,0.3,0.05,0.03,0.02,0.1,0.65,0.2,0.04,0.01,0.65,0.3,0.05,0.0,0.0,0.1,0.7,0.2,0.0,0.0,1.6,0.8999999999999999,1.43,0.79
9,2024-01-08,https://tribune.com.pk/epaper/news/Karachi/2024-08-01/MDc1ZDI2YjBmNDFmM2E4YTY3MTk4NzdiY2IxYjdiNGEuanBlZw,"HSD price reduced
by Rs10.86 per
litre, kerosene by
Rs6.32 per ltitre
PETROL
HSD
NEW
NEW
Rs 269.43
OLD
OLD
Rs 275.60
ZAFAR BHUTTA
ISLAMABAD
Prime Minister Shehbaz
Sharif has approved a cut
in the price of diesel by
Rs10.86 per litre, effective
from August 1, 2024, in line
with the decrease in global
oil prices.
 The price of petrol has
been reduced by Rs6.17 per
litre, kerosene oil by Rs6.32
per litre, and light diesel oil
(LDO) by Rs5.72 per litre.
 The Oil & Gas Regulatory
Authority (Ogra) worked
out the consumer prices of
petroleum products, based
on fluctuations in the inter-
national market.
 The prices of Motor Spirit
and HSD for the next fort-
night, starting from August
1, 2024, have been revised
downwards, the finance
ministry said in a statement.
The ministry said the
price of HSD has been re-
duced to Rs272.77 per litre
from Rs283.63, marking a
decrease of Rs10.86 per litre.
 Since HSD is used in the
agriculture and transport
sectors, reduction in its
PETROL PRICE, PAGE 6
Petrol price slashed by Rs6.17 per litre
PETROL PRICE FROM PAGE 1
price is expected to have
an inflationary impact on
consumers.
 The price of petrol has
been reduced to Rs269.43
per litre from Rs275.60
per litre, registering a de-
crease of Rs6.17 per litre.
 Petrol is used in motor-
bikes and cars. It is consid-
ered an alternative to CNG,
particularly in Punjab,
where CNG retail outlets
operate on imported LNG.
 The price of kerosene
oil has been slashed to
Rs177.39 per litre from Rs
183.71 per litre, register-
ing a cut of Rs6.32 per litre.
 Kerosene oil is primarily
used for cooking in areas
where liquefied petro-
leum gas (LPG) is unavail-
able. It is widely used in
the northern regions of
the country, with the
Pakistan army being its
major consumer.
 The price of LDO has
been reduced to Rs160.53
per litre from Rs166.25 per
litre, marking a decrease
of Rs5.72 per litre. LDO is
used primarily in industry.
 The government has
been charging a petroleum
levy of Rs60 per litre on
both petrol and HSD.
 Additionally, it is charg-
ing a petroleum levy of
Rs0.05 per litre on kero-
sene oil. However, no
petroleum levy is being
charged on LDO.
 The government had set
an ambitious target for
collecting petroleum
from oil consumers dur-
ing the current financial
year. As a result, the petro-
creased further to enhance
revenue collection.
 The collection of sales
tax on these products is
zero. Revenue from sales
tax goes to the provinces
while the petroleum levy
is directed into federal
coffers.
 Therefore, the federal
government increased
the petroleum levy rate
to boost revenue while
keeping the sales tax rate
on petroleum products at
zero.
 Meanwhile, Ogra an-
nounced an increase of
Rs2.28 per kilogramme in
LPG prices for August 2024.
 Effective from the start
of the month, the price of
LPG will rise to Rs236.66
per kg.
 The adjustment will also
impact domestic LPG cylin-
",499.0,260.96,266.07,"Petrol price slashed by
Rs6.17 per litre
",0.1,0.6,0.25,0.04,0.01,0.1,0.5,0.3,0.08,0.02,0.35,0.55,0.1,0.0,0.0,0.0,0.7,0.2,0.1,0.0,1.25,0.6,0.74,0.5800000000000001
