,date,petrol,hsd,petrol_change,diesel_change,word_count,openai_headline_overall_sentiment,gemini_headline_overall_sentiment,openai_text_overall_sentiment,gemini_text_overall_sentiment
0,2021-01-01,106.0,110.24,,,505.4,-1.078,-1.08,-1.102,-1.044
1,2021-01-16,109.2,113.19,3.200000000000003,2.950000000000003,460.4,-1.126,-1.144,-0.972,-0.762
2,2021-02-01,111.9,116.08,2.700000000000003,2.8900000000000006,510.75,-1.202,-0.71,-1.118,-1.028
3,2021-02-16,111.9,116.08,0.0,0.0,404.667,-0.433,0.77,0.617,1.433
4,2021-03-01,111.9,116.08,0.0,0.0,301.75,0.285,0.735,-0.25,1.18
5,2021-03-16,111.9,116.08,0.0,0.0,150.6,-1.03,-0.648,-0.338,-0.06
6,2021-04-01,110.35,113.08,-1.5500000000000114,-3.0,737.8,0.488,0.76,0.622,0.73
7,2021-04-16,108.56,110.76,-1.789999999999992,-2.319999999999993,217.5,0.515,0.712,0.742,1.088
8,2021-05-01,108.56,110.76,0.0,0.0,261.2,0.12,0.69,0.416,1.16
9,2021-05-18,108.56,110.76,0.0,0.0,476.5,-0.565,0.725,0.05,1.45
10,2021-06-01,108.56,110.76,0.0,0.0,129.8,-0.31,0.04,0.16,0.775
11,2021-06-16,110.69,112.55,2.1299999999999955,1.789999999999992,152.0,-1.094,-0.696,-1.166,-0.75
12,2021-07-01,112.69,113.99,2.0,1.4399999999999977,310.4,-1.158,-0.78,-1.234,-0.954
13,2021-07-16,118.09,116.53,5.400000000000006,2.5400000000000063,580.4,-1.028,-1.0,-1.17,-0.97
14,2021-08-01,119.8,116.53,1.7099999999999937,0.0,192.6,-0.882,-0.48,-1.13,-0.706
15,2021-08-16,119.8,116.53,0.0,0.0,167.4,-0.52,-0.322,-0.544,-0.174
16,2021-09-01,118.3,115.03,-1.5,-1.5,271.0,-0.214,0.052,0.18,0.156
17,2021-09-16,123.3,120.04,5.0,5.010000000000005,280.0,-1.168,-1.0,-1.224,-0.66
18,2021-10-01,127.3,122.04,4.0,2.0,437.8,-1.216,-0.84,-1.166,-1.09
19,2021-10-17,137.79,134.48,10.489999999999995,12.439999999999984,995.333,-1.24,-1.337,-1.1,-0.947
20,2021-11-05,145.82,142.62,8.030000000000001,8.140000000000015,696.667,-0.93,-1.41,-1.27,-1.06
21,2021-11-16,145.82,142.62,0.0,0.0,191.0,0.062,0.438,0.29,0.938
22,2021-12-01,145.82,142.62,0.0,0.0,230.6,-0.39,-0.277,-0.97,-0.656
23,2021-12-16,140.82,137.62,-5.0,-5.0,221.8,0.056,0.62,0.512,0.36
24,2022-01-01,144.82,141.62,4.0,4.0,589.0,-1.182,-0.9,-0.86,-0.616
25,2022-01-16,147.83,144.62,3.0100000000000193,3.0,701.6,-1.12,-0.93,-1.092,-0.75
26,2022-02-01,147.83,144.62,0.0,0.0,477.6,-0.38,1.28,0.14,1.436
27,2022-02-16,159.86,154.15,12.030000000000001,9.530000000000001,693.4,-1.188,-1.07,-1.122,-0.7
28,2022-03-01,149.86,144.15,-10.0,-10.0,1716.8,0.274,1.146,0.65,1.262
