Period End,Islamabad,Rawalpindi,Gujranwala,Sialkot,Lahore,Faisalabad,Sargodha,Multan,Bahawalpur,Karachi,Hyderabad,Sukkur,Larkana,Peshawar,Bannu,Quetta,Khuzdar,Pakistan
Weekly,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR 
06-Jun-2024,271.040000,271.050000,271.100000,271.210000,271.040000,271.100000,271.300000,271.110000,271.570000,271.050000,272.220000,271.400000,271.350000,271.040000,271,271,271.040000,271.210000
30-May-2024,274.910000,274.790000,275,275.080000,274.900000,274.900000,275.170000,274.930000,275.410000,274.920000,276.110000,274.900000,275.220000,274.910000,276.100000,274.900000,274.910000,275.120000
23-May-2024,274.910000,274.790000,275,275.080000,274.900000,274.900000,275.170000,274.930000,275.410000,274.920000,276.110000,274.900000,275.220000,274.910000,276.100000,274.900000,274.910000,275.120000
16-May-2024,274.910000,274.790000,275,275.080000,274.900000,274.900000,275.170000,274.930000,275.410000,274.920000,276.110000,274.900000,275.220000,274.910000,276.100000,274.900000,274.910000,275.120000
09-May-2024,282.750000,282.820000,282.800000,282.980000,282.800000,282.800000,283.070000,282.700000,283.290000,282.800000,284.020000,282.800000,283.120000,282.800000,284,282.800000,282.800000,283.010000
02-May-2024,282.750000,282.820000,282.800000,282.980000,282.800000,282.800000,283.070000,282.700000,283.290000,282.800000,284.020000,282.800000,283.120000,282.800000,284,282.800000,282.800000,283.010000
25-Apr-2024,291.210000,291.200000,291.200000,291.380000,291.210000,291.200000,291.470000,291.260000,291.690000,291.200000,292.520000,291.200000,291.520000,291.210000,292.400000,291.200000,291.210000,291.430000
18-Apr-2024,291.210000,291.200000,291.200000,291.380000,291.210000,291.200000,291.470000,291.260000,291.690000,291.200000,292.520000,291.200000,291.520000,291.210000,292.400000,291.200000,291.210000,291.430000
04-Apr-2024,283.070000,283.060000,283.100000,283.250000,283.070000,283.100000,283.340000,283.130000,283.570000,283.060000,284.390000,283.100000,283.390000,283.070000,284.300000,283,283.070000,283.300000
28-Mar-2024,286.400000,286.420000,286.400000,286.570000,286.380000,286.300000,286.660000,286.490000,286.880000,286.380000,287.760000,287.400000,286.710000,286.400000,287.600000,286.300000,286.400000,286.670000
21-Mar-2024,286.400000,286.420000,286.400000,286.570000,286.380000,286.300000,286.660000,286.490000,286.880000,286.380000,287.760000,287.400000,286.710000,286.400000,287.600000,286.300000,286.400000,286.670000
14-Mar-2024,288.150000,288.150000,288.200000,288.330000,288.150000,288.100000,288.420000,288.190000,288.650000,288.140000,289.340000,288.200000,288.470000,288.150000,289.820000,288.100000,288.170000,288.400000
07-Mar-2024,288.150000,288.150000,288.200000,288.330000,288.150000,288.100000,288.420000,288.190000,288.650000,288.140000,289.340000,288.200000,288.470000,288.150000,289.820000,288.100000,288.170000,288.400000
29-Feb-2024,288.150000,288.150000,288.200000,288.330000,288.150000,288.100000,288.420000,288.190000,288.650000,288.140000,289.340000,288.200000,288.470000,288.150000,289.820000,288.100000,288.150000,288.390000
22-Feb-2024,288.150000,288.150000,288.200000,288.330000,288.150000,288.100000,288.420000,288.190000,288.650000,288.140000,289.340000,288.200000,288.470000,288.150000,289.820000,288.100000,288.150000,288.390000
15-Feb-2024,279.780000,279.810000,279.800000,279.950000,279.780000,279.700000,280.040000,279.820000,280.270000,279.770000,280.960000,279.800000,280.090000,279.780000,280,279.600000,279.780000,279.930000
01-Feb-2024,279.780000,279.810000,279.800000,279.950000,279.780000,279.700000,280.040000,279.820000,280.270000,279.770000,280.960000,279.800000,280.090000,279.780000,280,279.600000,279.780000,279.930000
25-Jan-2024,277.050000,277.070000,277.100000,277.230000,277.050000,277.100000,277.320000,277.100000,277.660000,277.040000,278.250000,277.100000,277.370000,277.100000,278.300000,277.020000,277.050000,277.290000
18-Jan-2024,277.050000,277.070000,277.100000,277.230000,277.050000,277.100000,277.320000,277.100000,277.660000,277.040000,278.250000,277.100000,277.370000,277.100000,278.300000,277.020000,277.050000,277.290000
11-Jan-2024,277.050000,277.070000,277.100000,277.230000,277.050000,277.100000,277.320000,277.100000,277.660000,277.040000,278.250000,277.100000,277.370000,277.100000,278.300000,277.020000,277.050000,277.290000
04-Jan-2024,277.050000,277.070000,277.100000,277.230000,277.050000,277.100000,277.320000,277.100000,277.660000,277.040000,278.250000,277.100000,277.370000,277.100000,278.300000,277.020000,277.050000,277.290000
28-Dec-2023,277.050000,277.070000,277.100000,277.230000,277.050000,277.100000,277.320000,277.100000,277.660000,277.040000,278.250000,277.100000,277.370000,277.100000,278.300000,277.020000,277.050000,277.290000
21-Dec-2023,277.050000,277.070000,277.100000,277.230000,277.050000,277.100000,277.320000,277.100000,277.660000,277.040000,278.250000,277.100000,277.370000,277.100000,278.300000,277.020000,277.050000,277.290000
14-Dec-2023,290.560000,290.580000,290.600000,290.740000,290.560000,291.500000,291.600000,290.690000,291.070000,290.550000,291.790000,290.600000,290.880000,290.600000,291.800000,290.500000,290.560000,290.890000
07-Dec-2023,290.560000,290.580000,290.600000,290.740000,290.560000,291.500000,291.600000,290.690000,291.070000,290.550000,291.790000,290.600000,290.880000,290.600000,291.800000,290.500000,290.560000,290.890000
30-Nov-2023,297.530000,297.560000,297.600000,297.750000,297.570000,297.500000,297.840000,297.500000,298.080000,297.560000,298.820000,297.600000,297.890000,297.560000,298.800000,297.510000,297.570000,297.780000
23-Nov-2023,297.530000,297.560000,297.600000,297.750000,297.570000,297.500000,297.840000,297.500000,298.080000,297.560000,298.820000,297.600000,297.890000,297.560000,298.800000,297.510000,297.570000,297.780000
16-Nov-2023,297.530000,297.560000,297.600000,297.750000,297.570000,297.500000,297.840000,297.500000,298.080000,297.560000,298.820000,297.600000,297.890000,297.560000,298.800000,297.510000,297.570000,297.780000
08-Nov-2023,304.060000,304.050000,304.100000,304.240000,304.060000,304.200000,304.340000,304.070000,304.580000,304.050000,305.330000,304.200000,304.590000,304.060000,305.300000,304,304.060000,304.310000
02-Nov-2023,304.060000,304.050000,304.100000,304.240000,304.060000,304.200000,304.340000,304.070000,304.580000,304.050000,305.330000,304.200000,304.590000,304.060000,305.300000,304,304.060000,304.310000
26-Oct-2023,304.060000,304.050000,304.100000,304.240000,304.060000,304.200000,304.340000,304.070000,304.580000,304.050000,305.330000,304.200000,304.590000,304.060000,305.300000,304,304.060000,304.310000
19-Oct-2023,304.060000,304.050000,304.100000,304.240000,304.060000,304.200000,304.340000,304.070000,304.580000,304.050000,305.330000,304.200000,304.590000,304.060000,305.300000,304,304.060000,304.310000
12-Oct-2023,319.020000,318.990000,319,319.200000,319.020000,319,319.400000,319.050000,319.510000,319.030000,320.240000,319,319.340000,319,320.300000,318.900000,319.020000,319.240000
05-Oct-2023,319.020000,318.990000,319,319.200000,319.020000,319,319.400000,319.050000,319.510000,319.030000,320.240000,319,319.340000,319,320.300000,318.900000,319.020000,319.240000
27-Sep-2023,330,329.990000,330,330.170000,330,330,330.260000,330.060000,330.480000,330,331.200000,330,330.310000,330,331.300000,329.900000,330,330.220000
21-Sep-2023,330,329.990000,330,330.170000,330,330,330.260000,330.060000,330.480000,330,331.200000,330,330.310000,330,331.300000,329.900000,330,330.220000
14-Sep-2023,312.630000,312.600000,312.700000,312.800000,312.630000,312.620000,312.890000,312.640000,313.080000,312.630000,313.740000,313.400000,312.930000,312.600000,314,312.540000,312.630000,312.890000
07-Sep-2023,312.630000,312.600000,312.700000,312.800000,312.630000,312.620000,312.890000,312.640000,313.080000,312.630000,313.740000,313.400000,312.930000,312.600000,314,312.540000,312.630000,312.890000
31-Aug-2023,294.170000,294.150000,294.200000,294.330000,294.170000,294.080000,294.410000,294.170000,294.590000,294.160000,295.240000,294.400000,294.460000,294.210000,295.600000,294.100000,294.170000,294.390000
24-Aug-2023,294.170000,294.150000,294.200000,294.330000,294.170000,294.080000,294.410000,294.170000,294.590000,294.160000,295.240000,294.400000,294.460000,294.210000,295.600000,294.100000,294.170000,294.390000
17-Aug-2023,294.170000,294.150000,294.200000,294.330000,294.170000,294.080000,294.410000,294.170000,294.590000,294.160000,295.240000,294.400000,294.460000,294.210000,295.600000,294.100000,294.170000,294.390000
10-Aug-2023,274.140000,274.140000,274.200000,274.290000,274.140000,274.100000,274.390000,274.130000,274.570000,274.130000,275.210000,274.800000,274.420000,274.100000,275.600000,274.100000,274.150000,274.390000
03-Aug-2023,274.140000,274.140000,274.200000,274.290000,274.140000,274.100000,274.390000,274.130000,274.570000,274.130000,275.210000,274.800000,274.420000,274.100000,275.600000,274.100000,274.150000,274.390000
26-Jul-2023,254.250000,254.430000,254.300000,254.410000,254.200000,254.200000,254.480000,254.430000,254.720000,254.250000,255.320000,254.530000,254.530000,254.300000,255.700000,254.200000,254.250000,254.500000
20-Jul-2023,254.250000,254.430000,254.300000,254.410000,254.200000,254.200000,254.480000,254.430000,254.720000,254.250000,255.320000,254.530000,254.530000,254.300000,255.700000,254.200000,254.250000,254.500000
13-Jul-2023,261.240000,261.430000,261.300000,261.390000,261.360000,261.230000,261.480000,261.260000,261.770000,261.240000,262.310000,261.200000,261.500000,261.200000,261.300000,261.200000,261.290000,261.390000
06-Jul-2023,261.240000,261.430000,261.300000,261.390000,261.360000,261.230000,261.480000,261.260000,261.770000,261.240000,262.310000,261.200000,261.500000,261.200000,261.300000,261.200000,261.290000,261.390000
22-Jun-2023,253.750000,253.760000,253.700000,253.900000,253.780000,253.700000,253.980000,253.790000,254.210000,253.740000,254.820000,253.800000,254.100000,253.750000,253.800000,253.700000,253.790000,253.890000
15-Jun-2023,253.750000,253.760000,253.700000,253.900000,253.780000,253.700000,253.980000,253.790000,254.210000,253.740000,254.820000,253.800000,254.100000,253.750000,253.800000,253.700000,253.790000,253.890000
08-Jun-2023,253.750000,253.760000,253.700000,253.900000,253.780000,253.700000,253.980000,253.790000,254.210000,253.740000,254.820000,253.800000,254.100000,253.750000,253.800000,253.700000,253.790000,253.890000
01-Jun-2023,253.750000,253.760000,253.700000,253.900000,253.780000,253.700000,253.980000,253.790000,254.210000,253.740000,254.820000,253.800000,254.100000,253.750000,253.800000,253.700000,253.790000,253.890000
25-May-2023,258.780000,258.740000,258.800000,258.950000,258.780000,258.700000,259.040000,258.800000,259.250000,258.790000,259.910000,258.800000,259.100000,258.780000,258.800000,258.700000,258.790000,258.910000
18-May-2023,258.780000,258.740000,258.800000,258.950000,258.780000,258.700000,259.040000,258.800000,259.250000,258.790000,259.910000,258.800000,259.100000,258.780000,258.800000,258.700000,258.790000,258.910000
11-May-2023,288.790000,288.760000,288.800000,288.960000,288.800000,288.700000,289.040000,288.780000,289.250000,288.790000,289.920000,288.800000,289.100000,288.750000,288.800000,288.700000,288.790000,288.910000
04-May-2023,288.790000,288.760000,288.800000,288.960000,288.800000,288.700000,289.040000,288.780000,289.250000,288.790000,289.920000,288.800000,289.100000,288.750000,288.800000,288.700000,288.790000,288.910000
27-Apr-2023,293.770000,293.730000,293.800000,294.430000,293.800000,293.700000,294.020000,293.590000,294.220000,293.770000,294.850000,293.800000,294.100000,293.750000,293.800000,293.700000,293.770000,293.920000
19-Apr-2023,293.770000,293.730000,293.800000,294.430000,293.800000,293.700000,294.020000,293.590000,294.220000,293.770000,294.850000,293.800000,294.100000,293.750000,293.800000,293.700000,293.770000,293.920000
13-Apr-2023,293.770000,293.730000,293.800000,294.430000,293.800000,293.700000,294.020000,293.590000,294.220000,293.770000,294.850000,293.800000,294.100000,293.750000,293.800000,293.700000,293.770000,293.920000
06-Apr-2023,293.770000,293.730000,293.800000,294.430000,293.800000,293.700000,294.020000,293.590000,294.220000,293.770000,294.850000,293.800000,294.100000,293.750000,293.800000,293.700000,293.770000,293.920000
30-Mar-2023,293.770000,293.730000,293.800000,294.430000,293.800000,293.700000,294.020000,293.590000,294.220000,293.770000,294.850000,293.800000,294.100000,293.750000,293.800000,293.700000,293.770000,293.920000
