Period End,Pakistan
2021-01-01,106.930000
2021-01-15,110.160000
2021-02-01,112.900000
2021-02-15,112.900000
2021-03-01,112.900000
2021-03-15,112.900000
2021-04-01,111.370000
2021-04-15,109.610000
2021-05-01,109.610000
2021-05-15,109.610000
2021-06-01,109.610000
2021-06-15,111.680000
2021-07-01,113.670000
2021-07-15,119.050000
2021-08-01,119.250000
2021-08-15,120.760000
2021-09-01,119.250000
2021-09-15,124.250000
2021-10-01,128.230000
2021-10-15,138.730000
2021-11-01,138.730000
2021-11-15,146.750000
2021-12-01,146.750000
2021-12-15,141.760000
2022-01-01,145.560000
2022-01-15,148.570000
2022-02-01,148.570000
2022-02-15,160.630000
2022-03-01,150.630000
2022-03-15,150.630000
2022-04-01,150.630000
2022-04-15,150.630000
2022-05-01,150.630000
2022-05-15,150.630000
2022-06-01,180.620000
2022-06-15,234.710000
2022-07-01,249.630000
2022-07-15,231.140000
2022-08-01,228.160000
2022-08-15,234.920000
2022-09-01,236.980000
2022-09-15,238.400000
2022-10-01,225.780000
2022-10-15,225.780000
2022-11-01,225.780000
2022-11-15,225.780000
2022-12-01,225.780000
2022-12-15,215.740000
2023-01-01,215.740000
2023-01-15,215.740000
2023-02-01,250.740000
2023-02-15,272.860000
2023-03-01,267.960000
2023-03-15,272.890000
2023-04-01,272.890000
2023-04-15,282.900000
2023-05-01,282.900000
2023-05-15,270.910000
2023-06-01,262.890000
2023-06-15,262.890000
2023-07-01,262.890000
2023-07-15,253.960000
2023-08-01,273.910000
2023-08-15,291.440000
2023-09-01,306.360000
2023-09-15,332.420000
2023-10-01,324.450000
2023-10-15,284.510000
2023-11-01,284.510000
2023-11-15,282.440000
2023-12-01,282.440000
2023-12-15,268.410000
2024-01-01,268.410000
2024-01-15,260.390000
2024-02-01,273.930000
2024-02-15,276.660000
2024-03-01,280.790000
2024-03-15,280.790000
2024-04-01,290.470000
2024-04-15,294.990000
2024-05-01,289.570000
2024-05-15,274.170000
2024-06-01,269.390000
