date,price
01-Jun-2024,278.2
15-May-2024,278.3263
01-May-2024,278.2648
15-Apr-2024,278.3142
01-Apr-2024,278.1226
15-Mar-2024,277.9472
01-Mar-2024,278.7428
15-Feb-2024,279.1117
01-Feb-2024,279.3784
15-Jan-2024,279.5
01-Jan-2024,280.2394
15-Dec-2023,281.8607
01-Dec-2023,283.2576
15-Nov-2023,285.1676
01-Nov-2023,288.1406
15-Oct-2023,281.4738
01-Oct-2023,277.6204
15-Sep-2023,287.7384
01-Sep-2023,296.8491
15-Aug-2023,305.5381
01-Aug-2023,291.507
15-Jul-2023,286.6416
01-Jul-2023,277.5907
15-Jun-2023,285.9905
01-Jun-2023,287.3669
15-May-2023,285.4683
01-May-2023,284.9654
15-Apr-2023,283.8397
01-Apr-2023,284.4042
15-Mar-2023,283.7919
01-Mar-2023,282.8516
15-Feb-2023,261.5044
01-Feb-2023,265.3822
15-Jan-2023,267.8855
01-Jan-2023,228.1531
15-Dec-2022,226.4309
01-Dec-2022,224.7061
15-Nov-2022,223.9495
01-Nov-2022,221.9122
15-Oct-2022,220.8884
01-Oct-2022,218.431
15-Sep-2022,228.452
01-Sep-2022,235.8843
15-Aug-2022,218.7522
01-Aug-2022,213.9765
15-Jul-2022,239.3744
01-Jul-2022,210.9546
15-Jun-2022,204.8467
01-Jun-2022,206.457
15-May-2022,198.4607
01-May-2022,192.5268
15-Apr-2022,185.6349
01-Apr-2022,181.6877
15-Mar-2022,183.4782
01-Mar-2022,179.2152
15-Feb-2022,177.4694
01-Feb-2022,175.7767
15-Jan-2022,176.7172
01-Jan-2022,176.0675
15-Dec-2021,176.5135
01-Dec-2021,177.9835
15-Nov-2021,175.7184
01-Nov-2021,175.2947
15-Oct-2021,171.6534
01-Oct-2021,171.1811
15-Sep-2021,170.6576
01-Sep-2021,169.116
15-Aug-2021,166.3861
01-Aug-2021,164.0022
15-Jul-2021,162.4302
01-Jul-2021,159.3001
15-Jun-2021,157.5437
01-Jun-2021,156.7853
15-May-2021,154.3988
01-May-2021,152.2753
15-Apr-2021,153.4529
01-Apr-2021,152.8313
15-Mar-2021,152.7586
